,Pimmy,Split The Night,Myka,Lornas Flying,Lady Lil,Trish Mail,Long Cool Sally
08-01-2023 11:14:35.493280,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:36.369273,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:37.233937,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:38.126028,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:39.012506,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:39.909396,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:40.792628,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:41.672492,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:42.537957,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:43.420228,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:44.297478,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:45.178426,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:46.049143,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:46.935102,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:47.821053,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:48.694992,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:49.584339,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:50.455813,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:51.354729,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:52.227817,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:53.144503,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:54.070525,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:54.966733,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:55.879958,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:56.774421,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:57.672230,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:58.562843,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:59.437446,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:00.326744,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:01.192648,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:02.067109,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:02.947965,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:03.823630,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:04.700734,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:05.584428,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:06.477270,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:07.373664,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:08.246668,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:09.127135,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:10.000656,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:10.864591,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:15:11.725621,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
