,King Of All,Honest Thief,Im Indigo,Lektra Sammy,Suntanned,Reel It In,Shanias Dream,Diva Dot
12-01-2023 11:00:55.869418,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:00:57.046044,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:00:58.142201,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:00:59.261572,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:00.382319,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:01.466411,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:02.605469,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:03.626376,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:04.672798,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:05.687989,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
