,Homebush Stella,Goldstar Yankee,Homebush Cardi,Pretty Orson,Rocket Queen,Amuri Early,Mustard Custard,Goldstar Tommy
09-01-2023 09:02:03.187019,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:04.222859,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:05.300238,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:06.359069,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:07.410764,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:08.442659,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:09.540755,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:10.672544,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:11.796475,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:12.940471,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:14.107578,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:15.217505,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:16.279483,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:17.292359,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:18.340194,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:19.351123,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:20.451952,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:21.556268,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:22.641279,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:23.730861,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:24.783556,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:25.826668,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:26.859267,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:27.860961,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:28.881308,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:29.915977,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:30.935463,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:31.959974,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:32.961722,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:33.911658,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:34.908787,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:35.883987,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:36.916998,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:37.963916,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:38.965122,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:39.960462,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:40.983888,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:41.995063,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:43.076972,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:44.144338,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:45.202308,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:46.248796,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:47.295804,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:48.299929,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:49.315078,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:50.330866,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:51.382304,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:52.417592,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:53.477218,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:54.516177,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:55.564813,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:56.587108,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:57.599375,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:58.641679,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:02:59.696139,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:03:00.720148,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:03:01.795174,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
09-01-2023 09:03:02.819217,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.120212765957446)"
09-01-2023 09:03:03.842227,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.2, 7.120212765957446)"
09-01-2023 09:03:04.833893,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.2, 7.120212765957446)"
09-01-2023 09:03:05.826836,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.2, 7.120212765957446)"
09-01-2023 09:03:06.828419,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.2, 7.120212765957446)"
09-01-2023 09:03:07.880319,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.2, 6.527586206896552)"
09-01-2023 09:03:08.924783,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
09-01-2023 09:03:09.993118,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
09-01-2023 09:03:11.123251,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
09-01-2023 09:03:12.171237,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
09-01-2023 09:03:13.234782,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
09-01-2023 09:03:14.224759,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
09-01-2023 09:03:15.252090,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 10.0, 8.034146341463416)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.4, 6.527586206896552)"
