,Black Wood,Skylark Tiara,Magic Madness,Shes Sleek,Big Wednesday,Summer Classic,Corn Cob
10-01-2023 14:36:38.636553,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:39.646363,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:40.774862,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:41.885918,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:42.962269,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:43.998026,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:45.019883,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 52.5)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:46.156565,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 52.5)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:47.307068,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 52.5)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:48.429100,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 52.5)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:49.536965,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 52.5)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:50.594253,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 44.72727272727273)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:51.661686,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.57142857142857)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:52.740659,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:53.864626,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:54.993288,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:56.143290,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:57.206396,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:58.317447,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:59.400046,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:00.524534,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:01.678381,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:02.807739,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:03.796274,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:04.794590,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:05.924881,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:07.126765,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:08.341298,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:09.461312,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:10.639790,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:11.766618,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:12.965285,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:14.178912,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:15.356730,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:16.490166,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:17.606523,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:18.774621,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.79)"
10-01-2023 14:37:19.914341,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.0, 2.8066666666666666)"
10-01-2023 14:37:20.955514,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:22.022714,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:23.183998,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:24.408036,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:25.647438,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:26.786033,"(1.55, 2.34, 1.79)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:27.948079,"(1.55, 2.34, 2.114054054054054)","(41.0, 390.0, 256.9230769230769)","(41.0, 390.0, 217.0)","(21.0, 100.0, 56.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:29.188546,"(1.55, 2.34, 2.114054054054054)","(41.0, 390.0, 268.0)","(41.0, 390.0, 230.66666666666669)","(21.0, 100.0, 56.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 57.86666666666667)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:30.539475,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:31.798266,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:32.976840,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:34.385666,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:35.722946,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.6, 4.2, 2.8066666666666666)"
10-01-2023 14:37:36.840660,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
10-01-2023 14:37:37.984179,"(1.55, 2.34, 2.114054054054054)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
10-01-2023 14:37:39.202883,"(1.55, 2.34, 1.7507142857142857)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
10-01-2023 14:37:40.395654,"(1.55, 2.34, 1.7507142857142857)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
10-01-2023 14:37:41.626667,"(1.55, 2.34, 1.7507142857142857)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
10-01-2023 14:37:42.820429,"(1.55, 2.34, 1.7507142857142857)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
10-01-2023 14:37:43.987201,"(1.55, 2.34, 1.7507142857142857)","(41.0, 380.0, 268.0)","(41.0, 380.0, 230.66666666666669)","(21.0, 100.0, 53.800000000000004)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 55.5625)","(2.7, 4.2, 2.8066666666666666)"
