,Seductive Angel,Bokarm Luna,Ember Lad,Clover Lizzie,Star Sirius,Bokarm Nero,Burringbar Gypsy
12-01-2023 10:30:34.381936,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:35.411407,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:36.472968,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:37.542471,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:38.573037,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:39.701948,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:40.766782,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:41.848915,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:42.882473,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:43.978973,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
