,Wilgunya Scott,Bonbon Fire,Heres Caza,Edge Gambler,Bomber Stan,Shes A Sully,Dandy Gambler,Extreme Measures
12-01-2023 12:19:20.806014,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:21.988804,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:23.174046,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:24.339166,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:25.556427,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:26.719942,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:27.794394,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:28.904318,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:29.936675,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:30.923457,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:31.931280,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:33.043875,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:34.094042,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:35.188891,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:36.251233,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:37.360722,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:38.406717,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:39.458272,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:40.499773,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:41.589036,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:42.730658,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:43.877621,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:44.987873,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:46.123840,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:47.319103,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:48.443619,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:49.580687,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:50.673578,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:51.753375,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:52.843739,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:53.927102,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:54.968368,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:56.045152,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:57.090559,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:58.213201,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:59.427087,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:00.707997,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:01.987521,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:03.322516,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:04.768826,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:05.992202,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:07.141388,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:08.269032,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:09.405042,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:10.515065,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:11.650748,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:12.798664,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:13.979434,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:15.171814,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:16.377866,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:17.575572,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:18.765741,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:19.830670,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:20.923410,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:20:21.988271,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
