,Oovii,Dragons Snip,Mishani Promise,Mishani Twilight,Mishani Tycoon,Mishani Valour,Leibert Lass,Mishani Diamond,Paris Art
06-01-2023 11:45:03.302288,"(2.6, 2.86, 2.8166666666666664)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.428571428571428)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.53333333333333)","(8.0, 11.5, 9.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 17.5, 17.833333333333332)"
06-01-2023 11:45:04.672395,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.403846153846153)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 11.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 20.0, 15.9)"
06-01-2023 11:45:05.977567,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.342857142857142)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 11.0, 10.75)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.9)"
06-01-2023 11:45:07.219940,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 12.416666666666666)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.5, 10.75)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.9)"
06-01-2023 11:45:08.471161,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 12.416666666666666)","(20.0, 50.0, 38.63636363636364)","(8.0, 12.5, 9.583333333333334)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.5)"
06-01-2023 11:45:09.654173,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.2)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 12.416666666666666)","(20.0, 50.0, 43.75)","(8.0, 12.5, 9.583333333333334)","(26.0, 70.0, 62.72727272727273)","(11.0, 18.5, 15.5)"
06-01-2023 11:45:10.801124,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.2)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 38.63636363636364)","(8.0, 12.5, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.5, 15.0)"
06-01-2023 11:45:11.957353,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.403846153846153)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 38.63636363636364)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.0, 15.0)"
06-01-2023 11:45:13.153970,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 38.63636363636364)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.0, 15.9)"
06-01-2023 11:45:14.291146,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.9)"
06-01-2023 11:45:15.496062,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.0, 9.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 19.5, 15.9)"
06-01-2023 11:45:16.746104,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.391836734693877)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.333333333333334)"
06-01-2023 11:45:18.412345,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.403846153846153)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.0, 15.5)"
06-01-2023 11:45:19.989843,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.368181818181818)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.5, 15.0)"
06-01-2023 11:45:21.479251,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.3)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.0, 9.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 18.0, 17.833333333333332)"
06-01-2023 11:45:22.937360,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.324324324324325)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 20.0, 15.9)"
06-01-2023 11:45:24.349943,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.324324324324325)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.9)"
06-01-2023 11:45:25.602408,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.190740740740741)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.333333333333334)"
06-01-2023 11:45:26.922778,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.0, 15.5)"
06-01-2023 11:45:28.159688,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.0, 9.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 18.5, 17.833333333333332)"
06-01-2023 11:45:29.371988,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.4, 7.44)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.64705882352941)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 20.0, 15.0)"
06-01-2023 11:45:30.560985,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.8, 8.514285714285716)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 45.45454545454545)","(8.0, 12.0, 9.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 18.0, 17.833333333333332)"
06-01-2023 11:45:31.790383,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.8, 8.24)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 41.07142857142857)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 20.0, 15.9)"
06-01-2023 11:45:33.056362,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.359782608695652)","(8.0, 17.0, 13.0)","(20.0, 50.0, 43.75)","(8.0, 12.0, 9.75)","(26.0, 70.0, 60.0)","(11.0, 19.5, 15.9)"
06-01-2023 11:45:34.311152,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.5, 13.0)","(20.0, 50.0, 52.0)","(8.0, 12.0, 9.75)","(26.0, 70.0, 70.5)","(11.0, 19.5, 17.833333333333332)"
06-01-2023 11:45:35.600980,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.379)","(8.0, 17.5, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.0, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:36.869849,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.424603174603174)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:38.189722,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.424603174603174)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:39.542586,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.424603174603174)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:40.823214,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.424603174603174)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:42.081264,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.424603174603174)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:43.394700,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:44.690958,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:46.163769,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:47.615746,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:49.005949,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:50.590151,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:52.090260,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:53.423186,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:54.683541,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:56.034765,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:57.403019,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:45:58.737192,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:00.062418,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:01.413353,"(2.6, 2.86, 2.8363636363636364)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.456779661016949)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:02.791827,"(2.6, 2.86, 2.6133333333333333)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.560204081632653)","(8.0, 18.0, 14.75)","(20.0, 55.0, 50.714285714285715)","(8.0, 12.5, 10.75)","(26.0, 75.0, 70.5)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:04.094403,"(2.6, 2.62, 2.6133333333333333)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 55.0)","(3.7, 4.6, 4.511627906976744)","(8.0, 18.0, 14.75)","(20.0, 55.0, 46.42857142857143)","(8.0, 12.5, 10.75)","(26.0, 75.0, 66.0)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:05.481090,"(2.6, 2.9, 2.8727272727272726)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 55.0)","(3.7, 5.0, 4.841836734693878)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.5, 10.75)","(26.0, 70.0, 66.0)","(11.0, 20.0, 15.666666666666666)"
06-01-2023 11:46:06.786380,"(2.6, 2.9, 2.7875)","(6.0, 8.6, 8.0)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.790384615384616)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 12.5, 10.75)","(26.0, 70.0, 57.69230769230769)","(11.0, 20.0, 14.8)"
06-01-2023 11:46:08.059758,"(2.6, 2.9, 2.7875)","(6.0, 8.6, 8.0)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.790384615384616)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.5, 10.75)","(26.0, 70.0, 63.666666666666664)","(11.0, 20.0, 15.5)"
06-01-2023 11:46:09.287056,"(2.6, 2.88, 2.8545454545454545)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.790384615384616)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 12.5, 10.75)","(26.0, 70.0, 53.111111111111114)","(11.0, 19.5, 15.5)"
06-01-2023 11:46:10.510843,"(2.6, 2.88, 2.8545454545454545)","(6.0, 8.6, 8.0)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.790384615384616)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 12.5, 10.75)","(26.0, 70.0, 53.111111111111114)","(11.0, 19.5, 17.833333333333332)"
06-01-2023 11:46:11.753246,"(2.6, 2.88, 2.8545454545454545)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.790384615384616)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.5, 10.75)","(26.0, 70.0, 63.666666666666664)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:12.951331,"(2.6, 2.88, 2.8545454545454545)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.790384615384616)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.5, 10.75)","(26.0, 70.0, 63.666666666666664)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:14.219391,"(2.6, 2.88, 2.8545454545454545)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.78125)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 12.5, 10.75)","(26.0, 70.0, 63.666666666666664)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:15.409845,"(2.6, 2.88, 2.745454545454545)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.7592592592592595)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 12.5, 10.75)","(26.0, 70.0, 46.375)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:16.646929,"(2.6, 2.76, 2.745454545454545)","(6.0, 8.6, 8.0)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.667741935483871)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 12.5, 9.5)","(26.0, 55.0, 46.375)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:17.917055,"(2.6, 2.76, 2.745454545454545)","(6.0, 8.6, 8.0)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.688235294117647)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 11.0, 9.5)","(26.0, 55.0, 48.42857142857143)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:19.174871,"(2.6, 2.76, 2.745454545454545)","(6.0, 8.6, 7.3999999999999995)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.688235294117647)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 11.0, 9.375)","(26.0, 55.0, 45.84615384615385)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:20.447935,"(2.6, 2.76, 2.745454545454545)","(6.0, 8.6, 7.133333333333333)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.7444444444444445)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 10.5, 8.929411764705883)","(26.0, 50.0, 45.84615384615385)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:21.692973,"(2.6, 2.76, 2.745454545454545)","(6.0, 7.8, 6.942857142857143)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.7444444444444445)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 9.0, 8.983333333333334)","(26.0, 50.0, 38.0)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:22.960285,"(2.6, 2.76, 2.7439999999999998)","(6.0, 7.8, 6.942857142857143)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.42)","(8.0, 18.0, 14.75)","(20.0, 50.0, 40.0)","(8.0, 9.0, 8.986666666666666)","(26.0, 50.0, 38.0)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:24.206230,"(2.6, 2.76, 2.7439999999999998)","(6.0, 7.6, 7.12)","(31.0, 70.0, 46.0)","(3.7, 4.9, 4.42)","(8.0, 18.0, 14.75)","(20.0, 50.0, 46.42857142857143)","(8.0, 9.0, 8.604255319148935)","(26.0, 50.0, 38.0)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:25.410474,"(2.6, 2.76, 2.7439999999999998)","(6.0, 7.8, 6.942857142857143)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.675)","(8.0, 18.0, 15.833333333333332)","(20.0, 50.0, 40.0)","(8.0, 8.8, 8.604255319148935)","(26.0, 50.0, 38.0)","(11.0, 20.0, 17.833333333333332)"
06-01-2023 11:46:26.695285,"(2.6, 2.76, 2.7439999999999998)","(6.0, 7.6, 7.12)","(31.0, 70.0, 55.0)","(3.7, 4.9, 4.675)","(8.0, 18.0, 15.833333333333332)","(20.0, 50.0, 46.42857142857143)","(8.0, 8.8, 8.604255319148935)","(26.0, 50.0, 38.0)","(11.0, 20.0, 17.833333333333332)"
