,Tessa Orchid,Princess Gypsy,Little Zambora,Lala Ultra Fast,River Matt,Super Bob,Holtorf Bale,Vitnell Bale
14-12-2022 13:38:13.542587,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:14.809316,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:16.141619,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:17.328485,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 8.95)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:18.561874,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 8.95)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:19.815417,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 8.95)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:21.101222,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 8.95)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:22.419538,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 8.95)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:23.770818,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.066666666666666)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:25.135007,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.066666666666666)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:26.387064,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.84)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:27.651796,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.36)","(6.0, 12.0, 10.84)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:28.912274,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.075)","(6.0, 12.0, 10.84)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:30.188015,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.175)","(6.0, 12.0, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:31.423951,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.175)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:32.666008,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:34.061225,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:35.368162,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:36.633836,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:37.903109,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:39.203117,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
