,Fat And Furious,Walk Softly,Uptown Rhapsody,Renegade Princess,Miss Ghislaine,The Ginger Queen,Pink Channel,Opal Creek,Twelve Stars
11-01-2023 09:11:51.949977,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:53.298658,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:54.696191,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:56.061761,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:57.439141,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:58.734123,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:59.984830,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:01.228987,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:02.685882,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:04.043938,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:05.440356,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:06.796685,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:08.057992,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:09.312788,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:10.755817,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:12.125788,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:13.485209,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:14.880605,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:16.179819,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:17.436853,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:18.737479,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:19.991742,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:12:21.277037,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:22.615737,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:23.942793,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:25.270321,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:26.548569,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:27.819281,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:29.006487,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:30.203588,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:31.524237,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(20.0, 99999, 99990)","(18.0, 99999, 99990)","(7.5, 99999, 99990)"
11-01-2023 09:12:32.820374,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:34.125338,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:35.490345,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:36.796423,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:38.073245,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:39.328853,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:40.590875,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:41.875445,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:43.234491,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:44.593225,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:46.012503,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:47.285696,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:48.735324,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:50.106935,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(18.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:51.579052,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:52.931594,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:54.315710,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:55.752504,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:57.281685,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:12:58.687171,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:00.060616,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:01.440722,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:02.746481,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:04.218746,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:05.601603,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:07.114825,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:08.539576,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:09.740635,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:11.350608,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:12.581718,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:13.853418,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:15.216562,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:16.571419,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:17.829935,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:19.159732,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:20.515057,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:21.803246,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(18.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:23.034871,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(19.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:24.249357,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(19.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:25.539513,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(19.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:26.811740,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(19.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:28.304791,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(19.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:29.710859,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(19.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:31.019078,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:32.294523,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:33.504199,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:34.803972,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:36.338795,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:37.990860,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:39.466848,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:41.286516,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:42.678648,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:43.980746,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:45.220950,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
11-01-2023 09:13:46.805391,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(10.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(17.0, 99999, 99990)","(8.0, 99999, 99990)"
