,Bisping,Double Edge Sword,Im A Cowboy,Scatamaran,Rithm Nic
15-12-2022 12:04:59.120929,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2466666666666666)"
15-12-2022 12:05:00.221556,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2285106382978723)"
15-12-2022 12:05:01.352743,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2285106382978723)"
15-12-2022 12:05:02.485208,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 17.375)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2285106382978723)"
15-12-2022 12:05:03.775138,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.2)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.21)"
15-12-2022 12:05:04.872879,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 20.0, 15.444444444444445)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.24, 2.21)"
15-12-2022 12:05:05.771122,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 21.0, 15.444444444444445)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.24, 2.21)"
15-12-2022 12:05:06.646360,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 20.0, 17.0)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.24, 2.21)"
15-12-2022 12:05:07.653666,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.525)","(8.5, 20.0, 17.0)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.24, 2.21)"
15-12-2022 12:05:08.678104,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 20.0, 17.0)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.24, 2.21)"
15-12-2022 12:05:09.590485,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 20.0, 17.0)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.24, 2.21)"
15-12-2022 12:05:10.387941,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 17.5, 16.2)","(5.0, 4.9, 4.775)","(2.05, 2.22, 2.2138461538461542)"
15-12-2022 12:05:11.401869,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 18.5, 17.0)","(5.0, 4.9, 4.775)","(2.05, 2.22, 2.207692307692308)"
15-12-2022 12:05:12.527498,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 18.5, 17.0)","(5.0, 4.9, 4.775)","(2.05, 2.22, 2.207692307692308)"
15-12-2022 12:05:13.504308,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 18.5, 17.0)","(5.0, 4.9, 4.775)","(2.05, 2.22, 2.207692307692308)"
15-12-2022 12:05:14.471613,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 18.5, 17.0)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.207692307692308)"
15-12-2022 12:05:15.467954,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 18.5, 17.0)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.207692307692308)"
15-12-2022 12:05:16.499163,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 18.5, 17.0)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.207692307692308)"
15-12-2022 12:05:17.361244,"(4.6, 8.2, 7.35)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.0, 13.0)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.172)"
15-12-2022 12:05:18.217399,"(4.6, 8.0, 7.777777777777778)","(7.0, 8.6, 8.1)","(8.5, 14.0, 12.5)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.18)"
15-12-2022 12:05:19.135210,"(4.6, 8.0, 7.777777777777778)","(7.0, 8.6, 8.1)","(8.5, 14.0, 12.5)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.166666666666667)"
15-12-2022 12:05:20.141545,"(4.6, 8.0, 7.777777777777778)","(7.0, 8.6, 8.1)","(8.5, 14.0, 12.5)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.166666666666667)"
15-12-2022 12:05:21.088081,"(4.6, 8.0, 7.777777777777778)","(7.0, 8.6, 8.1)","(8.5, 14.0, 12.5)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.166666666666667)"
15-12-2022 12:05:22.095362,"(4.6, 8.0, 7.777777777777778)","(7.0, 8.6, 8.333333333333332)","(8.5, 14.0, 12.5)","(5.0, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.166666666666667)"
15-12-2022 12:05:22.935303,"(4.8, 8.0, 7.777777777777778)","(7.0, 8.6, 8.333333333333332)","(8.5, 14.0, 12.5)","(4.8, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.166666666666667)"
15-12-2022 12:05:23.769062,"(5.0, 8.0, 7.777777777777778)","(7.0, 8.6, 8.333333333333332)","(8.5, 14.0, 12.5)","(4.8, 4.9, 4.8500000000000005)","(2.05, 2.22, 2.1500000000000004)"
15-12-2022 12:05:24.576157,"(5.0, 8.0, 7.764705882352941)","(7.0, 8.6, 8.333333333333332)","(8.5, 14.0, 12.5)","(4.8, 5.0, 4.769230769230769)","(2.05, 2.24, 2.1525000000000003)"
15-12-2022 12:05:25.428860,"(5.0, 7.6, 7.0)","(7.0, 8.6, 8.4)","(8.5, 14.0, 12.5)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.24, 2.2210526315789476)"
15-12-2022 12:05:26.258995,"(5.0, 7.6, 7.0)","(7.0, 8.6, 8.4)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.24, 2.2210526315789476)"
15-12-2022 12:05:27.201542,"(5.0, 7.4, 6.800000000000001)","(7.0, 8.6, 8.4)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.24, 2.2210526315789476)"
15-12-2022 12:05:28.026487,"(5.0, 7.4, 6.800000000000001)","(7.0, 8.6, 8.4)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.24, 2.2210526315789476)"
15-12-2022 12:05:28.860410,"(5.0, 7.6, 6.836363636363637)","(7.0, 8.6, 8.4)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.24, 2.2210526315789476)"
15-12-2022 12:05:29.692179,"(5.0, 7.6, 6.836363636363637)","(7.0, 8.6, 8.4)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.24, 2.2210526315789476)"
15-12-2022 12:05:30.504875,"(5.0, 7.6, 7.066666666666666)","(7.0, 8.6, 8.549999999999999)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.26, 2.2142857142857144)"
15-12-2022 12:05:31.312078,"(5.0, 7.6, 6.8)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.26, 2.2142857142857144)"
15-12-2022 12:05:32.176670,"(5.0, 7.6, 6.8)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.26, 2.2142857142857144)"
15-12-2022 12:05:33.061620,"(5.0, 7.6, 7.3999999999999995)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.3, 2.255)"
15-12-2022 12:05:33.917627,"(5.0, 7.6, 7.3999999999999995)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.36, 2.321111111111111)"
15-12-2022 12:05:34.961876,"(5.0, 7.6, 7.3999999999999995)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.36, 2.2822222222222224)"
15-12-2022 12:05:35.867585,"(5.0, 7.6, 7.3999999999999995)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.36, 2.2822222222222224)"
15-12-2022 12:05:36.785235,"(5.0, 7.6, 7.3999999999999995)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.36, 2.2333333333333334)"
