,Spring Port,Master Ogilvie,Daimler Bale,Militant Storm,Minor Ash,Irish Bullet,Spring Arlo,Skys Mate
06-01-2023 14:24:28.429976,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:29.867410,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:31.288703,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:32.791037,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:34.251631,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:35.584523,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:36.988137,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:38.370156,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:39.687051,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:41.022935,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:42.408301,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:43.813997,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:45.161350,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:46.502569,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:47.816963,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:49.266693,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:50.697003,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:52.136780,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:53.454588,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:54.705776,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:55.961971,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:57.269173,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:58.527023,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:59.801979,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:01.135447,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:02.460301,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:03.816082,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:05.187899,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:06.567621,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:07.995761,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:25:09.377934,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 105.0)"
06-01-2023 14:25:10.703136,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 105.0)"
06-01-2023 14:25:11.892564,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:13.182866,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:14.448890,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:15.800796,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:17.016678,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:18.501628,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:20.019118,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:21.440120,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:22.864447,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:24.273882,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:25.685857,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:27.056068,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:28.335100,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:29.661198,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:31.005466,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:32.332621,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:33.565737,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:34.761560,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:36.031929,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:37.357276,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:38.645182,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:40.005048,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:41.357438,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
06-01-2023 14:25:42.698357,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 12.88888888888889)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 17.816666666666666)","(20.0, 210.0, 77.85714285714286)","(31.0, 180.0, 72.14285714285714)"
