,Family Star,Higher Realm,Lily Ofthe Glen,Aspen Lad,Hit Snooze
07-01-2023 14:14:32.731281,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.68)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.495833333333334)","(5.5, 6.0, 5.95)"
07-01-2023 14:14:33.567403,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.495833333333334)","(5.5, 6.0, 5.95)"
07-01-2023 14:14:34.529636,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.495833333333334)","(5.5, 6.0, 5.95)"
07-01-2023 14:14:35.449906,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.495833333333334)","(5.5, 6.0, 5.95)"
07-01-2023 14:14:36.538096,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.745454545454545)","(4.8, 6.2, 6.083333333333334)","(4.0, 4.5, 4.495625)","(5.5, 6.0, 5.9855072463768115)"
07-01-2023 14:14:37.655016,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.753846153846154)","(4.8, 6.2, 6.083333333333334)","(4.0, 4.5, 4.495625)","(5.5, 6.0, 5.9855072463768115)"
07-01-2023 14:14:38.681924,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.753846153846154)","(4.8, 6.2, 6.083333333333334)","(4.0, 4.5, 4.495625)","(5.5, 6.0, 5.9855072463768115)"
07-01-2023 14:14:39.751870,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.753846153846154)","(4.8, 6.2, 6.083333333333334)","(4.0, 4.5, 4.495625)","(5.5, 6.0, 5.9855072463768115)"
07-01-2023 14:14:40.765372,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.753846153846154)","(4.8, 6.2, 6.083333333333334)","(4.0, 4.5, 4.495625)","(5.5, 6.0, 5.954545454545455)"
07-01-2023 14:14:41.902492,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.733333333333333)","(4.8, 6.2, 6.142857142857143)","(4.0, 4.5, 4.495625)","(5.5, 6.0, 6.5)"
07-01-2023 14:14:42.917931,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.4, 6.142857142857143)","(4.0, 4.5, 4.495625)","(5.5, 6.6, 6.512499999999999)"
07-01-2023 14:14:43.858780,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.4, 5.875)","(4.0, 4.5, 4.495625)","(5.5, 6.6, 6.512499999999999)"
07-01-2023 14:14:44.833445,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.4, 5.7700000000000005)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.28888888888889)"
07-01-2023 14:14:45.810947,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.191666666666667)"
07-01-2023 14:14:46.746443,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.191666666666667)"
07-01-2023 14:14:47.647025,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:48.616363,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:49.559731,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:50.539708,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:51.571944,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:52.485530,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:53.450039,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:54.415974,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.16)"
07-01-2023 14:14:55.362375,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:14:56.332239,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:14:57.221115,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:14:58.234571,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:14:59.210918,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:00.198339,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:01.238138,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:02.057057,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495625)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:03.087859,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:04.077532,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:05.043274,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:06.017885,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:07.022200,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.714285714285714)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:08.035711,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:09.101181,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:10.154825,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.2)"
07-01-2023 14:15:11.152377,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:12.099201,"(3.7, 4.8, 4.6461538461538465)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:13.129958,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:14.154360,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.728571428571429)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:15.234764,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.728571428571429)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:16.204723,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.728571428571429)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:17.304531,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.728571428571429)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:18.399251,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.728571428571429)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:19.627441,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:20.793177,"(3.7, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:21.738467,"(3.8, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:22.823572,"(3.8, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:23.841012,"(3.8, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(4.0, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:24.828345,"(3.8, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(3.9, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:25.807417,"(3.8, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.92)","(3.9, 4.5, 4.495757575757576)","(5.5, 6.4, 6.276923076923077)"
07-01-2023 14:15:26.890921,"(3.8, 4.8, 4.633333333333334)","(3.7, 4.8, 4.7)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 6.4, 6.733333333333333)"
07-01-2023 14:15:27.927792,"(3.8, 4.8, 4.654545454545454)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.8, 6.953846153846154)"
07-01-2023 14:15:28.920944,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.6, 6.7444444444444445)"
07-01-2023 14:15:29.936836,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.6, 6.7444444444444445)"
07-01-2023 14:15:30.837543,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.6, 6.7444444444444445)"
07-01-2023 14:15:31.833389,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:32.852592,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:33.861731,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:34.854493,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495757575757576)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:35.886831,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:36.855269,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:37.839588,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:38.888751,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:39.864654,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:40.810936,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:41.815283,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:42.776296,"(3.8, 4.8, 4.654545454545454)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:43.670372,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:44.664722,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.522222222222222)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:45.582804,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:46.588032,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:47.565187,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:48.531926,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:49.505482,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:50.472223,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:51.506718,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:52.409501,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:53.331772,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:54.307102,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:55.188057,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:56.219825,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.7625)","(3.9, 4.5, 4.495625)","(5.5, 7.4, 7.0)"
07-01-2023 14:15:57.187687,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.68)","(3.9, 4.5, 4.493292682926829)","(5.5, 7.4, 7.257142857142857)"
07-01-2023 14:15:58.143642,"(3.8, 4.6, 4.54)","(3.7, 4.5, 4.445454545454545)","(4.8, 5.8, 5.733333333333333)","(3.9, 4.5, 4.485897435897436)","(5.5, 7.4, 6.542857142857143)"
07-01-2023 14:15:59.069471,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.5, 4.485897435897436)","(5.5, 7.4, 6.9)"
07-01-2023 14:15:59.936434,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.5, 4.49041095890411)","(5.5, 7.4, 7.233333333333333)"
07-01-2023 14:16:00.960829,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.331553398058253)","(5.5, 7.4, 6.9714285714285715)"
07-01-2023 14:16:01.904733,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.55)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.331553398058253)","(5.5, 7.4, 6.9714285714285715)"
07-01-2023 14:16:02.701513,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.55)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.331553398058253)","(5.5, 7.4, 6.9714285714285715)"
07-01-2023 14:16:03.663611,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.55)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.331553398058253)","(5.5, 7.4, 6.9714285714285715)"
07-01-2023 14:16:04.646474,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.55)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.329850746268657)","(5.5, 7.4, 7.04)"
07-01-2023 14:16:05.637459,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.55)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.329850746268657)","(5.5, 7.4, 7.04)"
07-01-2023 14:16:06.535677,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.55)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.329850746268657)","(5.5, 7.4, 7.04)"
07-01-2023 14:16:07.395330,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.733333333333333)","(3.9, 4.4, 4.277391304347827)","(5.5, 7.4, 7.04)"
07-01-2023 14:16:08.363498,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.64)","(3.9, 4.3, 4.293684210526315)","(5.5, 7.4, 7.04)"
07-01-2023 14:16:09.300916,"(3.8, 4.8, 4.575)","(3.7, 4.8, 4.607692307692307)","(4.8, 6.2, 5.64)","(3.9, 4.3, 4.293684210526315)","(5.5, 7.4, 7.04)"
