,Bracken Warrior,Radiant Amber,Mini Mine Yet Nz,Top The Ace,Gimme A Reason,Miss Daytona Nz,Mister Cole,Crazy Shippo,Murphys Reward Nz,Twentyeightblack
10-01-2023 15:49:21.441411,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:22.781784,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:24.069667,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:25.451903,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:27.218667,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:28.661878,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:29.949582,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:31.315230,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:32.868967,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:34.440274,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:35.909329,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:37.390147,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:38.833039,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:40.365133,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:41.843318,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:43.412417,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:44.913496,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:46.287700,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:47.678213,"(8.5, 17.5, 15.185714285714285)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:49.152380,"(8.5, 17.5, 15.185714285714285)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:50.701437,"(8.5, 17.5, 15.785714285714285)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:52.187217,"(8.5, 17.5, 12.5)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:53.625153,"(8.5, 13.5, 12.333333333333334)","(3.8, 5.1, 4.377777777777777)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:55.013590,"(8.5, 13.0, 12.333333333333334)","(3.8, 5.1, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:56.437664,"(8.5, 18.0, 16.142857142857142)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:57.883590,"(8.5, 18.0, 13.0)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:59.342494,"(8.5, 13.5, 17.142857142857142)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:00.819783,"(8.5, 19.0, 16.4375)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 7.6, 6.05)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:02.345104,"(8.5, 18.5, 16.4375)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:03.895336,"(8.5, 18.5, 16.4375)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:05.463731,"(8.5, 18.5, 16.4375)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:07.017582,"(8.5, 18.5, 16.4375)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:08.547813,"(8.5, 18.5, 16.4375)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:10.051763,"(8.5, 18.5, 13.5)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:11.546937,"(8.5, 14.0, 13.5)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:13.033174,"(8.5, 18.5, 16.625)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 5.9125)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:14.435264,"(8.5, 14.5, 14.0)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.8, 7.05)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:15.962144,"(8.5, 15.0, 14.5)","(3.8, 5.0, 4.1692307692307695)","(3.2, 99999, 99990)","(4.8, 8.6, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:17.355035,"(8.5, 15.0, 18.071428571428573)","(3.8, 5.0, 4.428571428571429)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:18.915508,"(8.5, 19.5, 17.928571428571427)","(3.8, 4.9, 4.428571428571429)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:20.334402,"(8.5, 19.5, 14.6875)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:21.782945,"(8.5, 15.0, 14.6875)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:23.169392,"(8.5, 15.0, 14.75)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:24.654987,"(8.5, 19.0, 18.23076923076923)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.555555555555557)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:26.090098,"(8.5, 14.5, 14.214285714285714)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:27.508580,"(8.5, 19.0, 13.5)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:28.953795,"(8.5, 14.0, 13.75)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:30.334942,"(8.5, 14.0, 13.75)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:31.778103,"(8.5, 19.0, 11.666666666666666)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:33.290269,"(8.5, 13.5, 8.189655172413794)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:34.876563,"(8.5, 13.0, 8.25)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:50:36.760411,"(8.5, 13.0, 8.266666666666667)","(3.8, 4.9, 4.3)","(3.2, 99999, 99990)","(4.8, 8.4, 6.466666666666667)","(13.0, 19.0, 17.05)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
