,Willby Rules,Alpine Blast,Lions Tooth,Aspirate,Mascherata,Gee Gee Can Win,Spirited Toff,Techno Awards,The Beekeeper,Miss Sleuth
11-01-2023 15:47:24.827706,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:26.581767,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:28.537953,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:30.266916,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:32.023737,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:33.972603,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:35.831204,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:37.596158,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:39.283879,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 19.5)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:40.901792,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:42.470671,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.932857142857143)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:44.128112,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.932857142857143)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:45.723058,"(16.0, 22.0, 17.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.932857142857143)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:47.325281,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:48.943691,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:50.559071,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:52.181428,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:53.767421,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:55.365023,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:56.924374,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 19.5)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:58.521934,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 27.0, 20.0)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:00.090494,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:01.637550,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:03.160404,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9392592592592592)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:04.748799,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9392592592592592)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:06.372064,"(16.0, 22.0, 18.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9392592592592592)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:07.907156,"(16.0, 22.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9642105263157896)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:09.337944,"(16.0, 21.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9642105263157896)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:10.820806,"(16.0, 21.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9642105263157896)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:12.325416,"(16.0, 21.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.966666666666667)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:13.974393,"(16.0, 21.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.966666666666667)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:15.511988,"(16.0, 21.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.966666666666667)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:17.130473,"(16.0, 21.0, 18.0)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.966666666666667)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:18.951751,"(16.0, 21.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:20.635752,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:22.091665,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:23.620245,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:25.154530,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:48:26.691210,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:28.209229,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 20.0)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:29.724999,"(16.0, 20.0, 16.666666666666668)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 26.0, 19.5)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:31.388157,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 32.0, 19.5)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:33.080217,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 32.0, 19.5)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:34.615461,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 32.0, 19.5)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:36.122371,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 32.0, 19.5)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:37.572289,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 32.0, 19.5)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:38.972839,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 32.0, 21.333333333333332)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:40.505737,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 2.9386666666666668)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:42.417709,"(16.0, 20.0, 17.5)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 2.955)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:44.296179,"(16.0, 20.0, 17.5)","(6.5, 9.4, 8.083333333333334)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 3.0472727272727274)","(2.6, 3.7, 3.388888888888889)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:46.048619,"(16.0, 20.0, 17.5)","(6.5, 11.5, 9.56)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 3.0472727272727274)","(2.6, 3.7, 3.41)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:47.736117,"(16.0, 20.0, 17.5)","(6.5, 11.0, 8.28)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 3.0472727272727274)","(2.6, 3.65, 3.41)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:49.386945,"(16.0, 20.0, 17.5)","(6.5, 11.0, 8.566666666666666)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 3.0472727272727274)","(2.6, 3.65, 3.41)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:50.664127,"(16.0, 20.0, 17.5)","(6.5, 10.5, 7.866666666666666)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 2.994666666666667)","(2.6, 3.65, 3.4785714285714286)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 16.2)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:52.014862,"(16.0, 20.0, 17.5)","(6.5, 9.2, 7.866666666666666)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 2.994666666666667)","(2.6, 3.65, 3.4785714285714286)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 16.2)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:53.385539,"(16.0, 20.0, 19.0)","(6.5, 9.2, 7.866666666666666)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 2.994666666666667)","(2.6, 3.65, 3.625)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
11-01-2023 15:48:54.789439,"(16.0, 20.0, 19.0)","(6.5, 9.2, 7.7)","(17.0, 46.0, 27.333333333333336)","(15.0, 30.0, 21.333333333333332)","(2.7, 3.2, 2.994666666666667)","(2.6, 3.9, 3.625)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 191.42857142857144)"
