,Mariahs Shadow,Joey Girl,Kahina,Pay Me Interest Nz,Whistle On By,Atreacherous
12-01-2023 12:03:32.577140,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:33.552836,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:34.485716,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:35.389867,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:36.391008,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:37.335915,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:38.311034,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:39.321928,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:40.318518,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:41.272796,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:42.274597,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:43.316414,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:44.391552,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:45.409513,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:46.324531,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:47.307524,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:48.238450,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:49.220529,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:50.172338,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:51.203597,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:52.165495,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:53.087482,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:53.992955,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:54.961276,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:55.940624,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:56.981597,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:58.023516,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:58.952847,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:59.863190,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:04:00.753255,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:04:01.688313,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:04:02.622138,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:04:03.568376,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:04:04.486324,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:04:05.400136,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:06.386460,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:07.290437,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:08.241363,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:09.162109,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:10.030015,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:11.016634,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:11.983709,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:13.032104,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:14.037729,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:15.094008,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:16.001088,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:16.904993,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:17.805684,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:18.730188,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:19.769669,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:20.657490,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:21.487152,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:22.407616,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:23.356720,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:24.319679,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:25.238628,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:26.161003,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:27.153639,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:28.117730,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:29.136247,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:30.126135,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:31.052045,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:31.926415,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:32.886666,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:33.878629,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:34.795480,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:35.812558,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:36.699738,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:37.666284,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:38.614473,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:39.668680,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:40.629458,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:41.561485,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:42.442800,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:43.367482,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:44.362636,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:45.234169,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:46.113193,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:47.023994,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:47.939400,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:48.947677,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:49.816743,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:50.702543,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:51.571787,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:52.505991,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:53.500980,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:54.471736,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:55.375541,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:56.247488,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:57.147134,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:58.072398,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:04:59.045886,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:00.023147,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:00.893983,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:01.744246,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:02.705530,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:03.722382,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:04.716641,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:05.604377,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:06.444789,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
12-01-2023 12:05:07.401155,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.5175)"
