,Stings To Burn,Aston Bier,Erupting Avatar,Liberty Royal,Our Boy Ziggy,Delta Storm,All Inn Scooby,Jax Flash
08-12-2022 12:50:10.697119,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:11.947633,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:13.299961,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:14.797079,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:16.266004,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:17.825721,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:19.294537,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:20.782587,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:22.429902,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:23.945665,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:25.436204,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:26.931216,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:28.313945,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:29.679881,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:31.075713,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:32.394567,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:33.742042,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:35.090644,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:36.502244,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:37.925539,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:39.353571,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:40.756314,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:42.181509,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:43.506005,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:44.853538,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:46.227026,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:47.648311,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.625)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:49.107569,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:50.542248,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:51.929441,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:53.317417,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:54.799153,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:56.240476,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 10.971428571428572)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:57.968862,"(6.0, 10.0, 8.28)","(8.0, 23.0, 14.875)","(8.5, 16.0, 11.68)","(8.0, 13.5, 10.971428571428572)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.17142857142857)"
08-12-2022 12:50:59.622265,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 13.5, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:01.128790,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:02.557799,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:04.062553,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:05.513064,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:06.958966,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:08.353712,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.0)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:09.740889,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:11.112073,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:12.507057,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:13.931150,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:15.353854,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:16.634090,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:17.944676,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:19.230424,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:20.593937,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:21.921057,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:23.234063,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:24.471285,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:25.690034,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:27.027942,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:28.315909,"(6.0, 10.0, 8.28)","(8.0, 23.0, 10.5)","(8.5, 16.0, 11.066666666666666)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:29.678748,"(6.0, 10.0, 8.28)","(8.0, 23.0, 16.833333333333332)","(8.5, 16.0, 15.688)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:30.987664,"(6.0, 10.0, 8.28)","(8.0, 23.0, 16.833333333333332)","(8.5, 16.0, 10.933333333333334)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:32.276102,"(6.0, 10.0, 8.28)","(8.0, 23.0, 16.833333333333332)","(8.5, 16.0, 10.933333333333334)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:33.583485,"(6.0, 10.0, 8.28)","(8.0, 23.0, 16.833333333333332)","(8.5, 16.0, 10.933333333333334)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 6.073913043478261)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:34.845682,"(6.0, 10.0, 8.28)","(8.0, 23.0, 16.833333333333332)","(8.5, 16.0, 10.933333333333334)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 3.8579710144927537)","(5.0, 11.5, 10.12857142857143)"
08-12-2022 12:51:36.158275,"(6.0, 10.0, 8.28)","(8.0, 23.0, 16.833333333333332)","(8.5, 16.0, 12.96)","(8.0, 14.0, 8.31111111111111)","(5.0, 8.6, 5.306666666666667)","(6.0, 10.5, 8.4)","(4.2, 3.9, 3.8579710144927537)","(5.0, 11.5, 10.370588235294118)"
08-12-2022 12:51:37.449686,"(6.0, 10.0, 8.464285714285714)","(8.0, 23.0, 14.777777777777779)","(8.5, 16.0, 13.533333333333333)","(8.0, 14.0, 10.061538461538461)","(5.0, 8.6, 6.13)","(6.0, 10.5, 8.4)","(4.2, 3.9, 4.5625)","(5.0, 11.5, 8.8)"
08-12-2022 12:51:38.815647,"(6.0, 10.0, 8.464285714285714)","(8.0, 23.0, 14.88888888888889)","(8.5, 16.0, 13.533333333333333)","(8.0, 14.0, 12.528571428571428)","(5.0, 8.6, 6.795)","(6.0, 10.5, 9.814285714285713)","(4.2, 6.4, 5.935294117647059)","(5.0, 11.5, 8.8)"
08-12-2022 12:51:40.179850,"(6.0, 12.5, 10.071428571428571)","(8.0, 23.0, 19.28)","(8.5, 16.0, 12.82857142857143)","(8.0, 14.5, 13.350000000000001)","(5.0, 10.5, 6.666666666666666)","(6.0, 10.5, 9.456521739130434)","(4.2, 6.2, 5.953488372093023)","(5.0, 11.5, 8.35)"
08-12-2022 12:51:41.511539,"(6.0, 12.0, 10.854545454545455)","(8.0, 22.0, 20.3)","(8.5, 16.0, 12.4)","(8.0, 14.5, 10.41)","(5.0, 8.0, 6.0625)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.954761904761905)","(5.0, 11.5, 7.957142857142857)"
08-12-2022 12:51:42.745599,"(6.0, 12.0, 8.457142857142857)","(8.0, 22.0, 20.325)","(8.5, 16.0, 12.4)","(8.0, 16.5, 10.41)","(5.0, 8.0, 6.545454545454545)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.959090909090909)","(5.0, 11.5, 10.152631578947368)"
08-12-2022 12:51:43.993003,"(6.0, 12.0, 8.457142857142857)","(8.0, 22.0, 20.325)","(8.5, 16.0, 12.4)","(8.0, 16.5, 10.41)","(5.0, 8.0, 6.545454545454545)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.959090909090909)","(5.0, 11.5, 10.152631578947368)"
08-12-2022 12:51:45.306854,"(6.0, 12.0, 8.457142857142857)","(8.0, 22.0, 20.325)","(8.5, 16.0, 12.870588235294118)","(8.0, 16.5, 10.41)","(5.0, 8.0, 6.545454545454545)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.733333333333333)","(5.0, 11.5, 10.152631578947368)"
08-12-2022 12:51:46.614239,"(6.0, 12.0, 8.457142857142857)","(8.0, 22.0, 20.325)","(8.5, 16.0, 12.870588235294118)","(8.0, 16.5, 10.41)","(5.0, 8.0, 6.545454545454545)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.625)","(5.0, 11.5, 10.152631578947368)"
08-12-2022 12:51:47.913188,"(6.0, 12.0, 8.457142857142857)","(8.0, 22.0, 20.325)","(8.5, 16.0, 12.870588235294118)","(8.0, 16.5, 10.41)","(5.0, 8.0, 6.545454545454545)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.625)","(5.0, 11.5, 10.152631578947368)"
08-12-2022 12:51:49.301163,"(6.0, 12.0, 8.457142857142857)","(8.0, 22.0, 20.325)","(8.5, 16.0, 11.418181818181818)","(8.0, 16.5, 10.41)","(5.0, 8.0, 6.545454545454545)","(6.0, 10.5, 7.814285714285714)","(4.2, 6.0, 5.75)","(5.0, 11.5, 10.152631578947368)"
