,Road Home,Blue Jeans Talk,Akimbo,White Like Snow,Black Delight,Five Putt Cal
11-01-2023 21:02:05.970895,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:07.361088,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:08.526751,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:09.714802,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:10.845939,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:11.979445,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:13.143677,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:14.261986,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:15.392751,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:16.461659,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:17.541084,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:18.647962,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:19.756248,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:20.886982,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:21.972896,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:23.043894,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:24.159648,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:25.215923,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:26.325836,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.15, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:27.586350,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:28.734208,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:29.767506,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:30.841064,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:31.964102,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:33.143744,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 177.0769230769231)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:34.440772,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:35.729135,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:36.823317,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:37.903478,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:38.972165,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:40.016857,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:41.054599,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:42.157696,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:43.211290,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:44.290779,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:45.502190,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:46.604430,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:47.738073,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:48.830978,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:49.893640,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:51.047234,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:52.076660,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:53.225147,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:54.486863,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
