,Galaga,Miss Eugen,Graciebird,Sly As A Fox,Dream Evil,Take Another Look,Nippa Whiskey
07-01-2023 15:06:25.722613,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:26.686827,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:27.711580,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:28.738087,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:29.781984,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:30.839217,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:31.840275,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:32.788637,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:33.799991,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:34.810730,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:35.803406,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:36.760488,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:37.713644,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:38.671705,"(12.0, 18.5, 16.571428571428573)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:39.569311,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:40.589017,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:41.528801,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:42.588272,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:43.581327,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:44.800345,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:45.814359,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:46.824549,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 7.107692307692307)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:47.812415,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.8, 7.107692307692307)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:48.804752,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.8, 7.107692307692307)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:49.801456,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.8, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:50.734015,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:51.684978,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:52.688305,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:53.643080,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:54.584129,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:55.563994,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:56.514050,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:57.437831,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:58.376889,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:59.367690,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:00.313190,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:01.243451,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:02.232361,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:03.147256,"(12.0, 18.5, 17.15)","(4.8, 7.4, 7.116666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:04.075336,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:05.038474,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:05.989603,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:06.909064,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:08.123265,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:09.144202,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:10.132765,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:11.171593,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:12.190725,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:13.121798,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:14.073242,"(12.0, 18.5, 17.15)","(4.8, 7.4, 6.866666666666667)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:15.024831,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 20.0, 16.57142857142857)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:16.050883,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.04, 1.969090909090909)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:16.974366,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.969090909090909)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:17.973899,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.969090909090909)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:18.888566,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.969090909090909)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:19.832642,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.969090909090909)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:20.765565,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.969090909090909)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:21.729175,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:22.669734,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:23.584701,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:24.502872,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:25.406266,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:26.322027,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:27.225893,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:28.162404,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:29.295941,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:30.294797,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:31.251332,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:32.224575,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:33.369826,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:34.372878,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:35.453097,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:36.419623,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:37.419644,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:38.427347,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:39.383617,"(12.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(8.5, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.0, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:40.298062,"(13.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(9.0, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.5, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:07:41.224585,"(13.0, 18.0, 16.545454545454547)","(4.8, 7.4, 6.866666666666667)","(10.0, 19.5, 17.3)","(9.0, 15.5, 11.125)","(1.9, 2.02, 1.9644827586206897)","(5.5, 8.6, 7.8)","(18.0, 55.0, 34.333333333333336)"
