,Bons Better,Mont Royal,Royal Midnight,Curry Legend,Hard To Level,Invaness,Shes Approaching,Wan Damour,Stobosa,Gorgeous King,Evelyn Salt,Angama
12-01-2023 13:53:06.071421,"(3.1, 3.55, 3.5357142857142856)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.438904109589041)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 335.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:07.666895,"(3.1, 3.55, 3.515)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.4410526315789474)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 335.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:09.273688,"(3.1, 3.55, 3.48)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.46, 2.4431249999999998)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 335.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:11.106793,"(3.1, 3.5, 3.4650000000000003)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.46, 2.4431249999999998)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 335.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:12.754052,"(3.1, 3.5, 3.4650000000000003)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.46, 2.4431249999999998)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 335.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:14.416049,"(3.1, 3.5, 3.4625000000000004)","(31.0, 40.0, 38.5)","(61.0, 140.0, 141.66666666666669)","(2.1, 2.46, 2.4294656488549617)","(26.0, 46.0, 37.666666666666664)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 63.18181818181818)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:16.039228,"(3.1, 3.55, 3.4625000000000004)","(31.0, 40.0, 38.5)","(61.0, 150.0, 141.66666666666669)","(2.1, 2.44, 2.4275675675675674)","(26.0, 38.0, 37.666666666666664)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 70.0, 63.18181818181818)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 17.5, 17.071428571428573)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:17.895993,"(3.1, 3.55, 3.4625000000000004)","(31.0, 40.0, 38.5)","(61.0, 150.0, 126.0)","(2.1, 2.44, 2.4269811320754715)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 17.5, 17.1)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:20.098525,"(3.1, 3.55, 3.4625000000000004)","(31.0, 40.0, 38.5)","(61.0, 150.0, 118.88888888888889)","(2.1, 2.44, 2.4269811320754715)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 17.5, 17.1)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:21.979229,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 150.0, 118.88888888888889)","(2.1, 2.44, 2.424054054054054)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.636363636363637)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:23.702799,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 150.0, 118.88888888888889)","(2.1, 2.44, 2.424054054054054)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.318181818181817)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:25.406264,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 150.0, 118.88888888888889)","(2.1, 2.44, 2.424054054054054)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.318181818181817)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:27.034827,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 150.0, 118.88888888888889)","(2.1, 2.44, 2.424054054054054)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.291666666666668)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:28.572023,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 150.0, 118.88888888888889)","(2.1, 2.44, 2.424054054054054)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:30.200226,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.6)","(61.0, 150.0, 122.0)","(2.1, 2.44, 2.424054054054054)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:31.907467,"(3.1, 3.55, 3.457692307692308)","(31.0, 38.0, 37.857142857142854)","(61.0, 150.0, 115.0)","(2.1, 2.44, 2.4264367816091954)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:33.642773,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 120.0, 115.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:35.369682,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 120.0, 115.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:37.188508,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 120.0, 115.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:38.881679,"(3.1, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 120.0, 115.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:40.868455,"(3.2, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 120.0, 115.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:42.586401,"(3.2, 3.55, 3.457692307692308)","(31.0, 40.0, 37.857142857142854)","(61.0, 120.0, 115.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:44.375008,"(3.2, 3.55, 3.457692307692308)","(31.0, 40.0, 37.5)","(61.0, 120.0, 114.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:46.116151,"(3.2, 3.55, 3.457692307692308)","(31.0, 38.0, 37.5)","(61.0, 120.0, 114.0)","(2.1, 2.44, 2.425609756097561)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:47.826488,"(3.2, 3.55, 3.457692307692308)","(31.0, 40.0, 37.5)","(61.0, 120.0, 114.0)","(2.1, 2.44, 2.4252173913043475)","(26.0, 38.0, 37.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:49.615416,"(3.2, 3.55, 3.457692307692308)","(31.0, 40.0, 37.5)","(61.0, 120.0, 114.0)","(2.1, 2.44, 2.425)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:51.358554,"(3.2, 3.55, 3.457692307692308)","(31.0, 40.0, 37.5)","(61.0, 120.0, 114.0)","(2.1, 2.44, 2.425)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 18.0, 16.735294117647058)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:53.013531,"(3.1, 3.55, 3.457692307692308)","(26.0, 40.0, 37.5)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.425)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 17.0, 16.735294117647058)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:54.632963,"(3.1, 3.55, 3.457692307692308)","(26.0, 40.0, 37.5)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.425)","(26.0, 38.0, 37.6)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 355.0)","(11.0, 17.5, 17.271428571428572)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:56.316646,"(3.1, 3.55, 3.457692307692308)","(26.0, 40.0, 37.5)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.4295774647887325)","(26.0, 46.0, 38.22222222222222)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 340.0)","(11.0, 17.5, 17.271428571428572)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:57.950649,"(3.1, 3.55, 3.457692307692308)","(26.0, 40.0, 37.5)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.4295774647887325)","(26.0, 46.0, 38.22222222222222)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 340.0)","(11.0, 17.5, 17.272727272727273)","(81.0, 230.0, 220.0)"
12-01-2023 13:53:59.649086,"(3.1, 3.55, 3.457692307692308)","(26.0, 38.0, 37.5)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.4325925925925924)","(26.0, 46.0, 38.22222222222222)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 390.0, 320.0)","(11.0, 18.0, 17.3)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:01.346768,"(3.1, 3.55, 3.457692307692308)","(26.0, 38.0, 37.5)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.429795918367347)","(26.0, 46.0, 38.22222222222222)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 380.0, 320.0)","(11.0, 18.0, 17.3)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:02.987101,"(3.1, 3.55, 3.457692307692308)","(26.0, 38.0, 36.75)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.436111111111111)","(26.0, 46.0, 39.91304347826087)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 380.0, 320.0)","(11.0, 18.0, 17.794117647058822)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:04.648819,"(3.1, 3.5, 3.478723404255319)","(26.0, 38.0, 34.666666666666664)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.436111111111111)","(26.0, 46.0, 44.095238095238095)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 64.0)","(21.0, 48.0, 44.30769230769231)","(101.0, 380.0, 320.0)","(11.0, 18.0, 17.717391304347824)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:06.225900,"(3.1, 3.5, 3.4741379310344827)","(26.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.46, 2.4240963855421684)","(26.0, 46.0, 40.25)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 66.66666666666667)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 320.0)","(11.0, 18.0, 17.7)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:07.826630,"(3.1, 3.5, 3.4741379310344827)","(26.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.4240963855421684)","(26.0, 42.0, 40.25)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(26.0, 70.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 320.0)","(12.0, 18.0, 17.916666666666668)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:09.377188,"(3.1, 3.5, 3.4741379310344827)","(21.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.4240963855421684)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 320.0)","(12.0, 18.0, 17.916666666666668)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:10.902817,"(3.1, 3.5, 3.4741379310344827)","(21.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.4240963855421684)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 320.0)","(12.0, 18.0, 17.794117647058822)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:12.552946,"(3.1, 3.5, 3.4741379310344827)","(21.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.4240963855421684)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.794117647058822)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:14.185886,"(3.1, 3.5, 3.4741379310344827)","(21.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.4240963855421684)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.794117647058822)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:15.759027,"(3.1, 3.5, 3.4741379310344827)","(21.0, 38.0, 37.23076923076923)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.4240963855421684)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.794117647058822)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:17.347092,"(3.1, 3.5, 3.465648854961832)","(21.0, 38.0, 37.333333333333336)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.423076923076923)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 67.82608695652173)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.794117647058822)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:19.040442,"(3.1, 3.5, 3.465648854961832)","(21.0, 38.0, 37.4)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.425333333333333)","(26.0, 42.0, 40.0)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 69.10714285714286)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:20.635278,"(3.1, 3.5, 3.465648854961832)","(21.0, 38.0, 37.4)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.425333333333333)","(26.0, 42.0, 40.55172413793103)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 70.43478260869566)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:22.223523,"(3.1, 3.5, 3.465648854961832)","(21.0, 38.0, 37.4)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.425333333333333)","(26.0, 42.0, 40.55172413793103)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 69.23076923076923)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.5)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:23.937042,"(3.1, 3.5, 3.465648854961832)","(21.0, 38.0, 37.4)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.423076923076923)","(26.0, 42.0, 40.55172413793103)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 69.23076923076923)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.642857142857142)","(81.0, 230.0, 220.0)"
12-01-2023 13:54:25.633402,"(3.1, 3.5, 3.465648854961832)","(21.0, 38.0, 37.4)","(71.0, 120.0, 114.0)","(2.15, 2.44, 2.423076923076923)","(26.0, 42.0, 40.55172413793103)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.741935483870968)","(31.0, 75.0, 69.23076923076923)","(21.0, 48.0, 45.714285714285715)","(101.0, 380.0, 340.0)","(12.0, 18.0, 17.666666666666668)","(81.0, 230.0, 220.0)"
