,Alvin Rose,Rocket Man Rose,Legendary Value,Toby West,Im Gifted Too,Victa Grosso
06-01-2023 14:01:46.529371,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:47.617039,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:48.707560,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:49.890850,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:51.051409,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:52.379160,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:53.696915,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:54.923217,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:55.928899,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:01:56.999697,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:58.132751,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:59.288132,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:00.352031,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:01.321371,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:02.289285,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:03.345813,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:04.320550,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:05.256189,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:06.256656,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:02:07.284074,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.483333333333334)"
06-01-2023 14:02:08.384066,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:02:09.571343,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 5.2875000000000005)"
06-01-2023 14:02:11.115731,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 4.118181818181818)"
06-01-2023 14:02:12.456654,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 4.118181818181818)"
06-01-2023 14:02:13.562844,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 4.118181818181818)"
06-01-2023 14:02:14.621949,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 4.118181818181818)"
06-01-2023 14:02:15.853848,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 4.118181818181818)"
06-01-2023 14:02:17.176183,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 4.118181818181818)"
06-01-2023 14:02:18.264080,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:19.392737,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:20.682855,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:21.845561,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:22.814932,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:23.855144,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:24.869203,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:25.953233,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:27.073557,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 47.5)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:28.124206,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:29.167177,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:30.260344,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:31.321053,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:32.248737,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:33.259251,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:34.213952,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:35.170991,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:36.116645,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:37.134093,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 48.0)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:38.167769,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:39.270366,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:40.241147,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 59.583333333333336)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:41.229970,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 59.583333333333336)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:42.490207,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 59.583333333333336)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.06)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:43.854561,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 59.583333333333336)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:45.058419,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:46.247288,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:47.346396,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:48.365003,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:49.299601,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 51.875)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:50.353142,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 29.166666666666664)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:51.529240,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:52.457588,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:53.471888,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:54.450350,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:55.412702,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:56.302548,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:57.222377,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:58.243690,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:02:59.176680,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:00.082237,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:01.032376,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:02.027375,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:02.975048,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:03.911000,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:05.095382,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:06.127596,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:07.178138,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:08.265621,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:09.226447,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:10.315351,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:11.399247,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:12.329847,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:13.292477,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:14.303729,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:15.279950,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:16.121610,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:17.141143,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
06-01-2023 14:03:18.192666,"(26.0, 110.0, 38.333333333333336)","(21.0, 75.0, 50.0)","(12.0, 26.0, 15.285714285714285)","(2.0, 3.3, 2.2885714285714287)","(2.9, 4.5, 3.255)","(3.5, 5.9, 3.6777777777777776)"
