,Indy Van Cool,Patch Herrera,Garrys Chaos,Hard Case Watson,Foul Play,Off Switch
04-01-2023 12:52:24.603975,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:25.632655,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:26.651442,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:27.736902,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:28.745652,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:29.662211,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:30.539280,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:31.503715,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 34.5)"
04-01-2023 12:52:32.471640,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 34.5)"
04-01-2023 12:52:33.509971,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 34.5)"
04-01-2023 12:52:34.542782,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 34.5)"
04-01-2023 12:52:35.510379,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 34.5)"
04-01-2023 12:52:36.441142,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 34.5)"
04-01-2023 12:52:37.508469,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:38.646569,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:39.709428,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:40.849214,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:41.908874,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:42.895178,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.454545454545453)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:43.865293,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.454545454545453)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:44.805795,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.454545454545453)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:45.832964,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:46.858606,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:47.893572,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:48.944236,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:49.958679,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:50.915619,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:51.869392,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:52.853596,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:53.981231,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:55.060269,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:56.164177,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:57.369290,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:58.404762,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.25)"
04-01-2023 12:52:59.520464,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.25)"
04-01-2023 12:53:00.601906,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.25)"
04-01-2023 12:53:01.646779,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:02.698592,"(1.35, 1.76, 1.6680000000000001)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:03.793441,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:04.818759,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:05.857158,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:06.823790,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:07.721753,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:08.662806,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:09.660919,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:10.679377,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:11.692252,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.7)"
04-01-2023 12:53:12.662733,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 34.4)"
04-01-2023 12:53:13.581103,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:14.537374,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:15.530856,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:16.601142,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:17.577444,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:18.530493,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:19.449826,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:20.301588,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:21.211781,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:22.216494,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:23.252935,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:24.320382,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:25.368100,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:26.338121,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:27.303161,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:28.164081,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:28.999757,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:29.987014,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:30.926069,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:31.882261,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:32.770245,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:33.633208,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:34.579842,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:35.633746,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:36.729201,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 13.11111111111111)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:37.777861,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:38.821050,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:39.747343,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:40.604119,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:41.521867,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 115.71428571428571)","(13.0, 40.0, 33.125)"
04-01-2023 12:53:42.499109,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 32.5)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.625)"
04-01-2023 12:53:43.462529,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.625)"
04-01-2023 12:53:44.381193,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.625)"
04-01-2023 12:53:45.265668,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.625)"
04-01-2023 12:53:46.169550,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:47.150387,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:48.153040,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:49.224070,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:50.259905,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:51.302308,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:52.239983,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:53.162683,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:54.034484,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:54.956523,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:55.966118,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:56.946923,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:57.914679,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:58.896399,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
04-01-2023 12:53:59.876729,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 28.81818181818182)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 33.375)"
