,Goldstar Toby,Grande Vue Ace,Calculated Risk,Quetzal Bale,Locky Balboa,Goldstar Austin,Replica Rebel
09-01-2023 09:19:29.452433,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:30.491728,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:31.512412,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:32.636284,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:33.724854,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:34.775924,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:35.934587,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:37.107000,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:38.281813,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:39.436123,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:40.516122,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:41.548399,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:42.735767,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:43.834157,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:45.009137,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:46.171160,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:47.385893,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:48.556136,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:49.852730,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:51.081662,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:52.262134,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:53.317133,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:54.358333,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:55.438095,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:56.595005,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:57.754753,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:58.895115,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:00.032756,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:01.188284,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:02.302922,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:03.456574,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:04.568655,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:05.597826,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:06.644218,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:07.777084,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:08.972017,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:10.303888,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:11.577304,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:12.833221,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:14.131909,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:15.456474,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:16.790875,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:18.108726,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:19.198199,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:20.258811,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:21.362488,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:22.498059,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:23.654009,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:24.775773,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:25.938072,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:27.135902,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:28.292691,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:29.498008,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:30.699854,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:31.801961,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:32.893940,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:33.960588,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:35.037307,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:36.129271,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:37.341337,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:38.566941,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:39.792652,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:41.304443,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:42.602738,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:43.812703,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:44.882799,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:45.970301,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:47.142813,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:48.251375,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:49.389098,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:50.576957,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:51.795546,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:53.033951,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:54.227534,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:55.346927,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:56.450033,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:57.572217,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:58.707782,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:20:59.778677,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:00.879477,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:01.951818,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:03.089978,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:04.240975,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:05.429812,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:06.605894,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:07.734136,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:21:09.093980,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
