,Gulmarg,Jang Pel,Lara Bay,Galvarino,All Star Magician,Sweet Jasmine,Toro Delago Nz,Betting Baron,Getaloadathisbro
14-12-2022 19:14:13.708236,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:14.907298,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:16.091646,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:17.356703,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:18.611640,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:19.869273,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:21.156218,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:22.440053,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:23.715686,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:24.838817,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:25.939481,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:27.091632,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:28.297843,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:29.544583,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:30.794352,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:32.041946,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:33.269319,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:34.486754,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:35.721252,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:36.874620,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:38.054291,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:39.215047,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:40.383247,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:41.514470,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:42.681734,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:43.848113,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:45.008688,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:46.164507,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:47.424084,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:48.667713,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:49.885486,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:51.123049,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:52.368000,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:53.666771,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:54.887701,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:56.112403,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:57.321196,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:58.421677,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:59.598614,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:00.862667,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.133333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:02.119480,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.057142857142857)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:03.440241,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:04.724659,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:06.043191,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.8)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:07.309623,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.899999999999999)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:08.544258,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.977777777777778)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:09.708222,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.977777777777778)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:10.898566,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.977777777777778)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:12.016023,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:13.225978,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:14.402758,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:15.607610,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:16.754510,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:17.958213,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:19.165249,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:20.349409,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:21.547369,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:22.836451,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:24.038954,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:25.306774,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:26.556262,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:27.820744,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:28.983308,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:30.108220,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:31.291486,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:32.490097,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:33.746873,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
14-12-2022 19:15:35.004265,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.857142857142858)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.2, 8.885714285714284)","(6.0, 9.2, 8.08)"
