,Chipping Campden,Darra Linen,Little Ms Dreamer,Queen Of Tayrona,Schiller Effect,Empress Of Sydney,Misty Gold,Savvy Bee,Shikishi,Ask,Epsom Magic
07-01-2023 12:27:32.611252,"(31.0, 46.0, 43.73684210526316)","(15.0, 18.5, 18.457142857142856)","(61.0, 95.0, 94.65517241379311)","(91.0, 140.0, 139.2156862745098)","(2.05, 2.3, 2.296254980079681)","(12.0, 14.0, 13.871841155234657)","(10.0, 12.5, 12.404761904761905)","(4.6, 5.2, 5.192070484581498)","(10.0, 12.5, 12.145098039215686)","(20.0, 26.0, 25.72093023255814)","(101.0, 220.0, 208.21428571428572)"
07-01-2023 12:27:34.290368,"(31.0, 46.0, 43.73684210526316)","(15.0, 18.5, 18.463793103448275)","(61.0, 95.0, 94.65517241379311)","(91.0, 140.0, 139.2156862745098)","(2.05, 2.3, 2.297510729613734)","(12.0, 14.0, 13.850210970464135)","(10.0, 12.5, 12.399159663865547)","(4.6, 5.2, 5.192070484581498)","(10.0, 12.5, 12.145098039215686)","(20.0, 26.0, 25.72093023255814)","(101.0, 220.0, 208.21428571428572)"
07-01-2023 12:27:35.941350,"(31.0, 46.0, 43.833333333333336)","(15.0, 18.5, 18.465)","(61.0, 95.0, 94.65517241379311)","(91.0, 140.0, 139.55555555555554)","(2.05, 2.3, 2.29546875)","(12.0, 14.0, 13.88268156424581)","(10.0, 12.5, 12.435779816513762)","(4.6, 5.2, 5.192070484581498)","(10.0, 12.5, 12.145098039215686)","(20.0, 26.0, 25.28125)","(101.0, 220.0, 208.21428571428572)"
07-01-2023 12:27:37.532433,"(31.0, 46.0, 43.833333333333336)","(15.0, 18.5, 18.465)","(61.0, 95.0, 89.83050847457628)","(91.0, 140.0, 139.55555555555554)","(2.05, 2.3, 2.297563025210084)","(12.0, 14.0, 13.890052356020943)","(10.0, 12.5, 12.442622950819672)","(4.6, 5.2, 5.191976225854384)","(10.0, 12.5, 12.07906976744186)","(20.0, 26.0, 25.428571428571427)","(101.0, 220.0, 208.88888888888889)"
07-01-2023 12:27:39.112043,"(31.0, 46.0, 43.80281690140845)","(15.0, 18.5, 18.465)","(61.0, 90.0, 89.81132075471699)","(91.0, 140.0, 138.4313725490196)","(2.05, 2.3, 2.297767857142857)","(12.0, 14.0, 13.85645933014354)","(10.0, 12.5, 12.441666666666666)","(4.6, 5.2, 5.194925373134328)","(11.0, 12.5, 12.075555555555555)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 208.88888888888889)"
07-01-2023 12:27:40.646830,"(31.0, 46.0, 43.50588235294118)","(15.0, 18.5, 18.465)","(61.0, 90.0, 89.32203389830508)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.297456140350877)","(12.0, 14.0, 13.85645933014354)","(10.0, 12.5, 12.685714285714285)","(4.6, 5.2, 5.235757575757575)","(11.0, 12.5, 12.03640776699029)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.89473684210526)"
07-01-2023 12:27:42.145743,"(31.0, 46.0, 43.50588235294118)","(15.0, 18.5, 18.465)","(61.0, 90.0, 89.32203389830508)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.297456140350877)","(12.0, 14.0, 13.85645933014354)","(10.0, 13.0, 12.685714285714285)","(4.6, 5.3, 5.237442218798151)","(11.0, 12.5, 12.03640776699029)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.64705882352942)"
07-01-2023 12:27:43.736639,"(31.0, 46.0, 43.5609756097561)","(15.0, 18.5, 18.465)","(61.0, 90.0, 89.25)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.297456140350877)","(12.0, 14.0, 13.85645933014354)","(10.0, 13.0, 12.685714285714285)","(4.6, 5.3, 5.243845089903181)","(11.0, 12.5, 12.031862745098039)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.14285714285714)"
07-01-2023 12:27:45.265706,"(31.0, 46.0, 43.5609756097561)","(15.0, 18.5, 18.464646464646464)","(61.0, 90.0, 89.25)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.2834285714285714)","(12.0, 14.0, 13.85645933014354)","(10.0, 13.0, 12.685714285714285)","(4.6, 5.3, 5.243057503506311)","(11.0, 12.5, 12.031862745098039)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.14285714285714)"
07-01-2023 12:27:46.864163,"(31.0, 46.0, 43.5609756097561)","(15.0, 18.5, 18.464646464646464)","(61.0, 90.0, 89.25)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.2887999999999997)","(12.0, 14.0, 13.859060402684564)","(10.0, 13.0, 12.662576687116564)","(4.6, 5.3, 5.243057503506311)","(11.0, 12.5, 12.04109589041096)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.14285714285714)"
07-01-2023 12:27:48.383338,"(31.0, 46.0, 43.5609756097561)","(15.0, 18.5, 18.458498023715414)","(61.0, 90.0, 89.25)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.287894736842105)","(12.0, 14.0, 13.859060402684564)","(10.0, 13.0, 12.662576687116564)","(4.6, 5.3, 5.165389369592089)","(11.0, 12.5, 12.04109589041096)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.14285714285714)"
07-01-2023 12:27:49.869240,"(31.0, 46.0, 43.5609756097561)","(15.0, 18.5, 18.458498023715414)","(61.0, 90.0, 89.25)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.287894736842105)","(12.0, 14.0, 13.859060402684564)","(10.0, 13.0, 12.662576687116564)","(4.6, 5.2, 5.165389369592089)","(11.0, 12.5, 12.04109589041096)","(20.0, 26.0, 25.428571428571427)","(101.0, 210.0, 207.14285714285714)"
07-01-2023 12:27:51.322158,"(31.0, 46.0, 43.674418604651166)","(15.0, 19.0, 18.63081395348837)","(61.0, 90.0, 89.26229508196721)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.288)","(12.0, 14.0, 13.876666666666667)","(10.0, 13.0, 12.544642857142858)","(4.6, 5.2, 5.156)","(11.0, 12.5, 12.055309734513274)","(20.0, 26.0, 25.5)","(101.0, 210.0, 207.14285714285714)"
07-01-2023 12:27:52.739992,"(31.0, 46.0, 43.674418604651166)","(15.0, 19.0, 18.639204545454547)","(61.0, 90.0, 89.33333333333333)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.298100890207715)","(12.0, 14.0, 13.883647798742139)","(10.0, 12.5, 12.432539682539682)","(4.6, 5.2, 5.154603174603174)","(11.0, 12.5, 12.08125)","(20.0, 26.0, 25.571428571428573)","(101.0, 210.0, 207.33333333333334)"
07-01-2023 12:27:54.172751,"(31.0, 46.0, 44.23529411764706)","(15.0, 19.0, 18.64917127071823)","(61.0, 90.0, 89.36507936507937)","(91.0, 140.0, 139.18367346938777)","(2.05, 2.3, 2.2985746102449887)","(12.0, 14.0, 13.896067415730338)","(10.0, 12.5, 12.4421768707483)","(4.6, 5.2, 5.156841046277666)","(11.0, 12.5, 12.108949416342412)","(20.0, 26.0, 25.684210526315788)","(101.0, 210.0, 207.5)"
07-01-2023 12:27:55.585844,"(31.0, 46.0, 44.46153846153846)","(15.0, 19.0, 18.66578947368421)","(61.0, 90.0, 89.36507936507937)","(91.0, 140.0, 139.18367346938777)","(2.05, 2.3, 2.2741967213114753)","(12.0, 14.0, 13.904639175257731)","(10.0, 12.5, 12.453038674033149)","(4.6, 5.2, 5.157270916334661)","(11.0, 12.5, 12.144876325088338)","(20.0, 26.0, 25.684210526315788)","(101.0, 210.0, 207.5)"
07-01-2023 12:27:56.984887,"(31.0, 46.0, 44.53658536585366)","(15.0, 19.0, 18.645251396648046)","(61.0, 90.0, 89.36507936507937)","(91.0, 140.0, 139.18367346938777)","(2.05, 2.28, 2.273121212121212)","(12.0, 14.0, 13.904639175257731)","(10.0, 12.5, 12.453296703296703)","(4.6, 5.2, 5.155172413793103)","(11.0, 12.5, 12.144876325088338)","(20.0, 26.0, 25.675675675675677)","(101.0, 210.0, 207.5)"
07-01-2023 12:27:58.304900,"(31.0, 46.0, 44.53658536585366)","(15.0, 19.0, 18.64245810055866)","(61.0, 90.0, 89.43548387096774)","(91.0, 140.0, 139.18367346938777)","(2.05, 2.28, 2.2793048128342246)","(12.0, 14.0, 13.900552486187845)","(10.0, 12.5, 12.443333333333333)","(4.6, 5.2, 5.15342019543974)","(11.0, 12.5, 12.123595505617978)","(20.0, 26.0, 25.675675675675677)","(101.0, 210.0, 207.5)"
07-01-2023 12:27:59.764790,"(31.0, 46.0, 44.53658536585366)","(15.0, 19.0, 18.64245810055866)","(61.0, 90.0, 89.43548387096774)","(91.0, 140.0, 139.18367346938777)","(2.05, 2.28, 2.2792073170731704)","(12.0, 14.0, 13.900552486187845)","(10.0, 12.5, 12.443333333333333)","(4.6, 5.2, 5.153217011995638)","(11.0, 12.5, 12.123595505617978)","(20.0, 26.0, 25.675675675675677)","(101.0, 210.0, 207.5)"
07-01-2023 12:28:01.202719,"(31.0, 46.0, 44.916666666666664)","(15.0, 19.0, 18.640449438202246)","(61.0, 90.0, 89.91071428571429)","(91.0, 140.0, 149.0909090909091)","(2.05, 2.28, 2.2791950464396282)","(12.0, 14.0, 13.893491124260356)","(10.0, 12.5, 12.443333333333333)","(4.6, 5.2, 5.153217011995638)","(11.0, 12.5, 12.116465863453815)","(20.0, 26.0, 25.675675675675677)","(101.0, 210.0, 207.5)"
07-01-2023 12:28:02.632248,"(31.0, 46.0, 45.61904761904762)","(15.0, 19.0, 18.67080745341615)","(61.0, 90.0, 98.43283582089552)","(91.0, 150.0, 151.14754098360655)","(2.05, 2.28, 2.2714285714285714)","(12.0, 14.0, 14.022058823529411)","(11.0, 12.5, 12.680555555555555)","(4.6, 5.2, 5.158692971639951)","(11.0, 12.5, 12.131455399061032)","(20.0, 26.0, 26.6)","(101.0, 220.0, 209.0909090909091)"
07-01-2023 12:28:04.006688,"(31.0, 46.0, 45.61904761904762)","(15.0, 19.0, 18.68452380952381)","(61.0, 100.0, 97.91666666666667)","(91.0, 160.0, 151.29032258064515)","(2.05, 2.28, 2.2619999999999996)","(12.0, 14.5, 14.181818181818182)","(11.0, 13.0, 12.816216216216215)","(4.6, 5.2, 5.161801596351197)","(11.0, 12.5, 12.161637931034482)","(20.0, 27.0, 26.125)","(101.0, 220.0, 209.56521739130434)"
07-01-2023 12:28:05.368583,"(31.0, 46.0, 45.61904761904762)","(15.0, 19.0, 18.68452380952381)","(61.0, 100.0, 91.66666666666667)","(91.0, 160.0, 151.29032258064515)","(2.05, 2.28, 2.2634686346863466)","(12.0, 14.5, 14.181818181818182)","(11.0, 13.0, 12.82010582010582)","(4.6, 5.2, 5.155570291777188)","(11.0, 12.5, 11.550245098039216)","(20.0, 27.0, 26.125)","(101.0, 220.0, 209.56521739130434)"
07-01-2023 12:28:06.755464,"(31.0, 46.0, 46.06060606060606)","(15.0, 19.0, 18.70391061452514)","(61.0, 100.0, 96.11111111111111)","(91.0, 160.0, 150.625)","(2.05, 2.28, 2.2791489361702126)","(12.0, 14.5, 14.238095238095237)","(11.0, 13.0, 12.741379310344827)","(4.6, 5.2, 5.159597523219814)","(11.0, 12.0, 11.533001245330013)","(20.0, 27.0, 26.641025641025642)","(101.0, 220.0, 202.22222222222223)"
07-01-2023 12:28:08.129387,"(31.0, 48.0, 46.06060606060606)","(15.0, 19.0, 18.70391061452514)","(61.0, 100.0, 96.11111111111111)","(91.0, 160.0, 150.52631578947367)","(2.05, 2.28, 2.2791489361702126)","(12.0, 14.5, 14.238095238095237)","(11.0, 13.0, 12.78)","(4.6, 5.2, 5.159597523219814)","(11.0, 12.0, 11.533801020408163)","(20.0, 27.0, 26.846153846153847)","(101.0, 220.0, 202.22222222222223)"
07-01-2023 12:28:09.517538,"(31.0, 48.0, 46.06060606060606)","(15.0, 19.0, 18.70391061452514)","(61.0, 100.0, 96.11111111111111)","(91.0, 160.0, 150.52631578947367)","(2.05, 2.28, 2.2791489361702126)","(12.0, 14.5, 14.238095238095237)","(11.0, 13.0, 12.78)","(4.6, 5.2, 5.159597523219814)","(11.0, 12.0, 11.533801020408163)","(20.0, 27.0, 26.846153846153847)","(101.0, 220.0, 202.22222222222223)"
07-01-2023 12:28:11.009350,"(31.0, 48.0, 46.06060606060606)","(15.0, 19.0, 18.70391061452514)","(61.0, 100.0, 96.11111111111111)","(91.0, 160.0, 150.52631578947367)","(2.05, 2.28, 2.2791489361702126)","(12.0, 14.5, 14.238095238095237)","(11.0, 13.0, 12.78)","(4.6, 5.2, 5.159597523219814)","(11.0, 12.0, 11.533801020408163)","(20.0, 27.0, 26.846153846153847)","(101.0, 220.0, 202.22222222222223)"
07-01-2023 12:28:12.419818,"(31.0, 48.0, 46.06060606060606)","(15.0, 19.0, 18.70391061452514)","(61.0, 100.0, 96.11111111111111)","(91.0, 160.0, 150.52631578947367)","(2.05, 2.28, 2.2791489361702126)","(12.0, 14.5, 14.238095238095237)","(11.0, 13.0, 12.78)","(4.6, 5.2, 5.159597523219814)","(11.0, 12.0, 11.533801020408163)","(20.0, 27.0, 26.846153846153847)","(101.0, 220.0, 202.22222222222223)"
07-01-2023 12:28:13.847777,"(31.0, 48.0, 46.4)","(15.0, 19.0, 18.698863636363637)","(61.0, 100.0, 94.82758620689656)","(91.0, 160.0, 150.625)","(2.05, 2.28, 2.2471794871794875)","(12.0, 14.5, 14.256410256410255)","(11.0, 13.0, 12.833333333333334)","(4.6, 5.2, 5.169508196721312)","(11.0, 12.0, 11.974358974358974)","(20.0, 27.0, 26.8125)","(101.0, 220.0, 202.22222222222223)"
07-01-2023 12:28:15.206781,"(31.0, 48.0, 46.4)","(15.0, 19.0, 18.703488372093023)","(71.0, 95.0, 95.88235294117646)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.246633165829146)","(12.0, 14.5, 14.306818181818182)","(11.0, 13.0, 12.842105263157894)","(4.6, 5.2, 5.17248427672956)","(10.0, 12.0, 11.866935483870968)","(20.0, 27.0, 26.9)","(101.0, 220.0, 202.5)"
07-01-2023 12:28:16.560973,"(31.0, 48.0, 46.63636363636363)","(15.0, 19.0, 18.71508379888268)","(71.0, 100.0, 96.3157894736842)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.2559420289855074)","(12.0, 14.5, 14.33495145631068)","(11.0, 13.0, 12.855329949238579)","(4.6, 5.2, 5.183551401869159)","(10.0, 12.5, 11.909774436090226)","(20.0, 27.0, 26.857142857142858)","(101.0, 220.0, 198.94736842105263)"
07-01-2023 12:28:17.902720,"(31.0, 48.0, 46.75)","(15.0, 19.0, 18.7603550295858)","(71.0, 100.0, 96.66666666666667)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.2559420289855074)","(12.0, 14.5, 14.33495145631068)","(11.0, 13.5, 12.845360824742269)","(4.6, 5.2, 5.183364839319471)","(10.0, 12.5, 11.909774436090226)","(20.0, 27.0, 26.941176470588236)","(101.0, 200.0, 211.25)"
07-01-2023 12:28:19.302037,"(31.0, 48.0, 46.75)","(15.0, 19.0, 18.7603550295858)","(71.0, 100.0, 96.66666666666667)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.2566037735849056)","(12.0, 14.5, 14.33495145631068)","(11.0, 13.5, 12.845360824742269)","(4.6, 5.2, 5.1940298507462686)","(10.0, 12.5, 11.909774436090226)","(20.0, 27.0, 26.941176470588236)","(101.0, 220.0, 211.25)"
07-01-2023 12:28:20.769699,"(31.0, 48.0, 46.75)","(15.0, 19.0, 18.7603550295858)","(71.0, 100.0, 96.66666666666667)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.256417910447761)","(12.0, 14.5, 14.37912087912088)","(11.0, 13.5, 12.845360824742269)","(4.6, 5.2, 5.1940298507462686)","(10.0, 12.5, 11.909774436090226)","(20.0, 27.0, 26.941176470588236)","(101.0, 220.0, 211.25)"
07-01-2023 12:28:22.241127,"(31.0, 48.0, 46.75)","(15.0, 19.0, 18.7603550295858)","(71.0, 100.0, 95.88235294117646)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.2526406926406928)","(12.0, 14.5, 14.37912087912088)","(11.0, 13.5, 12.868159203980099)","(4.6, 5.2, 5.1940298507462686)","(10.0, 12.5, 11.922794117647058)","(20.0, 27.0, 26.941176470588236)","(101.0, 220.0, 211.25)"
