,Oodnadatta Man,Waves Crashing,Big Braveheart,Enraged,Sonic Sammy,Phantom Rex,Laquita Star
05-01-2023 14:54:17.584263,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:18.730150,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 27.799999999999997)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:19.835174,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 27.799999999999997)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:20.882818,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:21.839171,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:22.816568,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:23.858740,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:24.921801,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:25.920837,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:26.897223,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:27.960962,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:29.078108,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:30.154349,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:31.218000,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:32.141204,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:33.122688,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:34.175959,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:35.298511,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:36.296371,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:37.260176,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:38.239194,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:39.330374,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:40.385778,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:41.409636,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:42.345220,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:43.409284,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:44.452338,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:45.496943,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:46.415638,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:47.418465,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:48.489482,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:49.519270,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.363636363636363)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:50.542850,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.363636363636363)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:51.551431,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.363636363636363)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:52.557659,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.363636363636363)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:53.544106,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:54.547935,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:55.661802,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:56.661050,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:57.644760,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:58.594233,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:59.584542,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:00.587967,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:01.574911,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:02.524147,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:03.591673,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:04.762969,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:05.836733,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:06.800813,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:07.830373,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:08.913184,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:09.925157,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:10.871246,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:11.911727,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:12.956619,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:14.009929,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:15.074344,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:16.122898,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:17.047379,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:18.115810,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 22.333333333333336)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:19.108667,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:20.114398,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:21.201212,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:22.323252,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:23.324300,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:24.390897,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:25.427569,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:26.503851,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:27.470554,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:28.496504,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 27.799999999999997)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:29.620906,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 27.799999999999997)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:30.638822,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:31.619504,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:32.531162,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:33.426677,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:34.364929,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:55:35.294050,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.254545454545454)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
