,Little Edward,Cindys Charm,Gerrys Gift,Boot A Dream,Dr Valor,Dr Callie,Prince Pulpogan
07-12-2022 18:52:03.791214,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:04.755534,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:05.672204,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:06.630140,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:07.676569,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:08.724942,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:09.856441,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:10.866584,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:11.880292,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:12.892481,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:13.954684,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:14.993873,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:16.084084,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:17.147002,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:18.210791,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:19.254940,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:20.297786,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:21.247682,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:22.219557,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:23.259644,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:24.275008,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:25.301444,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:26.324888,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:27.358119,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:28.350542,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:29.362541,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:30.432055,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:31.503814,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:32.535618,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:33.594945,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:34.566791,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:35.491340,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:36.542626,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:37.678326,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 41.66666666666667)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:38.827715,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:39.961883,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 40.0)"
07-12-2022 18:52:41.127442,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:42.336786,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 29.0625)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:43.407784,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 29.0625)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:44.497445,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:45.479227,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:46.473408,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:47.491411,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:48.471597,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:49.514175,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:50.503507,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:51.513481,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:52.530284,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:53.562418,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.125)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:54.698331,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.25)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:55.912321,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.25)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:57.078388,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.25)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:58.317719,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.25)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:52:59.487575,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.25)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:53:00.599164,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.25)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:53:01.655948,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:53:02.639744,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:53:03.688205,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 60.0, 29.454545454545453)"
07-12-2022 18:53:04.753829,"(4.6, 8.0, 6.45)","(1.45, 1.6, 1.5052631578947369)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 60.0, 28.090909090909093)"
07-12-2022 18:53:06.138288,"(4.6, 8.0, 7.225)","(1.45, 1.6, 1.5142857142857142)","(5.0, 9.0, 8.611764705882353)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:07.229355,"(4.6, 8.0, 7.225)","(1.45, 1.6, 1.5142857142857142)","(5.0, 9.0, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:08.404484,"(4.6, 8.0, 6.2)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:09.405638,"(4.6, 8.0, 6.2)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:10.479255,"(4.6, 8.0, 6.2)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:11.667451,"(4.6, 8.0, 6.2)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:12.908869,"(4.6, 8.0, 6.2)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 45.5)","(41.0, 380.0, 126.5)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:14.094098,"(4.6, 8.0, 7.485714285714286)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.64285714285714)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:15.219707,"(4.6, 8.0, 6.833333333333334)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.64285714285714)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:16.329367,"(4.6, 8.0, 6.833333333333334)","(1.45, 1.6, 1.45)","(5.0, 11.5, 9.105882352941176)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.64285714285714)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:17.377499,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 9.105882352941176)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.64285714285714)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:18.410642,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 9.105882352941176)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.64285714285714)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:19.439508,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 9.105882352941176)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.64285714285714)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:20.535837,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 9.105882352941176)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 42.83333333333333)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:21.637575,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.785714285714285)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:22.809609,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 43.16666666666667)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:24.048286,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 43.16666666666667)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:25.199660,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 43.16666666666667)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:26.527669,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.92857142857143)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:27.656424,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.92857142857143)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:28.809600,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.92857142857143)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:30.001977,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.92857142857143)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
07-12-2022 18:53:31.152491,"(4.6, 8.0, 7.175)","(1.45, 1.6, 1.45)","(5.0, 9.6, 8.733333333333333)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.92857142857143)","(41.0, 380.0, 164.0)","(20.0, 55.0, 28.090909090909093)"
