,Dimora Cruz,Believing,Lamonica,Keep It Black,Four Barrels,Rothwell Rose,Go Seek Kotoni
07-01-2023 18:41:20.092226,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.413333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:21.040238,"(5.0, 7.0, 5.6875)","(8.5, 44.0, 40.5)","(2.4, 2.56, 2.393333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:21.996143,"(5.0, 7.0, 5.6875)","(8.5, 44.0, 40.5)","(2.4, 2.56, 2.393333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:22.932576,"(5.0, 7.0, 5.6875)","(8.5, 44.0, 36.125)","(2.4, 2.56, 2.393333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:23.850075,"(5.0, 7.0, 5.6875)","(8.5, 44.0, 36.125)","(2.4, 2.56, 2.393333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:24.808606,"(5.0, 7.0, 5.6875)","(8.5, 44.0, 36.125)","(2.4, 2.56, 2.393333333333333)","(6.0, 8.0, 7.3)","(31.0, 240.0, 93.17647058823529)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.0200000000000005)"
07-01-2023 18:41:25.819230,"(5.0, 7.0, 5.6875)","(8.5, 44.0, 30.875)","(2.4, 2.56, 2.393333333333333)","(6.0, 8.0, 7.3)","(31.0, 240.0, 93.17647058823529)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.0200000000000005)"
07-01-2023 18:41:26.783244,"(5.0, 7.0, 5.6875)","(8.5, 38.0, 27.375)","(2.4, 2.56, 2.4547368421052633)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 93.17647058823529)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:27.801348,"(5.0, 8.0, 6.506666666666667)","(8.5, 36.0, 27.833333333333332)","(2.4, 2.56, 2.4547368421052633)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 93.17647058823529)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:28.731759,"(5.0, 8.0, 5.666666666666667)","(8.5, 38.0, 32.7)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 93.17647058823529)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:29.711745,"(5.0, 8.0, 5.666666666666667)","(8.5, 38.0, 32.7)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 115.2)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:30.719229,"(5.0, 8.0, 6.915)","(8.5, 38.0, 32.7)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 115.2)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:31.702450,"(5.0, 8.0, 6.915)","(8.5, 38.0, 32.7)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 115.2)","(4.8, 10.0, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:32.698200,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 73.6)","(4.8, 10.5, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:33.665945,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 73.6)","(4.8, 10.5, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:34.613224,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:35.569002,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:36.673911,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:37.739257,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.4875)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:38.684810,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.435)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.5625)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:39.607826,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 10.0, 7.777777777777778)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.5625)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:40.556067,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 10.0, 8.333333333333332)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.5625)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:41.592724,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 10.0, 8.418181818181818)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.5625)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:42.791427,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 9.8, 8.8)","(31.0, 240.0, 114.0)","(4.8, 10.5, 9.5625)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:43.794882,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 9.6, 8.8)","(31.0, 240.0, 114.0)","(4.8, 10.5, 8.892857142857142)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:44.954814,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 9.8, 8.955555555555556)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:46.047041,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 31.1)","(2.4, 2.56, 2.4215384615384616)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.882352941176471)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:47.094225,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 32.0)","(2.4, 2.56, 2.4215384615384616)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.882352941176471)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:48.047840,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 30.125)","(2.4, 2.56, 2.4215384615384616)","(6.0, 7.6, 6.711111111111111)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:49.005711,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 30.125)","(2.4, 2.56, 2.4215384615384616)","(6.0, 7.6, 6.711111111111111)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:49.943404,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 30.125)","(2.4, 2.56, 2.4215384615384616)","(6.0, 7.6, 6.711111111111111)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:50.850981,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 30.125)","(2.4, 2.56, 2.4215384615384616)","(6.0, 7.6, 6.711111111111111)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:51.773660,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 30.125)","(2.4, 2.56, 2.4215384615384616)","(6.0, 7.6, 6.711111111111111)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:52.739123,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 33.0625)","(2.4, 2.54, 2.428)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 8.833333333333334)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:53.730913,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 33.0625)","(2.4, 2.54, 2.428)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 10.0, 8.833333333333334)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:54.656586,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 33.0625)","(2.4, 2.54, 2.428)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 10.0, 8.833333333333334)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:55.623679,"(5.0, 8.0, 7.586666666666666)","(8.5, 36.0, 33.0625)","(2.4, 2.54, 2.428)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 10.0, 8.833333333333334)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:56.548430,"(5.0, 8.0, 7.859090909090909)","(8.5, 36.0, 33.0625)","(2.4, 2.54, 2.428)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.176470588235293)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:57.466761,"(5.0, 8.0, 7.859090909090909)","(8.5, 36.0, 33.0625)","(2.4, 2.5, 2.425)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.176470588235293)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:58.503154,"(5.0, 8.0, 7.859090909090909)","(8.5, 36.0, 33.0625)","(2.4, 2.5, 2.425)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.176470588235293)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:59.497724,"(5.0, 8.0, 7.4399999999999995)","(8.5, 36.0, 33.0625)","(2.4, 2.5, 2.425)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.176470588235293)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:42:00.454570,"(5.0, 8.0, 7.4399999999999995)","(8.5, 36.0, 33.0625)","(2.4, 2.5, 2.425)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.176470588235293)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:42:01.402788,"(5.0, 8.0, 7.4399999999999995)","(8.5, 36.0, 33.0625)","(2.4, 2.5, 2.425)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.5, 6.058333333333334)"
07-01-2023 18:42:02.351526,"(5.0, 8.0, 7.4399999999999995)","(8.5, 36.0, 33.0625)","(2.4, 2.5, 2.425)","(6.0, 9.8, 8.533333333333333)","(31.0, 240.0, 114.0)","(4.8, 12.0, 9.428571428571429)","(5.5, 10.0, 7.066666666666667)"
