,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 15:59:30.074635,"(61.0, 260.0, 147.5)","(26.0, 80.0, 60.57142857142857)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 33.75)","(26.0, 40.0, 36.0)","(6.0, 7.4, 7.290909090909091)","(8.0, 9.0, 8.7)","(4.4, 5.6, 5.5)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.409090909090908)","(81.0, 180.0, 148.125)"
04-01-2023 15:59:31.659819,"(61.0, 260.0, 147.5)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 33.75)","(26.0, 40.0, 36.0)","(6.0, 7.4, 7.290909090909091)","(8.0, 9.0, 8.628571428571428)","(4.4, 5.6, 5.5)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.409090909090908)","(81.0, 180.0, 142.5)"
04-01-2023 15:59:33.155678,"(61.0, 260.0, 147.5)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 32.72727272727273)","(26.0, 40.0, 36.0)","(6.0, 7.4, 7.300000000000001)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.6, 5.5)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.458333333333334)","(81.0, 190.0, 142.5)"
04-01-2023 15:59:34.729817,"(61.0, 260.0, 147.5)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 36.666666666666664)","(26.0, 40.0, 36.0)","(6.0, 7.4, 6.948148148148148)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.6, 5.5)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.458333333333334)","(81.0, 190.0, 146.8181818181818)"
04-01-2023 15:59:36.234230,"(61.0, 260.0, 147.5)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.222222222222222)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 36.666666666666664)","(26.0, 40.0, 36.0)","(6.0, 7.2, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.6, 5.696153846153846)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.458333333333334)","(81.0, 190.0, 146.8181818181818)"
04-01-2023 15:59:37.753746,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.458333333333334)","(81.0, 190.0, 158.75)"
04-01-2023 15:59:39.282823,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 66.4)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:40.832946,"(61.0, 250.0, 193.33333333333331)","(26.0, 80.0, 66.4)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 60.0, 50.857142857142854)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:42.328020,"(61.0, 250.0, 193.33333333333331)","(26.0, 80.0, 66.4)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 60.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:43.805363,"(61.0, 250.0, 193.33333333333331)","(26.0, 80.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 55.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
