,Minsk Moment,Samizdat,Buzzoom,The Spruiker,Bruce Almighty,Dig Deep,Flying Missile,Media Baron
07-01-2023 18:40:44.054055,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.0, 17.884615384615383)","(7.5, 9.2, 9.004477611940299)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:45.144524,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.0, 17.884615384615383)","(7.5, 9.2, 9.004477611940299)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:46.277368,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.0, 17.884615384615383)","(7.5, 9.2, 9.004477611940299)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:47.481269,"(2.3, 2.42, 2.4012903225806452)","(16.0, 21.0, 20.375)","(3.6, 4.9, 4.705882352941177)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.0, 18.264705882352942)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:48.533639,"(2.3, 2.42, 2.4104347826086956)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.705882352941177)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.5, 18.264705882352942)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:49.576992,"(2.3, 2.44, 2.4145454545454546)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.703030303030303)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.5, 18.166666666666668)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:50.773088,"(2.3, 2.44, 2.4145454545454546)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.703030303030303)","(6.5, 8.4, 8.25263157894737)","(17.0, 32.0, 31.5)","(12.0, 18.5, 18.166666666666668)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:51.793069,"(2.3, 2.44, 2.4145454545454546)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.70204081632653)","(6.5, 8.4, 8.25263157894737)","(17.0, 32.0, 31.5)","(12.0, 18.5, 18.166666666666668)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:52.785983,"(2.3, 2.44, 2.4145454545454546)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.70204081632653)","(6.5, 8.4, 8.25263157894737)","(17.0, 32.0, 30.666666666666668)","(12.0, 18.5, 17.9)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:53.807276,"(2.3, 2.44, 2.4145454545454546)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.70204081632653)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 30.444444444444443)","(12.0, 18.5, 17.9)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:54.847892,"(2.3, 2.44, 2.3835294117647057)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.70752688172043)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 30.444444444444443)","(12.0, 18.5, 17.9)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:55.819158,"(2.3, 2.4, 2.3851428571428572)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.7283333333333335)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 16.96153846153846)","(7.5, 9.2, 9.029677419354838)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:56.815188,"(2.3, 2.4, 2.3851428571428572)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 17.944444444444443)","(7.5, 9.2, 9.015384615384615)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:57.786639,"(2.3, 2.4, 2.3851428571428572)","(16.0, 21.0, 20.3)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 17.70731707317073)","(7.5, 9.2, 8.847368421052632)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:58.830590,"(2.3, 2.4, 2.3851428571428572)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 17.644736842105264)","(7.5, 9.2, 9.023684210526316)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:59.980885,"(2.3, 2.4, 2.3851428571428572)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 16.357142857142858)","(7.5, 9.2, 9.023684210526316)","(31.0, 110.0, 108.46153846153847)"
07-01-2023 18:41:00.999164,"(2.3, 2.4, 2.3851428571428572)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 16.357142857142858)","(7.5, 9.2, 9.023684210526316)","(31.0, 110.0, 108.46153846153847)"
07-01-2023 18:41:02.090675,"(2.3, 2.42, 2.3896296296296295)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 17.55263157894737)","(7.5, 9.2, 9.023684210526316)","(31.0, 110.0, 135.71428571428572)"
07-01-2023 18:41:03.203206,"(2.3, 2.42, 2.3896296296296295)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 15.928571428571429)","(7.5, 9.2, 9.023684210526316)","(31.0, 150.0, 160.0)"
07-01-2023 18:41:04.257968,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.375)","(3.6, 4.8, 4.714)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 15.928571428571429)","(7.5, 9.2, 9.023684210526316)","(31.0, 190.0, 160.0)"
07-01-2023 18:41:05.415862,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.25)","(3.6, 4.8, 4.75)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.25)","(12.0, 18.5, 15.928571428571429)","(7.5, 9.2, 9.023684210526316)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:06.475552,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.25)","(3.6, 4.9, 4.818518518518519)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 31.53846153846154)","(12.0, 18.5, 15.928571428571429)","(7.5, 9.2, 9.023684210526316)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:07.462476,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.25)","(3.6, 4.9, 4.818518518518519)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.53846153846154)","(12.0, 18.5, 15.928571428571429)","(7.5, 9.2, 9.023684210526316)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:08.478897,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.25)","(3.6, 4.9, 4.83015873015873)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.53846153846154)","(12.0, 18.5, 16.625)","(7.5, 9.0, 8.82962962962963)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:09.503957,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.25)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.53846153846154)","(12.0, 18.0, 16.8)","(7.5, 9.0, 8.735384615384616)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:10.574767,"(2.3, 2.42, 2.3866666666666667)","(16.0, 21.0, 20.214285714285715)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.53846153846154)","(12.0, 18.0, 16.8)","(7.5, 9.0, 8.739682539682539)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:11.596963,"(2.3, 2.42, 2.389047619047619)","(16.0, 21.0, 20.214285714285715)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.53846153846154)","(12.0, 18.0, 16.8)","(7.5, 9.0, 8.739682539682539)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:12.666873,"(2.3, 2.42, 2.389047619047619)","(16.0, 21.0, 20.6)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.428571428571427)","(12.0, 18.0, 16.8)","(7.5, 9.0, 8.739682539682539)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:13.788787,"(2.3, 2.42, 2.389047619047619)","(16.0, 21.0, 20.6)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(12.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.707142857142857)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:15.020736,"(2.3, 2.42, 2.389047619047619)","(16.0, 21.0, 20.6)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(12.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.707142857142857)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:16.155619,"(2.3, 2.42, 2.389047619047619)","(16.0, 21.0, 20.6)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.7)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:17.238781,"(2.25, 2.42, 2.3901333333333334)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.7)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:18.284905,"(2.25, 2.42, 2.3901333333333334)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.7)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:19.342299,"(2.25, 2.42, 2.3901333333333334)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.7)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:20.353744,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.7)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:21.434426,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.7)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:22.470118,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 16.90909090909091)","(7.5, 9.0, 8.527659574468085)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:23.526535,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.6)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 17.1)","(7.5, 8.8, 8.421052631578947)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:24.564217,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.65625)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(18.0, 34.0, 31.75)","(13.0, 18.0, 17.1)","(7.5, 8.8, 8.421052631578947)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:25.640063,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.65625)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.1)","(7.5, 8.8, 8.330434782608695)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:26.696475,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.65625)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.1)","(7.5, 8.8, 8.330434782608695)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:27.769082,"(2.25, 2.42, 2.4068965517241376)","(16.0, 21.0, 20.65625)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.1)","(7.5, 8.8, 8.330434782608695)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:28.786560,"(2.25, 2.42, 2.4068965517241376)","(16.0, 22.0, 21.548387096774192)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.1)","(7.5, 8.8, 8.330434782608695)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:29.832802,"(2.25, 2.42, 2.4068965517241376)","(16.0, 22.0, 21.62962962962963)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.181818181818183)","(7.5, 8.8, 8.330434782608695)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:30.891960,"(2.25, 2.42, 2.4068965517241376)","(16.0, 22.0, 21.62962962962963)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.181818181818183)","(7.5, 8.8, 8.353846153846153)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:31.943699,"(2.25, 2.42, 2.4068965517241376)","(16.0, 22.0, 21.62962962962963)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.4)","(7.5, 8.6, 8.353846153846153)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:32.979219,"(2.25, 2.44, 2.4045454545454543)","(16.0, 22.0, 21.62962962962963)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.4)","(7.5, 8.6, 8.36)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:34.025905,"(2.25, 2.44, 2.4045454545454543)","(16.0, 22.0, 21.62962962962963)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.4)","(7.5, 8.6, 8.36)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:35.052023,"(2.25, 2.44, 2.4045454545454543)","(16.0, 22.0, 21.62962962962963)","(3.6, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.454545454545453)","(7.5, 8.6, 8.114285714285714)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:36.084228,"(2.25, 2.44, 2.4045454545454543)","(16.0, 22.0, 21.62962962962963)","(3.7, 4.9, 4.836538461538462)","(6.5, 8.4, 8.24)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.454545454545453)","(7.5, 8.4, 8.114285714285714)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:37.437327,"(2.25, 2.44, 2.4045454545454543)","(16.0, 22.0, 22.22222222222222)","(3.7, 4.9, 4.763265306122449)","(6.5, 8.4, 8.48)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.454545454545453)","(7.5, 8.4, 8.088888888888889)","(31.0, 180.0, 160.0)"
07-01-2023 18:41:38.473246,"(2.25, 2.44, 2.424166666666667)","(16.0, 23.0, 22.22222222222222)","(3.7, 4.8, 4.763265306122449)","(6.5, 8.6, 8.48)","(17.0, 34.0, 31.75)","(13.0, 18.0, 17.454545454545453)","(7.5, 8.4, 8.206896551724139)","(31.0, 180.0, 133.33333333333334)"
07-01-2023 18:41:39.437620,"(2.25, 2.44, 2.4118518518518517)","(16.0, 24.0, 23.625)","(3.7, 4.8, 4.7775)","(6.5, 8.4, 8.375)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.6)","(7.5, 8.4, 8.206896551724139)","(31.0, 180.0, 133.33333333333334)"
07-01-2023 18:41:40.509990,"(2.25, 2.44, 2.4118518518518517)","(16.0, 24.0, 23.75)","(3.7, 4.8, 4.7775)","(6.5, 8.4, 8.375)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.6)","(7.5, 8.4, 8.206896551724139)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:41.627769,"(2.25, 2.44, 2.4118518518518517)","(16.0, 24.0, 23.75)","(3.7, 4.8, 4.7775)","(6.5, 8.4, 8.375)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.615384615384617)","(7.5, 8.4, 8.206896551724139)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:42.899843,"(2.25, 2.44, 2.4118518518518517)","(16.0, 25.0, 24.5)","(3.7, 4.8, 4.705263157894737)","(6.5, 8.4, 8.375)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.666666666666668)","(7.5, 8.4, 8.088888888888889)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:43.966138,"(2.25, 2.44, 2.4118518518518517)","(16.0, 25.0, 24.846153846153847)","(3.7, 4.8, 4.735714285714286)","(6.5, 8.4, 8.375)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.666666666666668)","(7.5, 8.4, 8.066666666666666)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:45.243087,"(2.25, 2.44, 2.4118518518518517)","(16.0, 25.0, 24.875)","(3.7, 4.8, 4.735714285714286)","(6.5, 8.4, 8.375)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.666666666666668)","(7.5, 8.4, 8.066666666666666)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:46.474880,"(2.25, 2.44, 2.4118518518518517)","(16.0, 25.0, 24.875)","(3.7, 4.8, 4.735714285714286)","(6.5, 8.4, 7.941666666666666)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.58823529411765)","(7.5, 8.4, 8.373913043478261)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:47.436905,"(2.25, 2.44, 2.424166666666667)","(16.0, 25.0, 24.875)","(3.7, 4.8, 4.735714285714286)","(6.5, 8.0, 7.941666666666666)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.58823529411765)","(7.5, 8.4, 8.373913043478261)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:48.414574,"(2.25, 2.44, 2.399622641509434)","(16.0, 25.0, 24.875)","(3.7, 4.8, 4.747058823529412)","(6.5, 8.0, 7.97)","(17.0, 34.0, 32.10526315789474)","(13.0, 18.0, 17.58823529411765)","(7.5, 8.4, 8.386046511627907)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:49.394497,"(2.25, 2.42, 2.399622641509434)","(16.0, 25.0, 24.875)","(3.7, 4.8, 4.747058823529412)","(6.5, 8.0, 7.97)","(17.0, 34.0, 32.10526315789474)","(13.0, 18.0, 17.58823529411765)","(7.5, 8.4, 8.386046511627907)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:50.385363,"(2.25, 2.4, 2.397843137254902)","(16.0, 25.0, 24.875)","(3.7, 4.9, 4.816666666666666)","(6.5, 8.2, 8.08095238095238)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.425352112676055)","(31.0, 180.0, 150.0)"
07-01-2023 18:41:51.395569,"(2.25, 2.42, 2.3982914572864322)","(16.0, 25.0, 24.875)","(3.7, 4.9, 4.824324324324325)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.425352112676055)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:52.444819,"(2.25, 2.42, 2.3982914572864322)","(16.0, 25.0, 24.875)","(3.7, 4.9, 4.824324324324325)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.425352112676055)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:53.423101,"(2.25, 2.42, 2.4107086614173228)","(16.0, 26.0, 25.333333333333332)","(3.7, 4.9, 4.759574468085106)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.425352112676055)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:54.404703,"(2.25, 2.42, 2.4107086614173228)","(16.0, 26.0, 25.333333333333332)","(3.7, 4.9, 4.749122807017544)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.396721311475408)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:55.462532,"(2.25, 2.42, 2.4107086614173228)","(16.0, 26.0, 25.333333333333332)","(3.7, 4.9, 4.749122807017544)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.36153846153846)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:56.496197,"(2.25, 2.42, 2.413333333333333)","(16.0, 26.0, 25.333333333333332)","(3.7, 4.9, 4.749122807017544)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.36153846153846)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:57.479184,"(2.25, 2.44, 2.4189473684210525)","(16.0, 26.0, 25.333333333333332)","(3.7, 4.9, 4.749122807017544)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.6, 8.36153846153846)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:58.593050,"(2.25, 2.44, 2.4189473684210525)","(16.0, 26.0, 25.333333333333332)","(3.7, 4.9, 4.749122807017544)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.4, 8.361538461538462)","(31.0, 180.0, 152.0)"
07-01-2023 18:41:59.677343,"(2.25, 2.44, 2.4189473684210525)","(16.0, 27.0, 26.125)","(3.7, 4.9, 4.749122807017544)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.4, 8.361538461538462)","(31.0, 180.0, 152.0)"
07-01-2023 18:42:00.708953,"(2.25, 2.44, 2.4189473684210525)","(16.0, 27.0, 26.125)","(3.7, 4.9, 4.796385542168675)","(6.5, 8.2, 7.877611940298507)","(17.0, 34.0, 32.0)","(13.0, 18.0, 17.90909090909091)","(7.5, 8.4, 8.361538461538462)","(31.0, 180.0, 152.0)"
