,Jabali,Magic Sign,Henry Maguire,Better Fly,Robyns Shadow,Cool Idea,Paradise Valley,Durrant,Ngaroma,Haley Robyn,Sagwitch
14-12-2022 13:41:42.935932,"(41.0, 300.0, 145.2)","(3.2, 3.45, 3.4055555555555554)","(6.0, 8.6, 8.054545454545455)","(3.2, 3.65, 3.5749999999999997)","(5.0, 5.9, 5.65)","(61.0, 500.0, 239.0)","(21.0, 110.0, 84.66666666666666)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 19.75)","(12.0, 17.5, 15.7)"
14-12-2022 13:41:44.658311,"(41.0, 300.0, 146.4)","(3.2, 3.45, 3.4105263157894736)","(6.0, 8.6, 7.6)","(3.2, 3.7, 3.6642857142857146)","(5.0, 5.9, 5.566666666666667)","(61.0, 500.0, 239.0)","(21.0, 110.0, 84.66666666666666)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 17.333333333333332)","(12.0, 17.5, 15.7)"
14-12-2022 13:41:46.395796,"(41.0, 300.0, 146.4)","(3.2, 3.45, 3.4105263157894736)","(6.0, 8.4, 7.6)","(3.2, 3.7, 3.675)","(5.0, 6.2, 5.566666666666667)","(61.0, 500.0, 239.0)","(21.0, 110.0, 84.66666666666666)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 17.333333333333332)","(12.0, 17.5, 16.428571428571427)"
14-12-2022 13:41:48.051486,"(41.0, 300.0, 146.4)","(3.2, 3.45, 3.6307692307692307)","(6.0, 8.4, 7.8999999999999995)","(3.2, 3.75, 3.66)","(5.0, 6.2, 5.9)","(61.0, 500.0, 280.0)","(21.0, 110.0, 73.0)","(41.0, 290.0, 93.2)","(51.0, 550.0, 305.0)","(11.0, 27.0, 17.333333333333332)","(12.0, 17.0, 16.0)"
14-12-2022 13:41:49.812411,"(41.0, 300.0, 96.8)","(3.2, 3.65, 3.625)","(6.0, 8.2, 7.8999999999999995)","(3.2, 3.75, 3.6621951219512194)","(5.0, 6.0, 5.55)","(61.0, 490.0, 280.0)","(21.0, 110.0, 73.0)","(41.0, 290.0, 93.2)","(51.0, 550.0, 305.0)","(11.0, 27.0, 21.4)","(12.0, 17.0, 16.0)"
14-12-2022 13:41:51.654226,"(41.0, 300.0, 96.8)","(3.2, 3.7, 3.6357142857142857)","(6.0, 8.2, 7.949999999999999)","(3.2, 3.7, 3.7026315789473685)","(5.0, 6.0, 5.760000000000001)","(61.0, 490.0, 280.0)","(21.0, 110.0, 70.66666666666666)","(41.0, 290.0, 105.5)","(51.0, 550.0, 220.0)","(11.0, 27.0, 17.333333333333332)","(12.0, 17.0, 17.333333333333332)"
14-12-2022 13:41:53.425919,"(41.0, 300.0, 109.5)","(3.2, 3.7, 3.6357142857142857)","(6.0, 8.2, 7.8)","(3.2, 3.75, 3.7026315789473685)","(5.0, 5.9, 5.825)","(61.0, 490.0, 280.0)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 105.5)","(51.0, 540.0, 220.0)","(11.0, 27.0, 17.333333333333332)","(12.0, 21.0, 16.0)"
14-12-2022 13:41:55.065763,"(41.0, 300.0, 109.5)","(3.2, 3.7, 3.6357142857142857)","(6.0, 8.0, 7.75)","(3.2, 3.75, 3.7026315789473685)","(5.0, 5.9, 5.800000000000001)","(61.0, 490.0, 280.0)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 105.5)","(51.0, 540.0, 220.0)","(11.0, 27.0, 21.4)","(12.0, 21.0, 18.0)"
14-12-2022 13:41:56.722082,"(41.0, 300.0, 109.5)","(3.2, 3.7, 3.6357142857142857)","(6.0, 8.0, 7.75)","(3.2, 3.75, 3.7026315789473685)","(5.0, 5.9, 5.775)","(61.0, 490.0, 280.0)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 104.0)","(51.0, 540.0, 220.0)","(11.0, 27.0, 22.666666666666664)","(12.0, 20.0, 17.857142857142858)"
14-12-2022 13:41:58.602165,"(41.0, 300.0, 109.5)","(3.2, 3.7, 3.72)","(6.0, 7.8, 7.6)","(3.2, 3.75, 3.7026315789473685)","(5.0, 5.9, 5.581818181818182)","(61.0, 490.0, 280.0)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 104.0)","(51.0, 540.0, 220.0)","(11.0, 27.0, 18.333333333333332)","(12.0, 20.0, 18.75)"
14-12-2022 13:42:00.469729,"(41.0, 300.0, 109.5)","(3.2, 3.75, 3.72)","(6.0, 7.8, 7.449999999999999)","(3.2, 3.75, 3.7026315789473685)","(5.0, 5.9, 5.8090909090909095)","(61.0, 490.0, 280.0)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 166.0)","(51.0, 540.0, 220.0)","(11.0, 27.0, 24.5)","(12.0, 20.0, 18.5)"
14-12-2022 13:42:02.258797,"(41.0, 300.0, 84.0)","(3.2, 3.75, 3.72)","(6.0, 7.6, 7.449999999999999)","(3.2, 3.75, 3.7026315789473685)","(5.0, 5.9, 5.8090909090909095)","(61.0, 490.0, 280.0)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 126.0)","(51.0, 540.0, 154.0)","(11.0, 27.0, 22.2)","(12.0, 19.5, 18.25)"
14-12-2022 13:42:03.948410,"(41.0, 300.0, 84.0)","(3.2, 3.75, 3.7)","(6.0, 7.4, 7.08)","(3.2, 3.8, 3.5456521739130435)","(5.0, 5.9, 5.78888888888889)","(61.0, 500.0, 213.33333333333334)","(21.0, 140.0, 70.66666666666666)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 22.2)","(12.0, 19.5, 19.02)"
14-12-2022 13:42:05.779118,"(41.0, 300.0, 84.0)","(3.2, 3.75, 3.664285714285714)","(6.0, 7.6, 7.171428571428572)","(3.2, 3.8, 3.5681818181818183)","(5.0, 5.9, 5.7)","(61.0, 500.0, 213.33333333333334)","(21.0, 140.0, 87.0)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 18.333333333333332)","(13.0, 19.5, 17.7)"
14-12-2022 13:42:07.480461,"(41.0, 300.0, 82.28571428571428)","(3.2, 3.75, 3.664285714285714)","(6.0, 7.4, 7.171428571428572)","(3.2, 3.75, 3.5142857142857142)","(5.0, 5.9, 5.760000000000001)","(61.0, 500.0, 213.33333333333334)","(21.0, 140.0, 87.0)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 22.0)","(13.0, 19.5, 18.375)"
14-12-2022 13:42:09.070011,"(41.0, 300.0, 82.28571428571428)","(3.2, 3.75, 3.664285714285714)","(6.0, 7.4, 7.171428571428572)","(3.2, 3.6, 3.525)","(5.0, 5.9, 5.800000000000001)","(61.0, 500.0, 168.0)","(21.0, 140.0, 87.0)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 19.333333333333332)","(13.0, 19.5, 18.357142857142858)"
14-12-2022 13:42:10.730128,"(41.0, 300.0, 82.28571428571428)","(3.2, 3.75, 3.7125)","(6.0, 7.4, 7.0285714285714285)","(3.2, 3.6, 3.525)","(5.0, 5.9, 5.6)","(61.0, 560.0, 168.0)","(21.0, 140.0, 87.0)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 21.5)","(13.0, 19.5, 18.7)"
14-12-2022 13:42:12.537250,"(41.0, 300.0, 82.28571428571428)","(3.2, 3.85, 3.7285714285714286)","(6.0, 7.2, 7.0285714285714285)","(3.2, 3.6, 3.525)","(5.0, 5.9, 5.728571428571429)","(61.0, 560.0, 168.0)","(21.0, 140.0, 87.0)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 21.5)","(13.0, 19.5, 15.833333333333334)"
14-12-2022 13:42:14.288791,"(41.0, 300.0, 82.28571428571428)","(3.2, 3.9, 3.69375)","(6.0, 7.2, 7.0285714285714285)","(3.2, 3.6, 3.63)","(5.0, 5.9, 5.814285714285715)","(61.0, 560.0, 168.0)","(21.0, 140.0, 87.0)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 19.333333333333332)","(13.0, 19.5, 18.5)"
14-12-2022 13:42:15.936499,"(41.0, 300.0, 82.28571428571428)","(3.2, 3.85, 3.69375)","(6.0, 7.2, 6.8769230769230765)","(3.2, 3.65, 3.6214285714285714)","(5.0, 5.9, 5.443478260869566)","(61.0, 560.0, 168.0)","(21.0, 140.0, 60.5)","(41.0, 290.0, 167.0)","(51.0, 530.0, 154.0)","(11.0, 27.0, 21.5)","(13.0, 19.5, 18.642857142857142)"
14-12-2022 13:42:17.667751,"(41.0, 300.0, 173.0)","(3.2, 3.85, 3.73)","(6.0, 7.8, 7.175)","(3.2, 3.65, 3.5454545454545454)","(5.0, 5.9, 5.5600000000000005)","(61.0, 560.0, 310.0)","(21.0, 140.0, 106.0)","(41.0, 290.0, 184.57142857142858)","(51.0, 530.0, 290.0)","(11.0, 27.0, 19.666666666666668)","(13.0, 19.5, 19.0)"
14-12-2022 13:42:19.304889,"(41.0, 290.0, 229.0)","(3.2, 3.85, 3.7456521739130433)","(6.0, 7.8, 7.3)","(3.2, 3.55, 3.6153846153846154)","(5.0, 5.8, 5.5600000000000005)","(61.0, 550.0, 310.0)","(21.0, 130.0, 98.0)","(41.0, 290.0, 167.0)","(51.0, 520.0, 210.0)","(11.0, 27.0, 21.5)","(13.0, 19.5, 18.642857142857142)"
14-12-2022 13:42:21.047434,"(41.0, 290.0, 208.66666666666666)","(3.2, 3.85, 3.7456521739130433)","(6.0, 7.6, 8.879999999999999)","(3.2, 3.65, 3.639772727272727)","(5.0, 5.8, 5.714285714285714)","(61.0, 550.0, 310.0)","(21.0, 130.0, 83.0)","(41.0, 290.0, 107.0)","(51.0, 510.0, 210.0)","(11.0, 27.0, 24.142857142857142)","(13.0, 19.5, 19.0)"
14-12-2022 13:42:22.697643,"(41.0, 290.0, 169.0)","(3.2, 3.85, 3.8038461538461537)","(6.0, 9.6, 8.77142857142857)","(3.2, 3.65, 3.6153846153846154)","(5.0, 5.8, 5.714285714285714)","(61.0, 550.0, 310.0)","(21.0, 130.0, 83.0)","(41.0, 290.0, 107.0)","(51.0, 510.0, 206.66666666666666)","(11.0, 27.0, 24.88888888888889)","(13.0, 19.5, 19.0)"
14-12-2022 13:42:24.449788,"(41.0, 290.0, 125.33333333333333)","(3.2, 3.85, 3.7923076923076926)","(6.0, 9.2, 8.742857142857144)","(3.2, 3.65, 3.626923076923077)","(5.0, 5.8, 5.566666666666666)","(61.0, 550.0, 223.33333333333334)","(21.0, 130.0, 64.0)","(41.0, 280.0, 124.0)","(51.0, 490.0, 167.5)","(12.0, 26.0, 23.166666666666668)","(13.0, 19.5, 18.5)"
14-12-2022 13:42:26.118155,"(41.0, 280.0, 125.33333333333333)","(3.2, 3.85, 3.8333333333333335)","(6.0, 9.0, 8.444444444444445)","(3.2, 3.65, 3.6227272727272726)","(5.0, 5.7, 5.566666666666666)","(61.0, 530.0, 220.0)","(21.0, 120.0, 64.0)","(41.0, 280.0, 124.0)","(51.0, 490.0, 167.5)","(12.0, 26.0, 22.0)","(13.0, 19.5, 18.25)"
14-12-2022 13:42:27.775822,"(41.0, 280.0, 125.33333333333333)","(3.2, 3.9, 4.1863636363636365)","(6.0, 9.0, 8.133333333333333)","(3.2, 3.65, 3.6227272727272726)","(5.0, 5.7, 5.566666666666666)","(61.0, 520.0, 220.0)","(21.0, 120.0, 64.0)","(41.0, 280.0, 124.0)","(51.0, 490.0, 167.5)","(12.0, 26.0, 17.666666666666668)","(13.0, 19.5, 18.785714285714285)"
14-12-2022 13:42:29.494633,"(41.0, 280.0, 125.33333333333333)","(3.2, 4.2, 3.8026315789473686)","(6.0, 8.8, 8.15)","(3.2, 3.65, 3.6227272727272726)","(5.0, 5.7, 5.352173913043478)","(61.0, 520.0, 220.0)","(21.0, 120.0, 64.0)","(41.0, 280.0, 124.0)","(51.0, 490.0, 200.0)","(12.0, 26.0, 17.5)","(13.0, 19.5, 18.785714285714285)"
14-12-2022 13:42:31.315896,"(41.0, 280.0, 125.33333333333333)","(3.2, 4.0, 3.7934782608695654)","(6.0, 8.8, 7.977777777777778)","(3.2, 3.65, 3.7736486486486487)","(5.0, 5.9, 5.44)","(61.0, 520.0, 216.66666666666666)","(21.0, 120.0, 64.0)","(41.0, 280.0, 124.0)","(51.0, 480.0, 200.0)","(12.0, 25.0, 17.5)","(13.0, 19.5, 18.25)"
14-12-2022 13:42:32.926990,"(41.0, 280.0, 186.39999999999998)","(3.2, 4.0, 3.789189189189189)","(6.0, 8.6, 7.977777777777778)","(3.2, 3.8, 3.605)","(5.0, 5.9, 5.447619047619048)","(61.0, 510.0, 332.0)","(21.0, 120.0, 98.0)","(41.0, 280.0, 122.66666666666667)","(51.0, 480.0, 196.66666666666666)","(12.0, 25.0, 16.875)","(13.0, 19.5, 18.25)"
14-12-2022 13:42:34.485230,"(41.0, 280.0, 186.39999999999998)","(3.2, 4.0, 3.791666666666667)","(6.0, 8.6, 7.62)","(3.2, 3.8, 3.6227272727272726)","(5.0, 5.9, 5.449999999999999)","(61.0, 510.0, 213.33333333333334)","(21.0, 120.0, 98.0)","(41.0, 280.0, 122.66666666666667)","(51.0, 480.0, 348.85714285714283)","(12.0, 25.0, 19.31818181818182)","(13.0, 19.0, 18.428571428571427)"
14-12-2022 13:42:36.113362,"(41.0, 280.0, 176.28571428571428)","(3.2, 3.95, 3.7795454545454548)","(6.0, 8.6, 7.666666666666667)","(3.2, 3.8, 3.5944444444444446)","(5.0, 5.8, 5.32)","(61.0, 510.0, 361.6666666666667)","(21.0, 120.0, 176.0)","(41.0, 280.0, 126.0)","(51.0, 470.0, 328.6666666666667)","(12.0, 25.0, 20.0)","(13.0, 19.5, 18.785714285714285)"
14-12-2022 13:42:37.857400,"(41.0, 350.0, 180.57142857142856)","(3.2, 3.95, 3.7795454545454548)","(6.0, 8.6, 7.685714285714286)","(3.2, 3.6, 3.59375)","(5.0, 5.8, 5.4)","(61.0, 510.0, 210.0)","(21.0, 200.0, 176.0)","(41.0, 290.0, 126.0)","(51.0, 470.0, 328.6666666666667)","(12.0, 25.0, 20.0)","(13.0, 19.5, 18.428571428571427)"
14-12-2022 13:42:39.416341,"(41.0, 360.0, 180.57142857142856)","(3.2, 3.95, 3.7795454545454548)","(6.0, 8.4, 7.685714285714286)","(3.2, 3.6, 3.59375)","(5.0, 5.8, 5.4)","(61.0, 500.0, 210.0)","(21.0, 200.0, 176.0)","(41.0, 290.0, 126.0)","(51.0, 470.0, 288.0)","(12.0, 25.0, 15.416666666666666)","(13.0, 19.0, 18.6)"
14-12-2022 13:42:41.240769,"(41.0, 360.0, 180.57142857142856)","(3.2, 3.95, 3.805769230769231)","(6.0, 8.4, 7.981818181818182)","(3.2, 3.65, 3.5300000000000002)","(5.0, 5.6, 5.518181818181818)","(61.0, 500.0, 287.5)","(21.0, 200.0, 181.33333333333334)","(41.0, 290.0, 208.66666666666666)","(51.0, 530.0, 480.7142857142858)","(12.0, 25.0, 19.5)","(13.0, 19.0, 18.428571428571427)"
14-12-2022 13:42:43.026379,"(41.0, 360.0, 203.0)","(3.2, 3.95, 3.881818181818182)","(6.0, 8.8, 8.072727272727274)","(3.2, 3.65, 3.5300000000000002)","(5.0, 5.6, 5.518181818181818)","(61.0, 500.0, 287.5)","(21.0, 200.0, 181.33333333333334)","(41.0, 290.0, 208.66666666666666)","(51.0, 550.0, 480.7142857142858)","(12.0, 25.0, 20.6)","(13.0, 19.0, 18.071428571428573)"
14-12-2022 13:42:45.130121,"(41.0, 360.0, 199.0)","(3.2, 4.1, 3.7738095238095237)","(6.0, 8.8, 7.6625000000000005)","(3.2, 3.6, 3.4772727272727275)","(5.0, 5.6, 5.4875)","(61.0, 500.0, 290.0)","(21.0, 200.0, 145.42857142857142)","(41.0, 290.0, 262.66666666666663)","(51.0, 550.0, 300.0)","(12.0, 25.0, 20.6)","(13.0, 18.5, 18.071428571428573)"
14-12-2022 13:42:46.969797,"(41.0, 350.0, 274.5)","(3.2, 4.0, 3.79)","(6.0, 8.8, 7.5)","(3.2, 3.6, 3.831818181818182)","(5.0, 5.6, 5.657142857142857)","(61.0, 500.0, 290.0)","(21.0, 190.0, 112.0)","(41.0, 400.0, 282.66666666666663)","(51.0, 520.0, 295.0)","(12.0, 25.0, 17.666666666666668)","(13.0, 18.5, 17.0)"
14-12-2022 13:42:48.835773,"(41.0, 350.0, 274.5)","(3.2, 3.95, 3.85)","(6.0, 8.8, 7.733333333333333)","(3.2, 3.85, 4.3125)","(5.0, 5.8, 5.5777777777777775)","(61.0, 500.0, 290.0)","(21.0, 190.0, 112.0)","(41.0, 400.0, 137.14285714285714)","(51.0, 520.0, 295.0)","(12.0, 25.0, 20.5)","(13.0, 18.5, 20.266666666666666)"
14-12-2022 13:42:50.546031,"(41.0, 350.0, 274.5)","(3.2, 3.95, 3.85)","(6.0, 8.4, 7.800000000000001)","(3.2, 4.4, 3.4042372881355933)","(5.0, 5.8, 5.5777777777777775)","(61.0, 500.0, 290.0)","(21.0, 190.0, 112.0)","(41.0, 360.0, 137.14285714285714)","(51.0, 520.0, 295.0)","(12.0, 25.0, 20.5)","(13.0, 24.0, 20.0)"
14-12-2022 13:42:52.323002,"(41.0, 350.0, 274.5)","(3.2, 3.95, 3.683333333333333)","(6.0, 8.4, 7.78888888888889)","(3.2, 3.65, 3.466666666666667)","(5.0, 5.8, 5.6125)","(61.0, 500.0, 332.0)","(21.0, 190.0, 127.6)","(41.0, 360.0, 137.14285714285714)","(51.0, 520.0, 295.0)","(12.0, 25.0, 19.545454545454547)","(13.0, 23.0, 19.0)"
14-12-2022 13:42:53.882036,"(41.0, 350.0, 274.5)","(3.2, 3.95, 3.496153846153846)","(6.0, 8.8, 8.200000000000001)","(3.2, 3.6, 3.466666666666667)","(5.0, 5.8, 5.477777777777778)","(61.0, 500.0, 332.0)","(21.0, 190.0, 127.6)","(41.0, 360.0, 137.14285714285714)","(51.0, 520.0, 295.0)","(12.0, 25.0, 20.714285714285715)","(13.0, 23.0, 19.444444444444443)"
14-12-2022 13:42:55.444135,"(41.0, 350.0, 274.5)","(3.2, 3.55, 3.4187499999999997)","(6.0, 8.4, 8.309090909090909)","(3.2, 3.6, 3.6714285714285717)","(5.0, 5.9, 5.44)","(61.0, 500.0, 332.0)","(21.0, 190.0, 145.42857142857142)","(41.0, 360.0, 165.0)","(51.0, 520.0, 295.0)","(12.0, 25.0, 18.25)","(13.0, 23.0, 19.333333333333332)"
14-12-2022 13:42:56.975784,"(41.0, 350.0, 274.5)","(3.2, 3.55, 3.673684210526316)","(6.0, 8.4, 8.08)","(3.2, 3.7, 3.6875)","(5.0, 5.9, 5.44)","(61.0, 500.0, 332.0)","(21.0, 190.0, 145.42857142857142)","(41.0, 360.0, 165.0)","(51.0, 520.0, 295.0)","(12.0, 25.0, 17.5)","(13.0, 21.0, 19.125)"
14-12-2022 13:42:58.391768,"(41.0, 350.0, 274.5)","(3.2, 3.7, 3.673684210526316)","(6.0, 8.4, 8.0)","(3.2, 3.7, 3.692)","(5.0, 5.9, 5.4071428571428575)","(61.0, 500.0, 332.0)","(21.0, 190.0, 145.42857142857142)","(41.0, 360.0, 165.0)","(51.0, 520.0, 295.0)","(12.0, 25.0, 19.81818181818182)","(13.0, 21.0, 19.125)"
14-12-2022 13:43:00.017248,"(41.0, 350.0, 274.5)","(3.2, 4.0, 3.825)","(6.0, 8.4, 8.261538461538462)","(3.2, 3.7, 3.692)","(5.0, 5.9, 5.44)","(61.0, 500.0, 285.0)","(21.0, 190.0, 109.6)","(41.0, 360.0, 229.2)","(51.0, 520.0, 290.0)","(12.0, 25.0, 21.57142857142857)","(13.0, 21.0, 19.125)"
14-12-2022 13:43:01.680709,"(41.0, 340.0, 133.33333333333331)","(3.2, 3.95, 3.75)","(6.0, 8.8, 8.172413793103448)","(3.2, 3.7, 4.573076923076924)","(5.0, 5.9, 5.4071428571428575)","(61.0, 490.0, 182.85714285714286)","(21.0, 160.0, 109.6)","(41.0, 350.0, 194.0)","(51.0, 510.0, 197.5)","(12.0, 24.0, 19.363636363636363)","(13.0, 21.0, 19.125)"
14-12-2022 13:43:03.321540,"(41.0, 300.0, 110.0)","(3.2, 3.95, 3.7986486486486486)","(6.0, 8.8, 8.35)","(3.2, 4.7, 3.8125)","(5.0, 5.9, 5.6)","(61.0, 440.0, 313.33333333333337)","(21.0, 160.0, 121.0)","(41.0, 340.0, 160.8)","(51.0, 410.0, 317.5)","(12.0, 24.0, 21.45)","(13.0, 20.0, 19.0)"
14-12-2022 13:43:04.814903,"(41.0, 290.0, 110.0)","(3.2, 3.95, 3.7986486486486486)","(6.5, 8.8, 8.620000000000001)","(3.3, 4.6, 3.8875)","(4.8, 5.8, 5.514285714285714)","(71.0, 430.0, 313.33333333333337)","(26.0, 150.0, 144.0)","(41.0, 330.0, 160.8)","(51.0, 400.0, 317.5)","(12.0, 24.0, 21.96)","(13.0, 20.0, 18.75)"
14-12-2022 13:43:06.554636,"(41.0, 290.0, 110.0)","(3.2, 3.95, 3.7986486486486486)","(6.5, 8.8, 8.425)","(3.3, 4.3, 3.947058823529412)","(4.8, 5.8, 5.514285714285714)","(71.0, 430.0, 250.0)","(26.0, 150.0, 89.0)","(41.0, 330.0, 160.8)","(51.0, 400.0, 317.5)","(12.0, 24.0, 18.0)","(13.0, 20.0, 18.75)"
14-12-2022 13:43:08.295809,"(41.0, 280.0, 198.33333333333334)","(3.2, 3.95, 3.7333333333333334)","(6.5, 8.8, 9.666666666666666)","(3.3, 4.0, 3.825)","(4.8, 5.8, 5.6125)","(71.0, 420.0, 240.0)","(26.0, 140.0, 100.0)","(41.0, 330.0, 184.0)","(51.0, 400.0, 317.5)","(12.0, 24.0, 19.5)","(13.0, 20.0, 18.875)"
14-12-2022 13:43:09.874384,"(41.0, 270.0, 198.33333333333334)","(3.2, 3.9, 3.7333333333333334)","(6.5, 10.0, 9.666666666666666)","(3.3, 3.95, 3.6053571428571427)","(4.8, 5.8, 5.6125)","(71.0, 400.0, 286.66666666666663)","(26.0, 130.0, 100.0)","(41.0, 320.0, 222.66666666666666)","(51.0, 400.0, 317.5)","(12.0, 23.0, 20.941176470588236)","(13.0, 20.0, 19.68181818181818)"
14-12-2022 13:43:11.356377,"(41.0, 270.0, 238.28571428571428)","(3.2, 3.9, 3.7172413793103445)","(6.5, 10.0, 8.523076923076923)","(3.3, 3.65, 3.6051724137931034)","(4.8, 5.8, 5.492307692307692)","(71.0, 390.0, 286.66666666666663)","(26.0, 130.0, 100.0)","(41.0, 310.0, 222.66666666666666)","(51.0, 400.0, 317.5)","(12.0, 23.0, 18.357142857142858)","(13.0, 20.0, 20.4)"
14-12-2022 13:43:12.849066,"(41.0, 270.0, 238.28571428571428)","(3.2, 3.8, 3.65625)","(6.5, 10.0, 8.633333333333333)","(3.3, 3.65, 3.6051724137931034)","(4.8, 5.8, 5.492307692307692)","(71.0, 390.0, 230.0)","(26.0, 130.0, 100.0)","(41.0, 310.0, 222.66666666666666)","(51.0, 400.0, 317.5)","(12.0, 23.0, 18.357142857142858)","(13.0, 21.0, 19.0)"
