,Perfect Flossy,Trickster Cabang,Found A Spot,Irenes A Star,Coconut Kingston,Miss Belle,Con Cabang
11-01-2023 15:01:29.578609,"(5.5, 9.6, 7.2)","(14.0, 55.0, 53.270833333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:30.683550,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:31.810604,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:33.001956,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:34.183984,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:35.294049,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:36.406133,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:37.507295,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:38.690794,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:39.843765,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:40.918356,"(5.5, 9.6, 7.2)","(14.0, 65.0, 62.85416666666667)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:42.080514,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:43.266710,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:44.389982,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:45.469431,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:46.586246,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:47.679153,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:48.786011,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.25)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:49.933982,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 17.75)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:51.041291,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:52.206714,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:53.410314,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:54.592791,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:55.824913,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:56.997365,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:58.350631,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.375)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:59.827486,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.375)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:02:01.055644,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.375)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:02:02.385818,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.375)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.290909090909091)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 3.2205882352941178)"
11-01-2023 15:02:03.658113,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.5, 4.290909090909091)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:05.061895,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.5, 4.290909090909091)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:06.384834,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.5, 4.290909090909091)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:07.510248,"(5.5, 9.6, 7.2)","(14.0, 65.0, 52.5)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.5, 4.290909090909091)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:08.706232,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:09.874300,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.120000000000001)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:11.024145,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.120000000000001)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:12.435125,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.120000000000001)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:13.871149,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.120000000000001)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:15.235025,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:16.492448,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:17.636268,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:18.752418,"(5.5, 9.6, 7.2)","(14.0, 65.0, 48.833333333333336)","(11.0, 25.0, 18.636363636363637)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:19.864420,"(5.5, 9.6, 7.2)","(14.0, 65.0, 28.625)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:20.859327,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:22.030465,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:23.191306,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:24.505566,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:25.717309,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:27.076314,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:28.230468,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 14.615384615384617)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:29.521511,"(5.5, 9.6, 7.2)","(14.0, 60.0, 33.9)","(11.0, 25.0, 20.81818181818182)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:30.670075,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 20.81818181818182)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:31.890833,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 20.81818181818182)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:33.483656,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 20.81818181818182)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:34.808168,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 19.520000000000003)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:36.292773,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 19.520000000000003)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:37.804364,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 19.520000000000003)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:39.017844,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 19.520000000000003)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:40.331326,"(5.5, 9.6, 7.2)","(14.0, 60.0, 34.5)","(11.0, 24.0, 19.520000000000003)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:41.569049,"(5.5, 9.6, 7.2)","(14.0, 60.0, 28.125)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:42.815701,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:44.202683,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:45.356860,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:46.612115,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:47.814624,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:48.937957,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:50.099594,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.6, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:51.247658,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.5, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:52.385927,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.5, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:53.428349,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.5, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:54.433272,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.5, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:55.599828,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.5, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
11-01-2023 15:02:56.746319,"(5.5, 9.6, 7.2)","(14.0, 65.0, 29.375)","(11.0, 24.0, 20.11111111111111)","(3.8, 5.5, 4.233333333333333)","(8.5, 16.0, 15.025)","(6.0, 11.0, 8.058823529411764)","(2.4, 3.9, 2.5124999999999997)"
