,Z U In My Dreams,Bettabe Swift,Jungle Goddess,Freezer Burn,Wish For Magic,Flat Out Appealing
22,"[datetime.datetime(2022, 11, 28, 11, 3, 43, 484247), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 43, 484247), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 43, 484247), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 43, 484247), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 43, 484247), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 43, 484247), 31.0, 99999]"
23,"[datetime.datetime(2022, 11, 28, 11, 3, 44, 575398), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 44, 575398), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 44, 575398), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 44, 575398), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 44, 575398), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 44, 575398), 31.0, 99999]"
24,"[datetime.datetime(2022, 11, 28, 11, 3, 45, 670352), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 45, 670352), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 45, 670352), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 45, 670352), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 45, 670352), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 45, 670352), 31.0, 99999]"
25,"[datetime.datetime(2022, 11, 28, 11, 3, 46, 782418), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 46, 782418), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 46, 782418), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 46, 782418), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 46, 782418), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 46, 782418), 31.0, 99999]"
26,"[datetime.datetime(2022, 11, 28, 11, 3, 47, 876345), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 47, 876345), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 47, 876345), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 47, 876345), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 47, 876345), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 47, 876345), 31.0, 99999]"
27,"[datetime.datetime(2022, 11, 28, 11, 3, 48, 980644), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 48, 980644), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 48, 980644), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 48, 980644), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 48, 980644), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 48, 980644), 31.0, 99999]"
28,"[datetime.datetime(2022, 11, 28, 11, 3, 50, 68971), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 50, 68971), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 50, 68971), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 50, 68971), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 50, 68971), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 50, 68971), 31.0, 99999]"
29,"[datetime.datetime(2022, 11, 28, 11, 3, 51, 176466), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 51, 176466), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 51, 176466), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 51, 176466), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 51, 176466), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 51, 176466), 31.0, 99999]"
30,"[datetime.datetime(2022, 11, 28, 11, 3, 52, 275242), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 52, 275242), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 52, 275242), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 52, 275242), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 52, 275242), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 52, 275242), 31.0, 99999]"
31,"[datetime.datetime(2022, 11, 28, 11, 3, 53, 363775), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 53, 363775), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 53, 363775), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 53, 363775), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 53, 363775), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 53, 363775), 31.0, 99999]"
32,"[datetime.datetime(2022, 11, 28, 11, 3, 54, 475181), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 54, 475181), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 54, 475181), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 54, 475181), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 54, 475181), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 54, 475181), 31.0, 99999]"
33,"[datetime.datetime(2022, 11, 28, 11, 3, 55, 575453), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 55, 575453), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 55, 575453), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 55, 575453), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 55, 575453), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 55, 575453), 31.0, 99999]"
34,"[datetime.datetime(2022, 11, 28, 11, 3, 56, 669285), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 56, 669285), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 56, 669285), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 56, 669285), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 56, 669285), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 56, 669285), 31.0, 99999]"
35,"[datetime.datetime(2022, 11, 28, 11, 3, 57, 778487), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 57, 778487), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 57, 778487), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 57, 778487), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 57, 778487), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 57, 778487), 31.0, 99999]"
36,"[datetime.datetime(2022, 11, 28, 11, 3, 58, 866915), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 58, 866915), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 58, 866915), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 58, 866915), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 58, 866915), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 58, 866915), 31.0, 99999]"
37,"[datetime.datetime(2022, 11, 28, 11, 3, 59, 963569), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 59, 963569), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 59, 963569), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 59, 963569), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 59, 963569), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 59, 963569), 31.0, 99999]"
38,"[datetime.datetime(2022, 11, 28, 11, 4, 1, 58616), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 1, 58616), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 1, 58616), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 1, 58616), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 1, 58616), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 1, 58616), 31.0, 99999]"
39,"[datetime.datetime(2022, 11, 28, 11, 4, 2, 163457), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 2, 163457), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 2, 163457), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 2, 163457), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 2, 163457), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 2, 163457), 31.0, 99999]"
40,"[datetime.datetime(2022, 11, 28, 11, 4, 3, 280715), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 3, 280715), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 3, 280715), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 3, 280715), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 3, 280715), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 3, 280715), 31.0, 99999]"
