,Suparazi,I Could Do Better,Oxley Jack,Pocket Change,Twiggy Pop,Kapanku,Rutherford,Star Buyer,Forbidden City
07-12-2022 17:58:17.514060,"(4.6, 5.2, 5.177321428571428)","(71.0, 120.0, 118.66666666666667)","(20.0, 27.0, 26.490909090909092)","(3.9, 4.5, 4.440083507306889)","(26.0, 34.0, 33.17197452229299)","(7.5, 9.0, 8.931182795698925)","(12.0, 15.0, 14.773809523809524)","(51.0, 70.0, 68.63636363636364)","(2.7, 3.2, 3.1927069645203683)"
07-12-2022 17:58:18.679912,"(4.6, 5.2, 5.175590551181102)","(71.0, 120.0, 119.33333333333333)","(19.0, 27.0, 26.490909090909092)","(3.9, 4.5, 4.450592216582065)","(26.0, 34.0, 33.17197452229299)","(7.5, 9.0, 8.96847290640394)","(12.0, 15.0, 14.768292682926829)","(51.0, 70.0, 68.0)","(2.7, 3.2, 3.1991615853658537)"
07-12-2022 17:58:19.856108,"(4.6, 5.2, 5.175590551181102)","(71.0, 120.0, 119.44444444444444)","(19.0, 27.0, 26.490909090909092)","(3.9, 4.5, 4.4501677852349)","(26.0, 34.0, 33.17197452229299)","(7.5, 9.0, 8.98337801608579)","(12.0, 15.0, 14.556818181818182)","(51.0, 70.0, 68.0)","(2.7, 3.25, 3.2026027397260277)"
07-12-2022 17:58:21.023010,"(4.6, 5.2, 5.174220374220374)","(71.0, 120.0, 119.64285714285714)","(19.0, 27.0, 26.490909090909092)","(3.9, 4.5, 4.456761268781302)","(26.0, 34.0, 33.17197452229299)","(7.5, 9.0, 8.987397260273973)","(12.0, 14.5, 14.433333333333334)","(51.0, 70.0, 68.18181818181819)","(2.7, 3.25, 3.2011727078891257)"
07-12-2022 17:58:22.113322,"(4.6, 5.2, 5.174220374220374)","(71.0, 130.0, 128.30985915492957)","(19.0, 27.0, 26.490909090909092)","(3.9, 4.5, 4.456117455138663)","(26.0, 34.0, 33.221556886227546)","(7.5, 9.0, 8.99322033898305)","(12.0, 14.5, 14.433333333333334)","(51.0, 70.0, 68.45238095238095)","(2.7, 3.2, 3.1997146932952925)"
07-12-2022 17:58:23.273854,"(4.6, 5.2, 5.174220374220374)","(71.0, 130.0, 128.33333333333334)","(20.0, 27.0, 26.67058823529412)","(3.9, 4.5, 4.455829228243021)","(26.0, 34.0, 33.26553672316384)","(7.5, 9.0, 8.978125)","(12.0, 14.5, 14.433333333333334)","(51.0, 70.0, 68.45238095238095)","(2.7, 3.2, 3.2028818443804035)"
07-12-2022 17:58:24.432595,"(4.6, 5.2, 5.178982300884956)","(71.0, 130.0, 126.70886075949367)","(20.0, 27.0, 26.43884892086331)","(3.9, 4.5, 4.453543307086615)","(26.0, 34.0, 33.26553672316384)","(7.5, 9.0, 8.77049180327869)","(12.0, 14.5, 14.90234375)","(51.0, 70.0, 68.15217391304348)","(2.7, 3.25, 3.204073033707865)"
07-12-2022 17:58:25.587781,"(4.6, 5.2, 5.128117359413203)","(71.0, 130.0, 126.70886075949367)","(20.0, 27.0, 26.43884892086331)","(3.9, 4.5, 4.4535135135135135)","(26.0, 34.0, 33.26553672316384)","(7.5, 8.8, 8.7439446366782)","(12.0, 15.0, 14.73404255319149)","(51.0, 70.0, 67.95918367346938)","(2.7, 3.25, 3.2104545454545454)"
07-12-2022 17:58:26.897587,"(4.6, 5.2, 5.128117359413203)","(71.0, 130.0, 126.70886075949367)","(20.0, 27.0, 26.43884892086331)","(3.9, 4.5, 4.434216335540839)","(26.0, 34.0, 33.26553672316384)","(7.5, 8.8, 8.7439446366782)","(12.0, 15.0, 14.73404255319149)","(51.0, 70.0, 68.15217391304348)","(2.7, 3.25, 3.2090174966352625)"
07-12-2022 17:58:27.939973,"(4.6, 5.1, 5.086097946287519)","(71.0, 130.0, 126.70886075949367)","(20.0, 27.0, 26.43884892086331)","(3.9, 4.5, 4.431963470319635)","(26.0, 34.0, 33.27272727272727)","(7.5, 8.8, 8.7439446366782)","(12.0, 15.0, 14.795081967213115)","(51.0, 70.0, 68.15217391304348)","(2.7, 3.25, 3.2090174966352625)"
07-12-2022 17:58:29.264444,"(4.6, 5.1, 5.0649173955296405)","(71.0, 130.0, 127.77777777777777)","(20.0, 27.0, 26.43884892086331)","(4.0, 4.5, 4.441007194244604)","(26.0, 34.0, 33.31764705882353)","(7.5, 8.8, 8.754372623574145)","(12.0, 15.0, 14.898305084745763)","(51.0, 70.0, 68.80952380952381)","(2.7, 3.25, 3.2154370034052215)"
07-12-2022 17:58:30.381859,"(4.6, 5.1, 5.066401590457256)","(71.0, 130.0, 124.375)","(20.0, 27.0, 26.51552795031056)","(3.9, 4.5, 4.441007194244604)","(26.0, 34.0, 33.38947368421053)","(7.5, 8.8, 8.75294117647059)","(12.0, 15.0, 14.66842105263158)","(51.0, 70.0, 69.19642857142857)","(2.7, 3.25, 3.2156050955414015)"
07-12-2022 17:58:31.810295,"(4.6, 5.1, 5.072103487064116)","(71.0, 140.0, 131.42857142857142)","(20.0, 27.0, 26.483443708609272)","(3.9, 4.5, 4.472633744855967)","(26.0, 34.0, 33.28155339805825)","(7.5, 8.8, 8.752569169960475)","(12.0, 15.0, 14.65)","(51.0, 70.0, 69.31818181818181)","(2.7, 3.25, 3.216376089663761)"
