,Machens Ridge,Bears Estate,Catfish,Spirit Of Windsor,Twilight Years,Star Rider
15-12-2022 11:37:10.611700,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.34, 2.322)","(3.6, 6.4, 6.01)","(9.0, 16.0, 14.75)"
15-12-2022 11:37:11.592669,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.34, 2.322)","(3.6, 6.4, 6.01)","(9.0, 16.0, 14.75)"
15-12-2022 11:37:12.571552,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.34, 2.322)","(3.6, 6.4, 6.01)","(9.0, 16.0, 14.75)"
15-12-2022 11:37:13.466689,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.34, 2.322)","(3.6, 6.4, 6.01)","(9.0, 16.0, 14.75)"
15-12-2022 11:37:14.440079,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.34, 2.236923076923077)","(3.6, 6.4, 5.75)","(9.0, 16.0, 14.375)"
15-12-2022 11:37:15.383157,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.28, 2.236923076923077)","(3.6, 6.4, 5.75)","(9.0, 15.5, 14.375)"
15-12-2022 11:37:16.314926,"(11.0, 14.5, 13.0)","(10.0, 14.0, 12.25)","(5.5, 9.2, 8.3)","(2.25, 2.24, 2.2300000000000004)","(3.6, 6.4, 5.425)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:17.177850,"(11.0, 14.5, 13.0)","(10.0, 14.0, 12.25)","(5.5, 9.2, 8.0)","(2.25, 2.24, 2.2300000000000004)","(3.6, 6.4, 6.183333333333334)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:18.086392,"(11.0, 14.5, 13.0)","(10.0, 14.0, 12.25)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.2350000000000003)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:18.974139,"(11.0, 14.5, 13.0)","(10.0, 14.0, 12.25)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.2350000000000003)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:19.912933,"(11.0, 14.5, 13.0)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:20.849637,"(11.0, 14.5, 13.0)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:21.791706,"(11.0, 14.5, 13.0)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:22.839280,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.666666666666666)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:23.732949,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.666666666666666)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:24.724571,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.666666666666666)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:25.654287,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.666666666666666)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.5)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:26.626455,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.95)","(9.0, 15.5, 14.166666666666666)"
15-12-2022 11:37:27.750360,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.95)","(9.0, 15.5, 13.785714285714285)"
15-12-2022 11:37:28.820478,"(11.0, 14.5, 13.25)","(10.0, 14.0, 13.125)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 6.0181818181818185)","(9.0, 15.5, 13.25)"
15-12-2022 11:37:29.721374,"(11.0, 14.5, 13.25)","(10.0, 14.0, 11.735294117647058)","(5.5, 9.0, 7.9111111111111105)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 6.0181818181818185)","(9.0, 15.0, 13.25)"
15-12-2022 11:37:30.661961,"(11.0, 14.5, 13.25)","(10.0, 14.0, 11.735294117647058)","(5.5, 9.0, 7.9111111111111105)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.4, 5.2555555555555555)","(9.0, 15.0, 13.25)"
15-12-2022 11:37:31.627672,"(11.0, 14.5, 13.25)","(10.0, 14.0, 11.59375)","(5.5, 9.2, 8.133333333333333)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.2, 5.2555555555555555)","(9.0, 15.0, 13.25)"
15-12-2022 11:37:32.631823,"(11.0, 14.5, 13.25)","(10.0, 14.0, 11.59375)","(5.5, 9.0, 7.9111111111111105)","(2.25, 2.24, 2.236774193548387)","(3.6, 6.2, 5.6000000000000005)","(9.0, 15.0, 13.9)"
15-12-2022 11:37:33.733011,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.75)","(5.5, 9.0, 8.66)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.0)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:34.611126,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.2)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.0)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:35.535860,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.75)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.145454545454546)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:36.493491,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.75)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.0)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:37.361847,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.75)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.145454545454546)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:38.295127,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.75)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.183333333333334)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:39.160218,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.75)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.183333333333334)","(9.0, 15.5, 13.9)"
15-12-2022 11:37:40.161174,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.291666666666666)","(5.5, 9.2, 8.428571428571429)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 6.183333333333334)","(9.0, 15.5, 12.785714285714285)"
15-12-2022 11:37:41.169455,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.291666666666666)","(5.5, 9.0, 7.826666666666667)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.2, 5.800000000000001)","(9.0, 14.5, 13.6)"
15-12-2022 11:37:42.147696,"(11.0, 14.5, 13.25)","(10.0, 16.5, 13.291666666666666)","(5.5, 9.0, 8.2)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 5.800000000000001)","(9.0, 15.0, 13.6)"
15-12-2022 11:37:43.382628,"(11.0, 14.5, 13.25)","(10.0, 15.5, 13.571428571428571)","(5.5, 9.0, 7.90909090909091)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.4, 5.45)","(9.0, 15.0, 12.785714285714285)"
15-12-2022 11:37:44.395249,"(11.0, 14.5, 13.25)","(10.0, 15.5, 13.571428571428571)","(5.5, 8.8, 7.90909090909091)","(2.25, 2.24, 2.2365517241379314)","(3.6, 6.2, 5.58)","(9.0, 14.5, 12.785714285714285)"
15-12-2022 11:37:45.390873,"(12.0, 14.5, 13.25)","(11.0, 15.0, 13.666666666666666)","(6.0, 8.8, 7.90909090909091)","(1.95, 2.24, 2.2624999999999997)","(4.2, 6.0, 5.4)","(10.0, 14.5, 12.785714285714285)"
15-12-2022 11:37:46.558157,"(12.0, 14.5, 13.25)","(11.0, 14.0, 13.0)","(6.0, 8.8, 8.2)","(1.95, 2.28, 2.2)","(4.2, 5.9, 5.533333333333333)","(10.0, 14.5, 13.6)"
15-12-2022 11:37:47.495376,"(12.0, 14.0, 12.666666666666666)","(11.0, 15.0, 13.222222222222221)","(6.0, 9.0, 8.2)","(1.95, 2.28, 2.2)","(4.2, 6.0, 5.533333333333333)","(10.0, 15.0, 12.785714285714285)"
15-12-2022 11:37:48.487965,"(12.0, 14.5, 13.0)","(11.0, 15.0, 13.0)","(6.0, 8.8, 7.90909090909091)","(1.95, 2.28, 2.2133333333333334)","(4.2, 5.9, 5.4)","(10.0, 14.5, 13.6)"
15-12-2022 11:37:49.512053,"(12.0, 14.5, 13.0)","(11.0, 15.0, 13.363636363636363)","(6.0, 8.8, 7.90909090909091)","(1.95, 2.28, 2.2133333333333334)","(4.2, 5.9, 5.5)","(10.0, 15.0, 13.6)"
15-12-2022 11:37:50.475050,"(12.0, 14.5, 13.0)","(11.0, 15.0, 13.363636363636363)","(6.0, 8.8, 7.90909090909091)","(1.95, 2.28, 2.2133333333333334)","(4.2, 6.0, 5.533333333333333)","(10.0, 15.0, 13.6)"
15-12-2022 11:37:51.510303,"(12.0, 14.5, 13.0)","(11.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.28, 2.2133333333333334)","(3.9, 6.0, 5.533333333333333)","(9.0, 15.0, 12.785714285714285)"
15-12-2022 11:37:52.499143,"(11.0, 14.5, 13.0)","(10.0, 14.0, 12.727272727272727)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.28, 2.2133333333333334)","(3.9, 5.9, 5.533333333333333)","(9.0, 14.5, 13.6)"
15-12-2022 11:37:53.425816,"(11.0, 14.5, 13.0)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.28, 2.2133333333333334)","(3.9, 6.0, 5.533333333333333)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:37:54.354586,"(11.0, 14.5, 13.0)","(10.0, 13.5, 12.409090909090908)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.28, 2.2133333333333334)","(3.9, 6.0, 5.533333333333333)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:37:55.360409,"(11.0, 14.5, 13.0)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.32, 2.2422222222222223)","(3.9, 5.9, 5.975)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:37:56.350574,"(11.0, 14.0, 12.666666666666666)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.3, 2.26375)","(3.9, 6.2, 5.507692307692308)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:37:57.341622,"(11.0, 14.5, 12.555555555555555)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.90909090909091)","(2.1, 2.32, 2.26375)","(3.9, 6.2, 5.461538461538462)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:37:58.333822,"(11.0, 14.5, 12.555555555555555)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.830769230769231)","(2.1, 2.32, 2.26375)","(3.9, 6.0, 5.975)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:37:59.273697,"(11.0, 14.5, 12.3125)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.830769230769231)","(2.1, 2.32, 2.26375)","(3.9, 6.2, 5.975)","(9.0, 15.0, 12.666666666666666)"
15-12-2022 11:38:00.183279,"(11.0, 14.5, 12.3125)","(10.0, 14.5, 13.045454545454545)","(6.0, 8.8, 7.830769230769231)","(2.1, 2.32, 2.26375)","(3.9, 6.2, 5.975)","(9.0, 15.0, 12.375)"
15-12-2022 11:38:01.122359,"(11.0, 14.5, 12.3125)","(10.0, 14.0, 12.727272727272727)","(6.0, 8.8, 7.830769230769231)","(2.1, 2.32, 2.26375)","(3.9, 6.2, 5.461538461538462)","(9.0, 15.0, 12.7)"
15-12-2022 11:38:02.083585,"(11.0, 14.5, 12.3125)","(10.0, 14.0, 12.727272727272727)","(6.0, 8.8, 7.830769230769231)","(2.1, 2.32, 2.26375)","(3.9, 6.0, 5.771428571428571)","(9.0, 14.5, 12.88888888888889)"
15-12-2022 11:38:03.031738,"(11.0, 14.5, 12.3125)","(10.0, 13.5, 12.409090909090908)","(6.0, 8.8, 7.830769230769231)","(2.1, 2.3, 2.298867924528302)","(3.9, 6.4, 5.428571428571429)","(9.0, 14.0, 12.88888888888889)"
15-12-2022 11:38:04.110235,"(11.0, 14.5, 14.227272727272727)","(10.0, 13.5, 12.5)","(6.0, 8.8, 7.960000000000001)","(2.1, 2.3, 2.298867924528302)","(3.9, 6.2, 5.428571428571429)","(9.0, 14.0, 12.88888888888889)"
15-12-2022 11:38:05.021668,"(11.0, 14.0, 13.5)","(10.0, 13.5, 12.409090909090908)","(6.0, 8.8, 8.012500000000001)","(2.1, 2.32, 2.2649999999999997)","(3.9, 6.2, 5.975)","(9.0, 14.0, 13.0)"
15-12-2022 11:38:05.922714,"(11.0, 14.5, 14.0)","(10.0, 13.5, 12.409090909090908)","(6.0, 8.8, 8.012500000000001)","(2.1, 2.32, 2.2649999999999997)","(3.9, 6.0, 5.363636363636363)","(9.0, 14.0, 13.0)"
15-12-2022 11:38:06.866438,"(13.0, 14.5, 14.0)","(11.0, 13.5, 12.409090909090908)","(6.5, 8.8, 7.9)","(1.9, 2.32, 2.2649999999999997)","(4.4, 6.4, 5.575)","(10.0, 14.0, 13.0)"
15-12-2022 11:38:07.772831,"(13.0, 14.5, 13.1)","(11.0, 13.5, 12.409090909090908)","(6.5, 8.8, 7.9)","(1.9, 2.32, 2.2649999999999997)","(4.4, 6.0, 5.5200000000000005)","(10.0, 14.5, 13.136363636363637)"
15-12-2022 11:38:08.730333,"(13.0, 14.5, 13.1)","(11.0, 13.5, 12.166666666666666)","(6.5, 8.8, 7.9)","(1.9, 2.32, 2.2649999999999997)","(4.4, 5.9, 5.316666666666666)","(10.0, 14.5, 13.5)"
15-12-2022 11:38:09.670544,"(13.0, 14.0, 12.5)","(11.0, 13.5, 12.166666666666666)","(6.5, 8.8, 8.4)","(1.9, 2.32, 2.225714285714286)","(4.4, 6.0, 5.316666666666666)","(10.0, 14.5, 13.5)"
15-12-2022 11:38:10.659764,"(13.0, 14.5, 13.1)","(11.0, 13.5, 12.166666666666666)","(6.5, 8.8, 7.9)","(1.9, 2.32, 2.245)","(4.4, 5.9, 5.466666666666667)","(10.0, 14.5, 13.5)"
15-12-2022 11:38:11.678814,"(13.0, 14.5, 13.1)","(11.0, 13.5, 12.166666666666666)","(6.5, 8.8, 8.4)","(1.9, 2.46, 2.296)","(4.4, 6.0, 5.633333333333333)","(10.0, 14.5, 13.5)"
15-12-2022 11:38:12.786672,"(13.0, 14.5, 13.1)","(11.0, 14.0, 12.444444444444445)","(6.5, 8.8, 8.4)","(1.9, 2.44, 2.265925925925926)","(4.4, 5.8, 5.633333333333333)","(10.0, 14.5, 13.0)"
15-12-2022 11:38:13.782772,"(13.0, 14.0, 12.5)","(11.0, 14.0, 12.444444444444445)","(6.5, 8.6, 7.9)","(1.9, 2.42, 2.36)","(4.4, 5.8, 5.361538461538461)","(10.0, 14.0, 12.625)"
15-12-2022 11:38:14.664898,"(13.0, 14.5, 13.1)","(11.0, 13.5, 12.0)","(6.5, 9.2, 8.4)","(1.9, 2.42, 2.36)","(4.4, 5.7, 5.361538461538461)","(10.0, 13.0, 12.625)"
15-12-2022 11:38:15.697650,"(13.0, 14.0, 12.5)","(11.0, 13.5, 12.0)","(6.5, 9.0, 8.4)","(1.9, 2.36, 2.153846153846154)","(4.4, 5.8, 5.633333333333333)","(10.0, 13.0, 12.625)"
15-12-2022 11:38:16.742262,"(13.0, 14.5, 13.1)","(11.0, 13.5, 12.0)","(6.5, 9.2, 8.4)","(1.9, 2.24, 2.153846153846154)","(4.4, 5.8, 5.7)","(10.0, 13.0, 12.625)"
15-12-2022 11:38:17.705023,"(13.0, 14.5, 13.75)","(11.0, 13.5, 12.25)","(6.5, 9.2, 8.618181818181817)","(1.9, 2.24, 2.153846153846154)","(4.4, 5.8, 5.7)","(10.0, 13.0, 12.625)"
15-12-2022 11:38:18.639937,"(13.0, 14.5, 13.75)","(11.0, 13.5, 12.25)","(6.5, 9.2, 8.618181818181817)","(1.9, 2.24, 2.1583333333333337)","(4.4, 5.8, 5.7)","(10.0, 13.0, 12.625)"
15-12-2022 11:38:19.579318,"(13.0, 14.5, 13.75)","(11.0, 13.5, 12.25)","(6.5, 9.2, 8.618181818181817)","(1.9, 2.24, 2.2135135135135138)","(4.4, 5.8, 5.7)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:20.584088,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.428571428571429)","(6.5, 9.0, 8.4)","(1.9, 2.24, 2.2135135135135138)","(4.4, 5.8, 5.7)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:21.684345,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.4)","(1.9, 2.24, 2.1636363636363636)","(4.4, 5.8, 5.6)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:22.770231,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.4)","(1.9, 2.24, 2.1636363636363636)","(4.4, 5.8, 5.6)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:23.734675,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.555555555555555)","(1.9, 2.24, 2.1636363636363636)","(4.4, 5.8, 5.636363636363637)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:24.668166,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.222222222222221)","(1.9, 2.24, 2.221935483870968)","(4.4, 5.8, 5.44)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:25.684126,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.222222222222221)","(1.9, 2.24, 2.221935483870968)","(4.4, 5.8, 5.5)","(10.0, 13.0, 12.5)"
15-12-2022 11:38:26.640449,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.222222222222221)","(1.9, 2.24, 2.221935483870968)","(4.4, 5.8, 5.5)","(10.0, 13.0, 12.928571428571429)"
15-12-2022 11:38:27.609648,"(13.0, 14.5, 13.25)","(11.0, 13.0, 12.375)","(6.5, 9.0, 8.222222222222221)","(1.9, 2.24, 2.221935483870968)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:28.672485,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.75)","(6.5, 9.0, 8.4)","(1.9, 2.24, 2.221935483870968)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:29.717530,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.75)","(6.5, 8.8, 8.036363636363637)","(1.9, 2.32, 2.302222222222222)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:30.740156,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.75)","(6.5, 8.8, 8.036363636363637)","(1.9, 2.32, 2.302222222222222)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:31.689880,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.75)","(6.5, 8.8, 8.036363636363637)","(1.9, 2.32, 2.302222222222222)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:32.580866,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.75)","(6.5, 8.8, 8.036363636363637)","(1.9, 2.32, 2.302222222222222)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:33.599602,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.75)","(6.5, 9.0, 8.3)","(1.9, 2.32, 2.302222222222222)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:34.631895,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.285)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:35.640569,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.285)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:36.636138,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.285)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:37.607601,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.285)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:38.538745,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.928571428571429)"
15-12-2022 11:38:39.475844,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 9.0, 8.4)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 14.0, 12.833333333333334)"
15-12-2022 11:38:40.403718,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 13.5, 12.833333333333334)"
15-12-2022 11:38:41.352944,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 13.5, 12.833333333333334)"
15-12-2022 11:38:42.405248,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 13.5, 12.833333333333334)"
15-12-2022 11:38:43.399677,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 8.8, 8.2)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 13.5, 12.833333333333334)"
15-12-2022 11:38:44.305964,"(13.0, 14.5, 13.25)","(11.0, 13.0, 11.928571428571429)","(6.5, 9.0, 8.4)","(1.9, 2.32, 2.29)","(4.4, 5.8, 5.5)","(10.0, 13.5, 12.833333333333334)"
