,Barroom Blitz,Sarie Marais,Dont Yoube Naughty,Artful Master,Torque Writer,Yarramans Shadow,Destiny Blues,Reeds Vision,Diego Delgado
15-12-2022 13:05:53.353488,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.395)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:54.594387,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3836363636363638)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:55.739468,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3836363636363638)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:56.923610,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3836363636363638)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:58.169444,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3836363636363638)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:59.477393,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.58)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.3916666666666666)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:00.688988,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.58)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.381818181818182)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:01.853903,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.7345454545454544)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.45)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:03.054390,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.7345454545454544)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.45)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:04.187391,"(10.0, 12.5, 10.510526315789475)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.7345454545454544)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.45)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:05.366905,"(10.0, 12.5, 10.510526315789475)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.58)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.3600000000000003)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:06.489839,"(10.0, 12.5, 11.3)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.58)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.3600000000000003)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:07.676057,"(10.0, 12.5, 11.3)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.58)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.3600000000000003)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:08.863886,"(10.0, 12.5, 11.3)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.58)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.3600000000000003)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:10.048979,"(10.0, 12.5, 11.3)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.98, 2.785)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.6, 2.591428571428571)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:11.239061,"(10.0, 12.5, 11.3)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.15, 2.785)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.78, 2.35)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:12.494531,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.752307692307692)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.38)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:13.728462,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.752307692307692)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.38)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:14.938473,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.752307692307692)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.38)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:16.135391,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.35)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:17.301130,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.35)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:18.582814,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.35)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:19.780474,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.35)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:20.987524,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.35)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:22.173661,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.4522222222222223)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:23.335893,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5742857142857143)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.4522222222222223)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:24.489469,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.96, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.58, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:25.651799,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:26.821834,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:27.994823,"(10.0, 12.0, 10.533333333333333)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:29.191184,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:30.379444,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:31.544101,"(10.0, 12.5, 11.15)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:32.720751,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:33.874301,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:35.027722,"(10.0, 12.0, 10.378947368421054)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:36.213083,"(10.0, 12.0, 10.378947368421054)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.94, 2.5685714285714285)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.56, 2.437777777777778)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:37.410185,"(10.0, 12.0, 10.378947368421054)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:38.634150,"(10.0, 12.0, 10.378947368421054)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:39.899529,"(10.0, 12.0, 10.378947368421054)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:41.123814,"(10.0, 12.0, 10.378947368421054)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:42.376133,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:43.570893,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:44.786115,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:46.023949,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:47.158007,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.5628571428571427)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.4233333333333333)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:48.309019,"(10.0, 12.0, 11.022222222222222)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.92, 2.557142857142857)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.54, 2.408888888888889)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:49.442795,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.557142857142857)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.408888888888889)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:50.587114,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.557142857142857)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.408888888888889)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:51.681065,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:52.807225,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:53.939667,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:55.054750,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:56.124711,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:57.321878,"(10.0, 12.0, 10.777777777777779)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:58.511955,"(10.0, 12.0, 10.777777777777779)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:06:59.751796,"(10.0, 11.5, 10.366666666666667)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.690909090909091)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.347272727272727)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:00.964772,"(10.0, 11.5, 10.366666666666667)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.9, 2.551428571428571)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.52, 2.4050000000000002)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:02.207222,"(10.0, 11.5, 10.366666666666667)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 2.88, 2.551428571428571)","(61.0, 240.0, 152.5)","(101.0, 280.0, 267.5)","(16.0, 32.0, 24.75)","(1.8, 2.5, 2.4050000000000002)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:03.434842,"(10.0, 11.5, 10.366666666666667)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.88, 2.6399999999999997)","(61.0, 240.0, 182.85714285714286)","(101.0, 280.0, 267.5)","(16.0, 32.0, 24.75)","(1.8, 2.5, 2.4044444444444446)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:04.710111,"(10.0, 11.0, 10.142857142857144)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.86, 2.65)","(61.0, 230.0, 175.71428571428572)","(101.0, 280.0, 267.5)","(16.0, 32.0, 23.75)","(1.8, 2.48, 2.3200000000000003)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:06.034159,"(10.0, 11.0, 10.142857142857144)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.86, 2.65)","(61.0, 220.0, 175.71428571428572)","(101.0, 280.0, 267.5)","(16.0, 30.0, 23.75)","(1.8, 2.48, 2.3200000000000003)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:07.370945,"(10.0, 11.0, 10.142857142857144)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.86, 2.65)","(61.0, 220.0, 175.71428571428572)","(101.0, 280.0, 267.5)","(16.0, 30.0, 23.75)","(1.8, 2.48, 2.2666666666666666)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:08.700626,"(10.0, 11.5, 10.366666666666667)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.86, 2.65)","(61.0, 220.0, 175.71428571428572)","(101.0, 280.0, 267.5)","(16.0, 30.0, 23.75)","(1.8, 2.48, 2.2666666666666666)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:10.011286,"(10.0, 11.5, 10.366666666666667)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.86, 2.776)","(61.0, 220.0, 175.71428571428572)","(101.0, 280.0, 267.5)","(16.0, 30.0, 23.75)","(1.8, 2.48, 2.2666666666666666)","(26.0, 55.0, 35.0)"
15-12-2022 13:07:11.363727,"(10.0, 11.5, 10.285714285714286)","(21.0, 44.0, 30.0)","(101.0, 260.0, 245.0)","(2.2, 2.86, 2.776)","(61.0, 220.0, 175.71428571428572)","(101.0, 280.0, 267.5)","(16.0, 30.0, 23.75)","(1.8, 2.48, 2.3200000000000003)","(26.0, 55.0, 35.0)"
