,Star Of The Bay,Adda My Mind,Ashima,Moonlightsshadow,Ark Of Rock,Batavia Storm,American Rock,Mal Boy,Shakira Blue
07-12-2022 14:08:07.175681,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:08.453753,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:09.753645,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:11.204508,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.728)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9433333333333334)"
07-12-2022 14:08:12.672136,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 12.8)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:14.115147,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 13.17142857142857)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:15.512417,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 13.17142857142857)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:16.951958,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 13.17142857142857)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:18.341931,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 13.17142857142857)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:19.672382,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:21.045051,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:22.488502,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:23.884395,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:25.400363,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 3.368)"
07-12-2022 14:08:26.904755,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:28.442604,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:29.951316,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:31.427647,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 20.25)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:32.964335,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.933333333333334)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:34.466606,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 13.228571428571428)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:35.952946,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 13.228571428571428)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:37.427743,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 13.228571428571428)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:38.935612,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 13.228571428571428)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:40.408238,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 13.228571428571428)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:41.839436,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 24.75)","(101.0, 360.0, 247.5)","(10.0, 15.0, 13.228571428571428)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:43.206126,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 11.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:44.590599,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:46.027088,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:47.470597,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:48.976872,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:50.386309,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:51.783440,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:53.181781,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:54.518286,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:55.928464,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:57.297367,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:58.611577,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:08:59.973207,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:01.348339,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:02.768995,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:04.208036,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:05.663453,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:07.155148,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:08.546646,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:09.989136,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:11.452631,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:12.875828,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:14.299718,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:15.752461,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 5.0)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:17.094944,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.2, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:18.435154,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:19.866771,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:21.294535,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:22.697264,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:24.084033,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:25.511489,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:26.932566,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:28.425332,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:29.902087,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:31.334053,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:32.763371,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:34.193342,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
07-12-2022 14:09:35.673540,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.405)","(17.0, 27.0, 18.333333333333332)","(101.0, 360.0, 247.5)","(10.0, 15.0, 12.0)","(4.0, 6.0, 4.9818181818181815)","(19.0, 32.0, 23.333333333333332)","(101.0, 340.0, 262.85714285714283)","(2.3, 3.55, 3.368)"
