,Heza Galvinator,As She Says,Ghost Train,Jakki Mun,Melton Xmas Girl,Hollywoodbound,Ash And Jo,Swift Change,Shesherz
11-01-2023 20:09:53.447429,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 3.09)","(101.0, 520.0, 203.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 293.3333333333333)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:54.972733,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 3.09)","(101.0, 500.0, 215.71428571428572)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 420.0, 290.0)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:56.536862,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 3.09)","(101.0, 490.0, 215.71428571428572)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 410.0, 290.0)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:58.188848,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 3.09)","(101.0, 490.0, 215.71428571428572)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 410.0, 290.0)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:10:00.028794,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 3.09)","(101.0, 490.0, 320.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 410.0, 290.0)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:10:01.496996,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 3.09)","(101.0, 470.0, 266.6666666666667)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 410.0, 290.0)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:10:03.008454,"(8.5, 12.5, 10.18)","(3.0, 3.8, 3.5833333333333335)","(20.0, 32.0, 27.5)","(2.3, 3.2, 2.91)","(101.0, 460.0, 266.6666666666667)","(13.0, 19.0, 16.25)","(3.9, 5.1, 5.46)","(101.0, 410.0, 290.0)","(101.0, 170.0, 154.0909090909091)"
11-01-2023 20:10:04.474839,"(8.5, 12.5, 10.18)","(3.0, 3.75, 3.5833333333333335)","(20.0, 30.0, 26.75)","(2.3, 3.2, 3.055)","(101.0, 460.0, 266.6666666666667)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 160.0, 160.3846153846154)"
11-01-2023 20:10:05.979247,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.75, 3.6)","(20.0, 29.0, 23.666666666666668)","(2.3, 3.2, 3.1420000000000003)","(101.0, 460.0, 266.6666666666667)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:07.379966,"(8.5, 12.5, 10.566666666666666)","(3.0, 3.75, 3.6)","(20.0, 29.0, 23.333333333333332)","(2.3, 3.2, 3.1420000000000003)","(101.0, 460.0, 263.3333333333333)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:08.692145,"(8.5, 13.5, 11.55)","(3.0, 3.75, 3.6)","(20.0, 28.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 450.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:09.986616,"(8.5, 13.5, 11.55)","(3.0, 3.75, 3.6)","(20.0, 27.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 440.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:11.355601,"(8.5, 13.5, 11.55)","(3.0, 3.75, 3.6)","(20.0, 27.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 440.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:12.735664,"(8.5, 13.5, 10.157142857142857)","(3.0, 3.75, 3.6)","(20.0, 27.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 440.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:14.198623,"(8.5, 13.0, 11.34)","(3.0, 3.75, 3.6)","(20.0, 27.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 440.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:15.641004,"(8.5, 12.5, 11.67142857142857)","(3.0, 3.75, 3.6)","(20.0, 27.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 440.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:17.055780,"(8.5, 12.5, 11.67142857142857)","(3.0, 3.75, 3.6)","(20.0, 27.0, 23.0)","(2.3, 3.2, 2.92)","(101.0, 440.0, 260.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:18.476739,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 23.0)","(2.3, 3.2, 3.106666666666667)","(101.0, 440.0, 215.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:19.924792,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 23.0)","(2.3, 3.2, 3.106666666666667)","(101.0, 440.0, 300.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:21.374713,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 23.0)","(2.3, 3.2, 3.106666666666667)","(101.0, 430.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:22.761427,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 23.0)","(2.3, 3.2, 3.122857142857143)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:24.152566,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 23.0)","(2.3, 3.2, 3.122857142857143)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.46)","(101.0, 410.0, 290.0)","(101.0, 180.0, 161.78571428571428)"
11-01-2023 20:10:25.470421,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 25.0)","(2.3, 3.2, 2.9400000000000004)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.34)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:26.709902,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 27.0, 25.6)","(2.3, 3.2, 3.003636363636364)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.7, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:28.041908,"(8.5, 12.5, 10.34)","(3.0, 3.75, 3.55)","(20.0, 28.0, 25.6)","(2.3, 3.2, 3.026666666666667)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:29.355645,"(8.5, 12.5, 11.15)","(3.0, 3.75, 3.55)","(20.0, 28.0, 28.0)","(2.3, 3.2, 2.993333333333333)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:30.725509,"(8.5, 12.5, 11.6)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.15, 3.026666666666667)","(101.0, 420.0, 325.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:32.176046,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 480.0, 270.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:33.576442,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 470.0, 270.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:35.019563,"(8.5, 13.5, 12.76)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 470.0, 270.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:36.392161,"(8.5, 13.5, 12.76)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 470.0, 220.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:37.738453,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 470.0, 315.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:39.344459,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 460.0, 263.3333333333333)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:40.763578,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.55)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 450.0, 263.3333333333333)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:42.148198,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 450.0, 300.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:44.354371,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 26.0)","(2.3, 3.2, 3.026666666666667)","(101.0, 430.0, 235.0)","(13.0, 19.0, 16.25)","(3.9, 5.9, 5.35)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:46.072826,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 26.0)","(2.3, 3.2, 2.97)","(101.0, 430.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.9, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:47.346720,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 26.0)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:48.733329,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 26.0)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 5.08)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:50.120393,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 26.0)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 5.08)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:51.491673,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 25.428571428571427)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:52.872484,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 25.428571428571427)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:54.182257,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 25.428571428571427)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:55.482942,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 25.428571428571427)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:56.708025,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 25.428571428571427)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:58.034684,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:10:59.403810,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:00.792461,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:02.091062,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:03.362987,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:04.476406,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:05.627199,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:06.828865,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 150.0)"
11-01-2023 20:11:07.927857,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.65)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.963636363636364)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:09.024688,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.6333333333333333)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.97)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.4, 4.9363636363636365)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:10.142034,"(8.5, 13.5, 12.916666666666668)","(3.0, 3.75, 3.6333333333333333)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 160.0)"
11-01-2023 20:11:11.307019,"(8.5, 13.5, 13.11111111111111)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 160.0)"
11-01-2023 20:11:12.719546,"(8.5, 13.5, 13.11111111111111)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 160.0)"
11-01-2023 20:11:13.996617,"(8.5, 13.5, 13.11111111111111)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:15.169527,"(8.5, 13.5, 13.11111111111111)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:16.468299,"(8.5, 13.5, 12.625)","(3.0, 3.75, 3.6041666666666665)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:17.735716,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:18.844655,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:19.971950,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:21.103734,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:22.148187,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:23.225126,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
11-01-2023 20:11:24.257618,"(8.5, 13.5, 13.166666666666666)","(3.0, 3.75, 3.672222222222222)","(20.0, 30.0, 24.18181818181818)","(2.3, 3.2, 2.99)","(101.0, 420.0, 253.33333333333331)","(13.0, 19.0, 16.25)","(3.9, 5.3, 5.033333333333333)","(101.0, 410.0, 290.0)","(101.0, 180.0, 153.33333333333334)"
