,Slingshot Queen,Lily The Thief,Nyali King,Mighty Water Boy,Edge Of Darkness,Talk Out Loud,Blackpool Dozer,Ferocious June
11-01-2023 18:02:39.634447,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:40.757456,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 7.7142857142857135)","(12.0, 27.0, 24.473684210526315)","(8.5, 17.0, 15.044444444444444)"
11-01-2023 18:02:41.921526,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 450.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 24.473684210526315)","(8.5, 17.0, 15.044444444444444)"
11-01-2023 18:02:43.126039,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 450.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.6, 6.934782608695652)","(12.0, 27.0, 24.473684210526315)","(8.5, 17.0, 15.044444444444444)"
11-01-2023 18:02:44.362768,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 450.0)","(2.45, 4.4, 3.932)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 7.7142857142857135)","(12.0, 27.0, 24.473684210526315)","(8.5, 17.0, 15.044444444444444)"
11-01-2023 18:02:45.650043,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.932)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 24.473684210526315)","(8.5, 17.0, 15.044444444444444)"
11-01-2023 18:02:46.932809,"(5.0, 9.4, 6.621052631578948)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.129090909090909)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:48.229882,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:49.441940,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:50.659080,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:51.782285,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:52.904965,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:54.103314,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:55.310555,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:56.383743,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:57.503875,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:58.600017,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:02:59.833946,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:01.060815,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:02.285793,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:03.458205,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:04.619761,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:05.627317,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:06.678521,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:07.755622,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:08.937882,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 7.7142857142857135)","(12.0, 27.0, 19.25)","(8.5, 17.0, 11.84)"
11-01-2023 18:03:10.122683,"(5.0, 9.4, 6.175)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.1418181818181816)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.6, 6.2)","(12.0, 27.0, 21.625)","(8.5, 17.0, 11.533333333333333)"
11-01-2023 18:03:11.319702,"(5.0, 9.4, 6.04)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.04)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 25.0, 21.625)","(8.5, 17.0, 11.533333333333333)"
11-01-2023 18:03:12.431901,"(5.0, 9.4, 6.04)","(81.0, 580.0, 450.0)","(2.45, 4.3, 3.04)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 25.0, 21.625)","(8.5, 17.0, 11.533333333333333)"
11-01-2023 18:03:13.614639,"(5.0, 9.4, 5.88)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.04)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 25.0, 22.375)","(8.5, 17.0, 11.533333333333333)"
11-01-2023 18:03:14.763511,"(5.0, 9.4, 6.942857142857143)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.026)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.429411764705883)","(12.0, 26.0, 22.375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:15.849469,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.1545454545454543)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.429411764705883)","(12.0, 26.0, 22.375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:17.056217,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.026)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.3625)","(12.0, 26.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:18.284758,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.026)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.3625)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:19.523808,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.026)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:20.764474,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.3415384615384616)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:21.938652,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.3415384615384616)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:23.093054,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:24.157103,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:25.320082,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:26.461525,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:27.674760,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:28.868104,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:30.112474,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:31.248332,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:32.372161,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:33.569524,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:34.702556,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:35.872589,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:37.003337,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:38.200150,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:39.382301,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:40.612513,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:41.795203,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 13.975)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:42.970207,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:44.159222,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:45.357950,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:46.468361,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:47.543644,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:48.661838,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:49.814879,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:51.030788,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 494.16666666666663)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.2)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:52.251407,"(5.0, 9.4, 6.880000000000001)","(81.0, 580.0, 505.0)","(2.45, 4.3, 3.068)","(3.4, 5.0, 3.9)","(91.0, 99999, 99990)","(5.0, 8.8, 6.1625)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:53.428461,"(5.0, 9.4, 6.880000000000001)","(101.0, 580.0, 505.0)","(2.4, 4.3, 3.068)","(3.4, 5.0, 3.9)","(101.0, 99999, 99990)","(5.0, 8.6, 6.1625)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
11-01-2023 18:03:54.626499,"(5.0, 9.4, 6.880000000000001)","(101.0, 580.0, 505.0)","(2.4, 4.3, 3.082)","(3.4, 5.0, 3.9)","(101.0, 99999, 99990)","(5.0, 8.6, 6.324999999999999)","(12.0, 28.0, 14.59375)","(8.5, 17.0, 12.2)"
