,Cherokee Castle,True Flirt,Nordic Dancer,Crafty Windsor Cat,Siente La Brisa
12-01-2023 11:04:29.860637,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:30.867411,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:31.934947,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:32.936623,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:33.979547,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:35.072219,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:36.104721,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:37.089233,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:38.074218,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:39.057416,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:40.073539,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:41.088209,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:42.185123,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:43.221361,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:44.129821,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:45.186022,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:46.222752,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:47.188289,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:48.203940,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:49.231922,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:50.273394,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:51.293555,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:52.252784,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:53.269480,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:54.291338,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:55.546369,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:56.643801,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:57.651883,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:58.661352,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:59.800959,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:00.929868,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:01.966117,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:03.008771,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:04.042621,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:05.103836,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:06.119770,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:07.107682,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:08.137899,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:09.185880,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:10.205861,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:11.239356,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:12.179428,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:13.170049,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:14.209842,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:15.442353,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:16.556667,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:17.573531,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
