,Angry Angie,Dam Slipperier,Nothing Matters,Blue Haze,Titanium Gunn,Nana Rooney
22,"[datetime.datetime(2022, 11, 28, 18, 33, 36, 624204), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 36, 624204), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 36, 624204), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 36, 624204), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 36, 624204), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 36, 624204), 5.5, 8.6]"
23,"[datetime.datetime(2022, 11, 28, 18, 33, 37, 731347), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 37, 731347), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 37, 731347), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 37, 731347), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 37, 731347), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 37, 731347), 5.5, 8.6]"
24,"[datetime.datetime(2022, 11, 28, 18, 33, 38, 833167), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 38, 833167), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 38, 833167), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 38, 833167), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 38, 833167), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 38, 833167), 5.5, 8.6]"
25,"[datetime.datetime(2022, 11, 28, 18, 33, 39, 937812), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 39, 937812), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 39, 937812), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 39, 937812), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 39, 937812), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 39, 937812), 5.5, 8.6]"
26,"[datetime.datetime(2022, 11, 28, 18, 33, 41, 51228), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 41, 51228), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 41, 51228), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 41, 51228), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 41, 51228), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 41, 51228), 5.5, 8.6]"
27,"[datetime.datetime(2022, 11, 28, 18, 33, 42, 176696), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 42, 176696), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 42, 176696), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 42, 176696), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 42, 176696), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 42, 176696), 5.5, 8.6]"
28,"[datetime.datetime(2022, 11, 28, 18, 33, 43, 287015), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 43, 287015), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 43, 287015), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 43, 287015), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 43, 287015), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 43, 287015), 5.5, 8.6]"
29,"[datetime.datetime(2022, 11, 28, 18, 33, 44, 390702), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 44, 390702), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 44, 390702), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 44, 390702), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 44, 390702), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 44, 390702), 5.5, 8.6]"
30,"[datetime.datetime(2022, 11, 28, 18, 33, 45, 494816), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 45, 494816), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 45, 494816), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 45, 494816), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 45, 494816), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 45, 494816), 5.5, 8.6]"
31,"[datetime.datetime(2022, 11, 28, 18, 33, 46, 622529), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 46, 622529), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 46, 622529), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 46, 622529), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 46, 622529), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 46, 622529), 5.5, 8.6]"
