,Lil Toughman,Fit But Fat,Eisele,Rey O Reyes,Rayo Negro,Johnny Swish,Salty J J,Henry Standingbear,Skip The Bull
16-12-2022 11:46:36.699888,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:37.791789,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:38.864612,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:39.967274,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:41.092887,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:42.209214,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:43.377890,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:44.509536,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:45.598857,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:46.668284,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:47.773842,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:48.868564,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:49.969044,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
