,Targan Bale,Ibrox Cooper,Slingshot Flare,Luxuriate,Who Told John,Chasing Jimmy,Inga Leah,Liberty Pop
12-01-2023 17:20:54.107672,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:55.257244,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:56.386898,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:57.478178,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:58.542350,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:59.760872,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:00.892563,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:01.951184,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:03.035101,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:04.097258,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:05.159008,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:06.237444,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:07.398182,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:08.460366,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:09.624280,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:10.807258,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:11.932263,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:12.977426,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:13.989069,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:15.033472,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:16.115229,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:17.132931,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:18.170604,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.0)","(17.0, 42.0, 25.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:19.295082,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.0)","(17.0, 42.0, 25.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:20.443691,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.0)","(17.0, 42.0, 25.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:21.491368,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:22.511760,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:23.582615,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:24.677518,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:25.754166,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:26.818885,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:27.806312,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:28.861413,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:29.840250,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:30.879093,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:31.954965,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:33.072876,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:34.237685,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:35.251505,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:36.288993,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:37.427887,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:38.497724,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:39.555023,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:40.549615,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:41.592154,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:42.655497,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:43.731595,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:44.738087,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:45.776399,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:46.939361,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:48.082220,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:49.235019,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:50.249540,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:51.329626,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:52.561862,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:53.759384,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:54.800858,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:55.923077,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:57.105771,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:58.249112,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:21:59.395586,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:00.616939,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:01.746651,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:02.890188,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:03.987101,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:05.164440,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 22.363636363636363)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:06.283327,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:07.406520,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:08.446131,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:09.551901,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:10.604546,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:11.722583,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:12.721853,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:22:13.820830,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 24.5625)","(17.0, 42.0, 26.0625)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
