,Aramco,Fighting Force,Statesmanship,Albanian Bay,Dynamic Deel,Italian Award,Kenrick Road,Shark Island,Diamanda,Jenni Lartiste,Lottacheex,Sockastar,Brungle Creek,Lucky Hands
16-12-2022 13:41:04.108458,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.0)","(17.0, 34.0, 32.0)","(61.0, 95.0, 71.66666666666667)","(15.0, 21.0, 19.551724137931036)","(26.0, 55.0, 46.36363636363637)","(31.0, 50.0, 42.857142857142854)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.935)","(26.0, 40.0, 38.666666666666664)","(10.0, 14.0, 13.692307692307692)","(101.0, 530.0, 323.3333333333333)"
16-12-2022 13:41:05.665337,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.33333333333333)","(17.0, 34.0, 32.0)","(61.0, 85.0, 71.66666666666667)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.9384615384615382)","(26.0, 40.0, 38.666666666666664)","(10.0, 14.0, 13.692307692307692)","(101.0, 530.0, 323.3333333333333)"
16-12-2022 13:41:07.214121,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.33333333333333)","(17.0, 34.0, 32.0)","(61.0, 85.0, 71.66666666666667)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 12.0, 12.872340425531915)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.9384615384615382)","(26.0, 40.0, 48.0)","(10.0, 14.0, 13.692307692307692)","(101.0, 530.0, 323.3333333333333)"
16-12-2022 13:41:08.779231,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.33333333333333)","(17.0, 34.0, 32.0)","(61.0, 85.0, 71.66666666666667)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.333333333333336)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.764705882352942)","(101.0, 280.0, 258.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.9384615384615382)","(26.0, 50.0, 43.45454545454545)","(10.0, 14.0, 13.692307692307692)","(101.0, 530.0, 347.77777777777777)"
16-12-2022 13:41:10.287073,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 89.0)","(17.0, 34.0, 30.75)","(61.0, 85.0, 72.6923076923077)","(15.0, 21.0, 19.551724137931036)","(26.0, 48.0, 46.333333333333336)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.764705882352942)","(101.0, 280.0, 258.0)","(6.0, 7.8, 7.181818181818182)","(2.5, 2.98, 2.9384615384615382)","(26.0, 50.0, 46.75)","(10.0, 14.0, 13.454545454545455)","(101.0, 520.0, 316.6666666666667)"
16-12-2022 13:41:11.800269,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 89.0)","(17.0, 36.0, 31.5)","(61.0, 85.0, 72.6923076923077)","(15.0, 21.0, 19.551724137931036)","(26.0, 48.0, 46.333333333333336)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.764705882352942)","(101.0, 280.0, 195.0)","(6.0, 7.2, 7.182608695652174)","(2.5, 2.98, 2.9384615384615382)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 427.14285714285717)"
16-12-2022 13:41:13.354917,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 89.0)","(17.0, 36.0, 31.5)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 48.0, 46.333333333333336)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.179310344827586)","(2.5, 2.98, 2.9384615384615382)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 323.3333333333333)"
16-12-2022 13:41:14.928004,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 48.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.179310344827586)","(2.5, 2.98, 2.9384615384615382)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 323.3333333333333)"
16-12-2022 13:41:16.474441,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.179310344827586)","(2.5, 2.98, 2.9384615384615382)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 413.33333333333337)"
16-12-2022 13:41:18.118289,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.172093023255814)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 413.33333333333337)"
16-12-2022 13:41:19.647728,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.172093023255814)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 413.33333333333337)"
16-12-2022 13:41:21.139299,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.172093023255814)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 413.33333333333337)"
16-12-2022 13:41:22.658295,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.1647058823529415)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.454545454545455)","(101.0, 510.0, 413.33333333333337)"
16-12-2022 13:41:24.130475,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.934782608695652)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.1647058823529415)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.448717948717949)","(101.0, 510.0, 413.33333333333337)"
16-12-2022 13:41:25.732046,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.936170212765958)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.1647058823529415)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.448717948717949)","(101.0, 510.0, 344.44444444444446)"
16-12-2022 13:41:27.288150,"(4.2, 5.5, 5.463636363636364)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.84776119402985)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.1454545454545455)","(2.5, 2.98, 2.9493181818181817)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.448717948717949)","(101.0, 500.0, 400.0)"
16-12-2022 13:41:28.882040,"(4.2, 5.5, 5.507692307692308)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.1)","(101.0, 270.0, 195.0)","(6.0, 7.2, 7.153846153846154)","(2.5, 2.98, 2.9564285714285714)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.472972972972974)","(101.0, 490.0, 316.6666666666667)"
16-12-2022 13:41:30.472393,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 12.1)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.153846153846154)","(2.5, 2.98, 2.935737704918033)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.472972972972974)","(101.0, 610.0, 293.3333333333333)"
16-12-2022 13:41:32.020218,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.75)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.5)","(11.0, 13.0, 11.5)","(101.0, 270.0, 214.44444444444446)","(6.0, 7.2, 7.153846153846154)","(2.5, 2.98, 2.935737704918033)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.472972972972974)","(101.0, 610.0, 353.3333333333333)"
16-12-2022 13:41:33.537009,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 33.0)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.678571428571429)","(101.0, 270.0, 258.0)","(6.0, 7.2, 7.153846153846154)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:35.157187,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 20.6875)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.71875)","(101.0, 280.0, 230.0)","(6.0, 7.2, 7.153846153846154)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:36.779544,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 36.0, 30.5)","(61.0, 85.0, 70.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 12.985294117647058)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.918918918918918)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.75)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:38.462339,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 32.0, 29.0)","(61.0, 85.0, 72.27272727272727)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.5, 12.985294117647058)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.8533333333333335)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.333333333333336)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:39.955516,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 32.0, 29.0)","(61.0, 85.0, 72.27272727272727)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.5, 12.5)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.8533333333333335)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.333333333333336)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:41.517924,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 32.0, 30.42857142857143)","(61.0, 85.0, 72.27272727272727)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.5, 11.571428571428571)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.8533333333333335)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.333333333333336)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:43.071092,"(4.2, 5.6, 5.5)","(51.0, 95.0, 88.63636363636364)","(17.0, 32.0, 31.3125)","(61.0, 85.0, 72.27272727272727)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 11.571428571428571)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.8533333333333335)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 46.333333333333336)","(10.0, 13.5, 13.472972972972974)","(101.0, 600.0, 353.3333333333333)"
16-12-2022 13:41:44.684384,"(4.2, 5.6, 5.5)","(51.0, 95.0, 87.22222222222223)","(17.0, 32.0, 24.5)","(61.0, 85.0, 72.27272727272727)","(15.0, 21.0, 19.551724137931036)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 42.857142857142854)","(11.0, 13.0, 11.76923076923077)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.8533333333333335)","(2.5, 2.98, 2.945263157894737)","(26.0, 48.0, 43.0)","(10.0, 13.5, 13.472972972972974)","(101.0, 590.0, 290.0)"
16-12-2022 13:41:46.389496,"(4.2, 5.6, 5.5)","(51.0, 90.0, 87.22222222222223)","(17.0, 32.0, 24.5)","(61.0, 85.0, 72.27272727272727)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 46.36363636363637)","(31.0, 48.0, 43.0)","(11.0, 13.0, 11.916666666666666)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.891111111111111)","(26.0, 44.0, 41.63636363636364)","(10.0, 13.5, 13.686274509803921)","(101.0, 590.0, 343.3333333333333)"
16-12-2022 13:41:47.972073,"(4.2, 6.0, 5.514285714285714)","(51.0, 90.0, 67.85714285714286)","(17.0, 30.0, 26.81818181818182)","(61.0, 85.0, 85.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 48.0, 43.0)","(11.0, 13.0, 11.96)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.92)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.372549019607844)","(101.0, 570.0, 343.3333333333333)"
16-12-2022 13:41:49.552038,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.85714285714286)","(17.0, 30.0, 28.157894736842106)","(61.0, 90.0, 85.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 11.916666666666666)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 570.0, 340.0)"
16-12-2022 13:41:51.128716,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 28.157894736842106)","(61.0, 90.0, 85.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 11.916666666666666)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 560.0, 340.0)"
16-12-2022 13:41:52.846064,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 72.27272727272727)","(17.0, 30.0, 25.5)","(61.0, 90.0, 80.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 11.916666666666666)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 560.0, 340.0)"
16-12-2022 13:41:54.499269,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 25.5)","(61.0, 90.0, 80.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 11.814814814814815)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.372549019607844)","(101.0, 560.0, 340.0)"
16-12-2022 13:41:56.161431,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 25.5)","(61.0, 90.0, 80.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 11.814814814814815)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 560.0, 340.0)"
16-12-2022 13:41:57.832175,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 25.5)","(61.0, 90.0, 80.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 12.912162162162161)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 560.0, 340.0)"
16-12-2022 13:41:59.611207,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 28.2)","(61.0, 90.0, 80.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 12.912162162162161)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.9)","(2.5, 2.98, 2.9072727272727272)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 560.0, 340.0)"
16-12-2022 13:42:01.328297,"(4.2, 6.0, 5.514285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 28.2)","(61.0, 90.0, 80.0)","(15.0, 21.0, 19.555555555555557)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 12.912162162162161)","(101.0, 280.0, 230.0)","(6.0, 7.2, 6.793478260869565)","(2.5, 2.98, 2.8175)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 13.272727272727273)","(101.0, 550.0, 283.3333333333333)"
16-12-2022 13:42:02.998938,"(4.2, 6.0, 5.714285714285714)","(51.0, 85.0, 67.5)","(17.0, 30.0, 30.4)","(61.0, 90.0, 73.0)","(15.0, 21.0, 19.846153846153847)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 12.94)","(101.0, 280.0, 230.0)","(6.0, 6.8, 6.9)","(2.5, 2.98, 2.8111111111111113)","(26.0, 46.0, 43.714285714285715)","(10.0, 14.0, 12.966666666666667)","(101.0, 550.0, 333.3333333333333)"
16-12-2022 13:42:04.642603,"(4.2, 5.8, 5.714285714285714)","(51.0, 85.0, 67.85714285714286)","(17.0, 34.0, 31.157894736842106)","(61.0, 100.0, 73.0)","(15.0, 21.0, 19.846153846153847)","(26.0, 50.0, 47.0)","(31.0, 50.0, 43.0)","(11.0, 13.0, 12.94)","(101.0, 280.0, 230.0)","(6.0, 7.0, 6.9)","(2.5, 2.9, 2.8466666666666667)","(26.0, 46.0, 43.714285714285715)","(10.0, 13.5, 13.055555555555555)","(101.0, 540.0, 333.3333333333333)"
