,Halloween,Bettor Sport,Kaybee Starzzz,Theultimate,Bettathanapokeindeye Nz,Guy Looks Good,Classie American Nz,Imperious,Kickatinalongpony,Our Modern Minnie
09-01-2023 16:12:59.027560,"(9.0, 9.6, 9.17142857142857)","(13.0, 26.0, 24.5)","(61.0, 75.0, 64.28571428571429)","(18.0, 16.0, 14.055555555555555)","(5.5, 99999, 99990)","(4.8, 5.7, 5.4)","(5.5, 99999, 99990)","(12.0, 18.0, 17.5)","(2.9, 4.8, 4.435714285714286)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:13:00.392374,"(9.0, 9.6, 9.17142857142857)","(13.0, 26.0, 24.5)","(61.0, 70.0, 64.28571428571429)","(18.0, 16.0, 14.055555555555555)","(5.5, 99999, 99990)","(4.8, 5.7, 5.4)","(5.5, 99999, 99990)","(12.0, 18.0, 17.5)","(2.9, 4.8, 4.435714285714286)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:13:01.681649,"(9.0, 9.6, 9.1)","(13.0, 26.0, 23.81818181818182)","(61.0, 70.0, 60.0)","(18.0, 16.0, 14.055555555555555)","(5.5, 99999, 99990)","(4.8, 5.7, 5.4)","(5.5, 99999, 99990)","(12.0, 18.0, 17.5)","(2.9, 4.6, 4.35)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:13:02.939968,"(9.0, 9.6, 9.1)","(13.0, 26.0, 23.81818181818182)","(61.0, 70.0, 60.0)","(18.0, 16.0, 14.055555555555555)","(5.5, 99999, 99990)","(4.8, 5.7, 5.4)","(5.5, 99999, 99990)","(12.0, 18.0, 17.5)","(2.9, 4.6, 4.35)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:13:04.280928,"(9.0, 9.6, 9.36923076923077)","(13.0, 26.0, 23.81818181818182)","(61.0, 70.0, 60.0)","(18.0, 16.0, 14.166666666666666)","(5.5, 99999, 99990)","(4.8, 5.7, 5.533333333333333)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.6, 4.15625)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:13:05.659133,"(9.0, 17.5, 11.288461538461538)","(13.0, 25.0, 23.363636363636363)","(61.0, 70.0, 60.0)","(18.0, 14.5, 13.333333333333334)","(5.5, 99999, 99990)","(4.8, 5.7, 5.533333333333333)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.5, 4.15625)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:13:07.003882,"(9.0, 16.5, 15.04)","(13.0, 25.0, 23.363636363636363)","(61.0, 70.0, 60.0)","(18.0, 14.5, 13.041666666666668)","(5.5, 99999, 99990)","(4.8, 5.7, 5.575)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.5, 4.11875)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:13:08.448907,"(9.0, 15.0, 14.553846153846154)","(13.0, 25.0, 23.8)","(61.0, 70.0, 62.5)","(18.0, 14.5, 13.0)","(5.5, 99999, 99990)","(4.8, 5.7, 5.575)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.4, 4.11875)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:13:09.947844,"(9.0, 14.0, 12.239999999999998)","(13.0, 25.0, 23.8)","(61.0, 70.0, 62.5)","(18.0, 14.5, 13.375)","(5.5, 99999, 99990)","(4.8, 5.7, 5.575)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.4, 4.045454545454546)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:13:11.271791,"(9.0, 13.0, 12.239999999999998)","(13.0, 25.0, 22.75)","(61.0, 70.0, 72.5)","(18.0, 14.5, 12.928571428571429)","(5.5, 99999, 99990)","(4.8, 5.7, 5.55)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 40.0, 32.4375)"
09-01-2023 16:13:12.601539,"(9.0, 11.5, 10.925)","(13.0, 25.0, 22.75)","(61.0, 85.0, 72.5)","(18.0, 13.5, 12.928571428571429)","(5.5, 99999, 99990)","(4.8, 5.7, 5.55)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 40.0, 32.4375)"
09-01-2023 16:13:13.877857,"(9.0, 11.0, 10.64)","(13.0, 25.0, 23.363636363636363)","(61.0, 85.0, 72.5)","(18.0, 13.5, 12.928571428571429)","(5.5, 99999, 99990)","(4.8, 5.7, 5.55)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 40.0, 33.09090909090909)"
09-01-2023 16:13:15.338167,"(9.0, 11.0, 10.64)","(13.0, 25.0, 23.363636363636363)","(61.0, 85.0, 72.5)","(18.0, 13.5, 12.928571428571429)","(5.5, 99999, 99990)","(4.8, 5.7, 5.55)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 38.0, 33.09090909090909)"
09-01-2023 16:13:16.756763,"(9.0, 11.0, 10.742857142857142)","(13.0, 25.0, 23.666666666666668)","(61.0, 85.0, 72.5)","(18.0, 13.5, 12.928571428571429)","(5.5, 99999, 99990)","(4.8, 5.7, 5.55)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 38.0, 33.09090909090909)"
09-01-2023 16:13:18.218344,"(9.0, 10.5, 10.314285714285713)","(13.0, 25.0, 23.666666666666668)","(61.0, 85.0, 72.5)","(18.0, 13.5, 12.571428571428571)","(5.5, 99999, 99990)","(4.8, 5.7, 5.628571428571429)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 38.0, 34.0)"
09-01-2023 16:13:19.725648,"(9.0, 10.0, 9.84)","(13.0, 25.0, 24.11111111111111)","(61.0, 85.0, 72.5)","(18.0, 13.0, 12.571428571428571)","(5.5, 99999, 99990)","(4.8, 5.7, 5.628571428571429)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 36.0, 34.0)"
09-01-2023 16:13:21.323774,"(9.0, 10.0, 9.84)","(13.0, 25.0, 24.11111111111111)","(61.0, 85.0, 72.5)","(18.0, 13.0, 12.571428571428571)","(5.5, 99999, 99990)","(4.8, 5.7, 5.25)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.045454545454546)","(26.0, 36.0, 34.0)"
09-01-2023 16:13:22.805753,"(9.0, 10.0, 9.555555555555555)","(13.0, 25.0, 23.666666666666668)","(61.0, 85.0, 72.5)","(18.0, 13.0, 12.571428571428571)","(5.5, 99999, 99990)","(4.8, 5.6, 5.382758620689655)","(5.5, 99999, 99990)","(12.0, 18.0, 16.25)","(2.9, 4.3, 4.075)","(26.0, 36.0, 34.0)"
