,Blue Ruby,Akuna Street,Rustic Bling,Magic Eclipse,Chasing Jess,Yeah The Boy,Buddys Mate,Diablo Bale
06-01-2023 13:55:07.617581,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:08.900925,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:10.142844,"(5.5, 9.2, 7.64)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:11.326982,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:12.522262,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:13.735577,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:14.849817,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:16.099204,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:17.273984,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:18.378637,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:19.581132,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:20.824703,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 90.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.58)"
06-01-2023 13:55:22.136764,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 6.7)","(31.0, 190.0, 80.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:23.420635,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.485714285714286)","(31.0, 170.0, 78.125)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:24.639827,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.2615384615384615)","(31.0, 170.0, 78.125)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:25.845965,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.2615384615384615)","(31.0, 170.0, 78.125)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
