,Goldstar Shaggy,Sinha Man,Barber Cubed,Mighty Mccook,Alhambra,Impressive Sonic,Diamond Georgio,Cupids Day
05-01-2023 16:26:50.383020,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:51.518566,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:52.607905,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:53.765789,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:54.819812,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:55.883073,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:56.957771,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:58.038427,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:59.127872,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:00.227217,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:01.254294,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:02.252142,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:03.302262,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:04.394938,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
