,Raging Romeo,Athabascan,Seeknyoushallfind,Star Armbro,Destined To Rule,Bellezza Nera,Sidstrepo,Heza Head Honcho Nz,Boston Rob,Ultimate Rocker Nz,Tepelo Star
10-01-2023 19:16:06.787363,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 95.0, 84.16666666666666)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 163.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:08.477065,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 90.0, 84.16666666666666)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 163.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:10.284836,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 90.0, 84.16666666666666)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 163.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:12.074474,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 90.0, 84.16666666666666)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 163.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:14.037160,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 90.0, 84.16666666666666)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 163.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:15.855994,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3907999999999998)","(31.0, 90.0, 86.11111111111111)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 163.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:17.695103,"(8.5, 18.5, 16.0)","(1.3, 1.44, 1.3907999999999998)","(31.0, 90.0, 84.16666666666666)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.125)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
10-01-2023 19:16:19.335087,"(8.5, 18.5, 18.125)","(1.3, 1.44, 1.3511304347826087)","(31.0, 90.0, 75.0)","(11.0, 22.0, 21.625)","(26.0, 44.0, 38.857142857142854)","(18.0, 34.0, 35.07692307692308)","(15.0, 25.0, 27.642857142857142)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:20.957609,"(8.5, 19.0, 18.454545454545453)","(1.3, 1.36, 1.3849253731343283)","(31.0, 90.0, 75.0)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.07692307692308)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:22.519973,"(8.5, 19.0, 18.454545454545453)","(1.3, 1.44, 1.3807894736842106)","(31.0, 90.0, 75.0)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.07692307692308)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:24.331862,"(8.5, 19.0, 18.6)","(1.3, 1.44, 1.379620253164557)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.07692307692308)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:26.020895,"(8.5, 19.0, 20.2)","(1.3, 1.44, 1.3701724137931035)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 30.0)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:27.781581,"(8.5, 21.0, 19.285714285714285)","(1.3, 1.44, 1.3701724137931035)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 32.25)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:29.544984,"(8.5, 21.0, 19.285714285714285)","(1.3, 1.44, 1.3701724137931035)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 32.25)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:31.312088,"(8.5, 21.0, 19.285714285714285)","(1.3, 1.44, 1.3701724137931035)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 32.25)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:33.015823,"(8.5, 21.0, 19.285714285714285)","(1.3, 1.44, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.09090909090909)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 32.25)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:34.669138,"(8.5, 21.0, 19.285714285714285)","(1.3, 1.43, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 32.25)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:36.319212,"(8.5, 21.0, 19.46153846153846)","(1.3, 1.43, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:38.012544,"(8.5, 21.0, 19.46153846153846)","(1.3, 1.43, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:39.744438,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:41.659708,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:43.597793,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3995652173913042)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:45.281089,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3780000000000001)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:46.740194,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.42, 1.3780000000000001)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:48.161629,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.42, 1.3780000000000001)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:49.498449,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.42, 1.3780000000000001)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:51.167894,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.42, 1.3780000000000001)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:52.744609,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.42, 1.3780000000000001)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 22.5)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:54.416847,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.42, 1.3828)","(31.0, 90.0, 86.66666666666667)","(11.0, 23.0, 19.846153846153847)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:56.071616,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3828)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.846153846153847)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:57.596574,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3828)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.846153846153847)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:16:59.250986,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3828)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.846153846153847)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 36.0)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:00.753124,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.373941605839416)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.846153846153847)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 33.333333333333336)","(15.0, 29.0, 21.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:02.150253,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.373941605839416)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.846153846153847)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 36.0)","(15.0, 29.0, 25.333333333333332)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:03.575738,"(8.5, 21.0, 18.083333333333332)","(1.3, 1.43, 1.3780645161290324)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 18.9375)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 33.333333333333336)","(15.0, 28.0, 26.857142857142858)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:04.987543,"(8.5, 21.0, 19.40909090909091)","(1.3, 1.43, 1.3780645161290324)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 18.9375)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 33.333333333333336)","(15.0, 28.0, 24.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:06.520684,"(8.5, 21.0, 19.40909090909091)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 18.9375)","(26.0, 44.0, 38.857142857142854)","(18.0, 42.0, 35.5)","(15.0, 28.0, 24.5)","(18.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:07.918128,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 18.9375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 35.5)","(16.0, 28.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:09.253013,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 35.5)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:10.578516,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 35.5)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:11.865098,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:13.155370,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:14.518864,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:15.828288,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:17.152827,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:18.470995,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:19.685815,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:20.916548,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:22.204625,"(8.5, 21.0, 19.2)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:23.516255,"(8.5, 21.0, 19.333333333333332)","(1.3, 1.43, 1.3854545454545455)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:24.885631,"(8.5, 21.0, 19.333333333333332)","(1.3, 1.43, 1.3898666666666668)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:26.160613,"(8.5, 21.0, 19.333333333333332)","(1.3, 1.41, 1.3813333333333333)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:27.444695,"(8.5, 21.0, 19.333333333333332)","(1.3, 1.41, 1.3813333333333333)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:28.779354,"(8.5, 21.0, 19.333333333333332)","(1.3, 1.41, 1.3813333333333333)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
10-01-2023 19:17:30.154744,"(8.5, 21.0, 19.333333333333332)","(1.3, 1.41, 1.3805128205128205)","(31.0, 90.0, 86.66666666666667)","(11.0, 22.0, 19.375)","(26.0, 44.0, 38.857142857142854)","(19.0, 42.0, 38.1)","(16.0, 27.0, 21.857142857142858)","(19.0, 99999, 99990)","(101.0, 190.0, 170.0)","(13.0, 99999, 99990)","(101.0, 230.0, 143.33333333333334)"
