,Cronk,Anikitos,Luckyspeed,Flying Flynn,Kyvalley Helen,Whats The Tea,Antisocial,Maori Muscle,Dona Amalia,Hurricane Jane,Dynamic Star
12-01-2023 17:43:47.205408,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:48.757785,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:50.209642,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:51.696980,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:53.153754,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:54.732326,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:56.332058,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.410909090909091)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:57.909048,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.4929411764705884)","(26.0, 60.0, 51.25)","(41.0, 100.0, 85.5)","(4.2, 6.4, 6.142857142857142)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:59.432768,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.54, 2.4929411764705884)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.2, 6.142857142857142)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:01.064784,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.54, 2.4929411764705884)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.2, 6.142857142857142)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:02.643073,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.54, 2.4929411764705884)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.2, 6.142857142857142)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:04.254043,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.54, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.2, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:05.770099,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:07.353124,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:08.915938,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:10.539730,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:12.150278,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:13.786986,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:15.424768,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:16.978174,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:18.517744,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:20.165421,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:21.794636,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:23.359195,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:24.989558,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:26.601168,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:28.228084,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:29.856366,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:31.428118,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:33.031110,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:34.667616,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:36.341124,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:37.962204,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:39.515746,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:41.099837,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:42.612508,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:44.172196,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:45.780958,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:47.325408,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:48.868849,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.897674418604652)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:50.502428,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:52.168147,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:53.893766,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:55.580436,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:57.204013,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:44:58.866679,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:45:00.577404,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:45:02.192034,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:45:03.737788,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:45:05.365996,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:45:06.992552,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.52, 2.351111111111111)","(26.0, 60.0, 51.25)","(41.0, 95.0, 85.5)","(4.2, 6.0, 5.921428571428572)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
