,Haras Rusty,Climb A Rainbow,Earth Shaker,Blue Bertrum,Pollys Express,Billy Nailer,Phantom Jasper,Pollys Courier
08-01-2023 13:39:02.803116,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:03.968758,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:05.133678,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:06.255042,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:07.386909,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:08.500491,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:09.652253,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:10.681596,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:11.805369,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:12.977265,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:14.182862,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:15.370743,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:16.465996,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:17.513926,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:18.631788,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:19.781174,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:20.979414,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:22.223150,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:23.364935,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:24.487393,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:25.557016,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:26.589622,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:27.723932,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:28.768946,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:29.869198,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:30.995357,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:32.180061,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:33.338383,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:34.452964,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:35.508051,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:36.676772,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:37.882800,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:39.141865,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:40.418859,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:41.662874,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:42.895944,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:44.157210,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:45.489370,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:46.772437,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:48.104681,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:49.403636,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:50.656386,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:51.853672,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:53.010474,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:54.144829,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:55.206263,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:56.208170,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:57.362677,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:58.597334,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:59.801189,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:00.911972,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:02.049095,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:03.214285,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:04.393527,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:05.588691,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:06.777099,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:08.005410,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:09.201015,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:10.394232,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:11.557872,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:12.745954,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:14.016251,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:15.233467,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:16.436872,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:17.607746,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:18.733372,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:19.939629,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:21.159409,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:22.351967,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:23.469570,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:24.514042,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:25.578291,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:26.696761,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:27.848535,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:40:29.125102,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
