,Wild Express,Dashyns Dream,Mendis Girl,Marebell,Our Davina,Rye Munny,Watch Out Now,Destron Bay
15-12-2022 12:21:28.595529,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.68)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
15-12-2022 12:21:29.703980,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.2, 6.95)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
15-12-2022 12:21:30.771688,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.2, 6.95)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
15-12-2022 12:21:31.730892,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.2, 6.95)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
15-12-2022 12:21:32.719827,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:33.687768,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:34.847766,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:35.851728,"(3.5, 4.9, 4.563157894736842)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:36.885081,"(3.5, 4.9, 4.563157894736842)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:38.086568,"(3.5, 4.9, 4.563157894736842)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:39.285541,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:40.375187,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:41.453895,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 61.333333333333336)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:42.484700,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 64.0)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:43.716040,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 64.0)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:45.050237,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 64.0)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:46.197990,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.539999999999999)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 64.0)","(5.5, 7.2, 6.95)","(8.0, 9.2, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:47.322919,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:48.483199,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:49.516242,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:50.603561,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:51.649133,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:52.652118,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:53.728595,"(3.5, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(8.0, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:54.902795,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:56.085882,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:57.120982,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:58.132615,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:21:59.206048,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:22:00.537035,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.6)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 60.2)"
15-12-2022 12:22:01.681350,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 52.5)","(5.5, 7.2, 6.95)","(7.5, 9.0, 8.422222222222222)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.5)"
15-12-2022 12:22:02.916141,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 58.0)","(5.5, 7.2, 6.95)","(7.5, 9.2, 8.422222222222222)","(7.0, 8.6, 8.666666666666666)","(26.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:04.083934,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 58.0)","(5.5, 7.2, 6.95)","(7.5, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(26.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:05.209394,"(3.6, 4.8, 4.55)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 80.0, 58.75)","(5.5, 7.2, 6.95)","(7.5, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(26.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:06.273318,"(3.6, 4.9, 4.563157894736842)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 58.75)","(5.5, 7.2, 6.95)","(7.5, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(26.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:07.349685,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.266666666666667)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 58.75)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(31.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:08.426009,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.475)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 59.0)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(31.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:09.459103,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.475)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 59.0)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(31.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:10.555832,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.475)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 59.0)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(31.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:11.598343,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.475)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 59.0)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(31.0, 110.0, 76.80000000000001)"
15-12-2022 12:22:12.660861,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:13.680179,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:14.795127,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:16.042312,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:17.334026,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:18.505886,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:19.636096,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:20.682836,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.333333333333334)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:21.716464,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:22.701744,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:23.775278,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:24.722360,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:25.693844,"(3.7, 4.9, 4.563157894736842)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:26.688164,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.037037037037036)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:27.685026,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.4, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:28.699609,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:29.744175,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 8.666666666666666)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:30.891085,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 69.0)"
15-12-2022 12:22:31.875284,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 41.333333333333336)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:32.822442,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:33.809868,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(17.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:34.932224,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(19.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:36.050121,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(19.0, 70.0, 61.2)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 55.33333333333333)"
15-12-2022 12:22:37.032771,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.509090909090909)","(4.4, 5.7, 5.38421052631579)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
15-12-2022 12:22:38.057148,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.433333333333333)","(4.4, 5.7, 5.38421052631579)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.422222222222222)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
15-12-2022 12:22:39.354087,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.433333333333333)","(4.4, 5.7, 5.38421052631579)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.2, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
15-12-2022 12:22:40.359614,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.433333333333333)","(4.4, 5.7, 5.423076923076923)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
15-12-2022 12:22:41.423455,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.433333333333333)","(4.4, 5.7, 5.423076923076923)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.28)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
15-12-2022 12:22:42.517117,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.433333333333333)","(4.4, 5.7, 5.423076923076923)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
15-12-2022 12:22:43.595225,"(3.7, 4.8, 4.564285714285714)","(6.0, 7.6, 7.433333333333333)","(4.4, 5.7, 5.423076923076923)","(19.0, 70.0, 48.5)","(5.5, 7.2, 6.95)","(7.0, 9.0, 8.6)","(7.0, 9.6, 9.04)","(31.0, 110.0, 82.0)"
