,Tiggerlong Sassy,Hilton Hawk,Golden Avatar,Arch See All,Irish Hope,Nova Star,Our Winnie
10-01-2023 16:38:49.924436,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:51.007828,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:52.075694,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:53.299857,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:54.410765,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:55.502082,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:56.529141,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:57.734173,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:58.918359,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:00.005294,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:01.246067,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:02.345560,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:03.376280,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:04.531689,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:05.658074,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.466666666666667)","(4.0, 6.2, 4.555555555555555)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:06.871779,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.4, 3.466666666666667)","(4.0, 5.0, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:07.962911,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.4, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:09.040684,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:10.191949,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:11.148503,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:12.120682,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:13.167353,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:14.204353,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:15.394433,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:16.538238,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:17.662825,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:18.692928,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:19.821371,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:20.830485,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:21.919431,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:23.059391,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:24.100663,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:25.082000,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:26.078944,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:27.051528,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:28.059127,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:29.125997,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:30.153444,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 5.0, 4.6571428571428575)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:31.172861,"(2.25, 3.45, 3.075)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 5.0, 4.7)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:32.288915,"(2.25, 3.45, 3.075)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 5.0, 4.7)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:33.329556,"(2.25, 3.45, 3.075)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 5.0, 4.7)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:34.341364,"(2.25, 3.45, 3.075)","(12.0, 25.0, 22.4)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6)","(4.0, 5.0, 4.538461538461538)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:35.311939,"(2.25, 3.45, 3.075)","(12.0, 25.0, 22.5)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 4.0)","(4.0, 6.2, 4.7)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:36.241310,"(2.25, 3.45, 3.075)","(12.0, 25.0, 22.5)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.8857142857142857)","(4.0, 6.0, 5.845454545454546)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:37.233804,"(2.25, 3.4, 3.05)","(12.0, 25.0, 22.5)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.5888888888888886)","(4.0, 6.0, 5.82)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:38.173588,"(2.25, 3.4, 3.05)","(12.0, 25.0, 22.5)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.5888888888888886)","(4.0, 6.0, 5.82)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:39.279178,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.9666666666666663)","(4.0, 6.0, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:40.282477,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.9666666666666663)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:41.459937,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.5888888888888886)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:42.605457,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.5888888888888886)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:43.726161,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 4.2)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:44.708565,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.0, 4.2)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:39:45.754557,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.52)"
10-01-2023 16:39:46.840166,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.075)"
10-01-2023 16:39:47.888538,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.075)"
10-01-2023 16:39:48.916869,"(2.25, 3.35, 3.0583333333333336)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:49.861078,"(2.25, 3.3, 3.033333333333333)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:50.842006,"(2.25, 3.3, 3.033333333333333)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:51.820196,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:52.809208,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:53.771628,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:54.747935,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:55.769581,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:56.826179,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 23.375)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.800000000000001)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 18.2625)"
10-01-2023 16:39:57.880970,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 22.5)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 6.2, 5.29047619047619)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.3)"
10-01-2023 16:39:58.853677,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.814285714285714)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:39:59.797766,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.814285714285714)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:00.857818,"(2.25, 3.25, 3.0416666666666665)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.730769230769231)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:01.934324,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:03.035497,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:04.100699,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:05.056601,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:05.985305,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:06.959765,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:07.940273,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:08.963227,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:09.973189,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:11.006033,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 20.833333333333336)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.1, 3.57)","(4.0, 5.9, 5.184210526315789)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 15.899999999999999)"
10-01-2023 16:40:12.040796,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 17.0)","(20.0, 70.0, 38.666666666666664)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.736363636363636)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 11.74)"
10-01-2023 16:40:13.101084,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 17.0)","(20.0, 70.0, 38.666666666666664)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.3)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 11.74)"
10-01-2023 16:40:14.116617,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 17.0)","(20.0, 70.0, 42.8)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.736363636363636)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 11.74)"
10-01-2023 16:40:15.081065,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 17.0)","(20.0, 70.0, 42.8)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.736363636363636)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 11.74)"
10-01-2023 16:40:16.075089,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 17.0)","(20.0, 70.0, 42.8)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.736363636363636)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 11.74)"
10-01-2023 16:40:17.081417,"(2.25, 3.2, 3.022222222222222)","(12.0, 25.0, 17.0)","(20.0, 70.0, 42.8)","(3.5, 5.1, 3.57)","(4.0, 5.9, 4.736363636363636)","(12.0, 29.0, 16.083333333333332)","(9.0, 19.5, 11.74)"
