,Not Even Owl,Big Time Taniwha,Big Time Raider,Oscars Reality,Big Time Roman,Allegro Smudge
04-01-2023 10:42:28.608726,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:29.465228,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:30.367564,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:31.214551,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:32.084738,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:32.955384,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:33.819608,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:34.705625,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:35.635459,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:36.625562,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:37.594574,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:38.538144,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:39.499542,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:40.446295,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:41.375865,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:42.321852,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:43.251083,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:44.157589,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:45.000084,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:45.862780,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:46.736587,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:47.586740,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:48.470692,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:49.371212,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:50.235094,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:51.136836,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:52.010108,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:52.834384,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:53.723886,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:54.579540,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 4.725806451612903)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:55.429721,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:56.380449,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:57.256922,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:58.237397,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:59.180267,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:00.154215,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:01.097574,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:02.080444,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:03.025675,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:03.992439,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:04.910066,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:05.849143,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:06.753959,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:07.663545,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:08.512134,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:09.354506,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:10.247943,"(3.5, 9.4, 8.229268292682926)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:11.121984,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:12.009898,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:12.861868,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:13.720733,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:14.592785,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:15.443939,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:16.294203,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:17.143319,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:18.031066,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:18.877110,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:19.771350,"(3.5, 9.2, 7.08076923076923)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:20.665162,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:21.593762,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:22.540542,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:23.485182,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:24.417174,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:25.362700,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:26.285900,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:27.217197,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:28.130767,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:29.111483,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:30.028620,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:31.027619,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:31.962065,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:32.916022,"(3.5, 9.8, 8.551219512195122)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:33.818634,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:34.651389,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:35.522360,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:36.384174,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:37.210925,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:38.113334,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.5, 6.346153846153847)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:39.021345,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:39.906036,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:40.879788,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:41.799526,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:42.773904,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:43.725091,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:44.675884,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:45.590384,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:46.560765,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:47.496297,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:48.462954,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:49.372447,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:50.288156,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:51.188549,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:52.067247,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:52.924847,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:53.811128,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:43:54.697431,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 10.0, 5.3125)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
