,Butter Up Again,Aces Are Trumps,Aston Dijon,Immense,Deadly Redeemer,Winkler,Elegant Bix,Lagoon Dark Eyes
10-01-2023 12:14:26.311775,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:27.566980,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:28.822507,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:30.123343,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:31.500004,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:32.785759,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:34.131998,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:35.518513,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:36.848098,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:38.259653,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:39.511689,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:40.751780,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:42.089205,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:43.399157,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:44.740398,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:46.058101,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:47.372867,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:48.718076,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:49.994407,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:51.267835,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:52.492074,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:53.631073,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:54.770903,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:55.830402,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:56.988777,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:58.091836,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:59.194631,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:00.297625,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:01.510606,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:02.649776,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:03.729374,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:05.010427,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.85)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:06.154462,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:07.261715,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:08.454799,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:09.661383,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:10.910177,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:12.170838,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:13.441958,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:14.719193,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.887500000000001)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:16.012749,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:17.283166,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:18.524774,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:19.748608,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:20.921492,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:22.118523,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:23.246013,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:24.429687,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:25.630626,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.924137931034483)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:26.834912,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:28.039921,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:29.189773,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:30.330989,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:31.593956,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:32.886228,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:34.256021,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:35.542326,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.9)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:36.878372,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:38.180091,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:39.519592,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:40.868686,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:42.128866,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:43.368052,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:44.534194,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:45.689026,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:46.774160,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:47.925751,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:49.152403,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:50.292111,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:51.456690,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:52.671873,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:53.792278,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:15:54.929138,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.8375)","(9.0, 21.0, 17.61111111111111)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
