,The Big One,Renato,Trespassing,Altomega,Eye Opener,Scenic Ruler,Supersession,My Top Secret,Rising Commodity,Cherry Bay,Prinsessa Anja,Marmooga
11-01-2023 16:01:18.151176,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.04)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:20.189399,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.04)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:22.367098,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.04)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 157.5)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:24.364643,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 2.976)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 157.5)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:26.671667,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.976)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 157.5)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:28.887865,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.976)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 157.5)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:31.101453,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.976)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 157.5)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:33.232653,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.976)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 157.5)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:35.214700,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 3.075555555555556)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 148.33333333333331)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:37.860779,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 3.075555555555556)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 148.33333333333331)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:40.325938,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 3.075555555555556)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 148.33333333333331)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:42.451109,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.933333333333333)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 148.33333333333331)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:44.697366,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.88)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 148.33333333333331)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:47.624634,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.9353846153846153)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 148.33333333333331)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:50.174814,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.12)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:52.201982,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.089583333333333)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.08421052631579)","(51.0, 190.0, 95.33333333333334)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:54.313316,"(7.5, 11.0, 10.0)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.089583333333333)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:56.490218,"(7.5, 11.0, 10.0)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.089583333333333)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:01:58.912752,"(7.5, 11.0, 10.0)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:01.124570,"(7.5, 11.0, 10.0)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:03.695620,"(7.5, 11.0, 10.0)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:05.917409,"(7.5, 11.0, 9.375)","(10.0, 12.0, 11.483870967741936)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.912962962962963)"
11-01-2023 16:02:07.963498,"(7.5, 10.5, 9.625)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.912962962962963)"
11-01-2023 16:02:09.925647,"(7.5, 11.5, 9.333333333333334)","(10.0, 12.0, 11.483870967741936)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.912962962962963)"
11-01-2023 16:02:12.086562,"(7.5, 11.0, 9.333333333333334)","(10.0, 12.0, 11.483870967741936)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 96.66666666666666)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.912962962962963)"
11-01-2023 16:02:14.092869,"(7.5, 11.0, 10.666666666666666)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.096296296296296)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 150.0)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:16.148467,"(7.5, 11.0, 10.35)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.171666666666667)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 150.0)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:18.349326,"(7.5, 11.5, 10.35)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.2, 2.998125)","(101.0, 220.0, 172.85714285714286)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.1)","(51.0, 190.0, 150.0)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:20.413571,"(7.5, 11.5, 10.35)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.0)","(101.0, 220.0, 165.0)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.6, 6.45)","(51.0, 190.0, 150.0)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:22.444610,"(7.5, 11.5, 10.35)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 3.0)","(101.0, 220.0, 165.0)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.6, 6.4799999999999995)","(51.0, 190.0, 150.0)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:24.322777,"(7.5, 11.5, 10.35)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 2.963076923076923)","(101.0, 220.0, 165.0)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 120.0)","(5.5, 6.6, 6.4)","(51.0, 190.0, 150.0)","(71.0, 190.0, 120.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:26.182653,"(7.5, 11.5, 10.925)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 2.963076923076923)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 140.0)","(5.5, 6.6, 6.714285714285714)","(51.0, 190.0, 100.0)","(71.0, 190.0, 137.5)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:28.135921,"(7.5, 11.5, 10.672727272727272)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.15, 2.953333333333333)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 140.0)","(5.5, 6.8, 6.3)","(51.0, 190.0, 100.0)","(71.0, 190.0, 137.5)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:30.197424,"(7.5, 11.0, 10.672727272727272)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 2.982666666666667)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 140.0)","(5.5, 6.8, 6.3)","(51.0, 190.0, 100.0)","(71.0, 190.0, 137.5)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:32.131550,"(7.5, 11.0, 10.672727272727272)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 140.0)","(5.5, 6.8, 6.3)","(51.0, 190.0, 100.0)","(71.0, 190.0, 137.5)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:34.228981,"(7.5, 11.0, 10.672727272727272)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 140.0)","(5.5, 6.8, 6.3)","(51.0, 190.0, 100.0)","(71.0, 190.0, 137.5)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:36.283736,"(7.5, 11.0, 10.672727272727272)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 140.0)","(5.5, 6.8, 6.3)","(51.0, 190.0, 156.25)","(71.0, 190.0, 137.5)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:38.705744,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.3)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:40.762040,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.3)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:42.927984,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.266666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:45.102778,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.266666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:47.038546,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.02)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.266666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:49.025660,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 2.974285714285714)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.266666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:50.751819,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 2.974285714285714)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.266666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:52.630898,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 2.8466666666666667)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.266666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
11-01-2023 16:02:54.983588,"(7.5, 11.0, 10.6)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.1, 3.055)","(101.0, 220.0, 137.5)","(18.0, 50.0, 48.14285714285714)","(71.0, 200.0, 165.71428571428572)","(5.5, 6.8, 6.466666666666667)","(51.0, 190.0, 146.66666666666669)","(71.0, 190.0, 155.0)","(61.0, 190.0, 153.33333333333331)","(91.0, 160.0, 120.0)","(3.3, 3.95, 3.9083333333333337)"
