,Triumph,Electra Glide,Jagger Bale,Lala Reindeer,Reiko Bolt,Nicki Whoop,Kanji Giant,Super Marli
14-12-2022 19:00:18.200571,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 47.45454545454545)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:19.630104,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 47.45454545454545)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:20.995657,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 47.45454545454545)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:22.463314,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 47.45454545454545)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:23.829540,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 47.45454545454545)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:25.241382,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 54.333333333333336)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:26.835664,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:28.359227,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:29.785999,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:31.200202,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:32.606995,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 75.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:34.036238,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:35.514339,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:36.924885,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:38.356886,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:39.708900,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:41.157681,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 243.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:42.607064,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.42307692307692)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:44.062765,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.76923076923077)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:45.454479,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 51.76923076923077)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:46.945722,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 45.625)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:48.438232,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:49.982674,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:51.433556,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.272727272727273)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.9375)"
14-12-2022 19:00:52.829434,"(1.3, 1.59, 1.5411627906976744)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.272727272727273)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.9375)"
14-12-2022 19:00:54.165570,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.272727272727273)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 47.32142857142857)"
14-12-2022 19:00:55.611132,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.272727272727273)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 30.0)"
14-12-2022 19:00:56.971768,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 14.706666666666667)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 42.95454545454545)"
14-12-2022 19:00:58.329022,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 11.72)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 42.95454545454545)"
14-12-2022 19:00:59.713227,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.418181818181818)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 35.0)"
14-12-2022 19:01:01.057918,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.418181818181818)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 30.714285714285715)"
14-12-2022 19:01:02.506126,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 12.418181818181818)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 47.32142857142857)"
14-12-2022 19:01:03.901100,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 10.333333333333334)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 47.32142857142857)"
14-12-2022 19:01:05.310525,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 66.71875)","(71.0, 590.0, 502.5)","(9.0, 21.0, 11.559999999999999)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:06.752358,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 46.0)","(71.0, 590.0, 502.5)","(9.0, 21.0, 11.559999999999999)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:08.136895,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 46.0)","(71.0, 590.0, 502.5)","(9.0, 21.0, 14.257142857142856)","(51.0, 440.0, 244.0)","(21.0, 65.0, 33.0)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:09.521332,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 60.0)","(71.0, 590.0, 502.5)","(9.0, 21.0, 15.0)","(51.0, 440.0, 244.0)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:11.003996,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 60.0)","(71.0, 590.0, 502.5)","(9.0, 21.0, 15.0)","(51.0, 440.0, 244.0)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:12.510398,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 60.0)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:13.918293,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 60.0)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:15.530141,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 60.0)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:17.050970,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:18.394343,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:19.759678,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:21.132185,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 37.77777777777778)"
14-12-2022 19:01:22.537858,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:23.887436,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:25.251547,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:26.553069,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:27.871804,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:29.215541,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:30.544982,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:31.867420,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:33.145244,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:34.426297,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:35.698189,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:36.875891,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:38.126386,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:39.356231,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:40.596685,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:41.872277,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:43.120485,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:44.317398,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:45.518558,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:46.839286,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:48.182028,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:49.454024,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:50.788534,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:51.995256,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:53.200427,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:54.522765,"(1.3, 1.58, 1.5334883720930232)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:55.811386,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:57.084064,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:58.327800,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
14-12-2022 19:01:59.578962,"(1.3, 1.59, 1.5411627906976744)","(17.0, 130.0, 59.6875)","(71.0, 590.0, 325.0)","(9.0, 21.0, 15.0)","(51.0, 440.0, 111.66666666666667)","(21.0, 65.0, 37.5)","(4.2, 8.4, 4.8125)","(17.0, 65.0, 44.58333333333333)"
