,Loco Tonto,Indy Korie,Orson Thunder,Wheelin In,Kepler Bale,Watch The Clock,My Boy Charlott,Kinson Bale
10-01-2023 16:32:18.497934,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:19.562076,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:20.584648,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:21.701829,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:22.809482,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:23.886810,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:24.949051,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:26.029805,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:27.123118,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:28.186401,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:29.268569,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:30.354780,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:31.476120,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:32.536965,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:33.707952,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:34.952481,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:36.166397,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:37.410701,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:38.603025,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:39.724030,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:40.801559,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:41.898830,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:43.061597,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.411764705882353)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:44.217833,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.411764705882353)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:45.294873,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.411764705882353)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:46.431299,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:47.573647,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:48.721509,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:49.834076,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:51.044364,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:52.235968,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:53.448720,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:54.631527,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:55.763338,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:56.883261,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:57.956124,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:59.078841,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:00.226835,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:01.354646,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:02.462274,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:03.632960,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:04.785507,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:05.878362,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:07.076572,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:08.235463,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:09.474489,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:10.680309,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 7.055555555555555)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:11.907713,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:13.064441,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:14.174189,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:15.342279,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:16.582109,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:17.746153,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:18.990848,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:20.243659,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:21.412120,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:22.567594,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.526315789473685)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:23.641247,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:24.818903,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:26.028830,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:27.308151,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:28.586964,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:29.855676,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:30.952651,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:32.089901,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:33.200713,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:34.351441,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:35.497538,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:36.728192,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:37.879958,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:33:39.232335,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
