,Vale Orchard,Discrepancy,Harvard Scholar,Golden State,Hotspot Hero,Mepunga Roz,Axel Coaster
04-01-2023 11:00:14.507471,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:15.535880,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:16.482271,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:17.398688,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:18.369875,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:19.290997,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:20.173255,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:21.091818,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:22.054142,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:22.996758,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:23.965810,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:24.934779,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:25.853272,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:26.810693,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:27.751998,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:28.698050,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:29.670836,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:30.601370,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:31.602411,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:32.534996,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:33.472089,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:34.422788,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:35.426696,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:36.388042,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:37.410965,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:38.398493,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:39.389646,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:40.426897,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:41.448227,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:42.498035,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:43.533124,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:44.585743,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:45.616297,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:46.602753,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:47.618062,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:48.587106,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:49.578455,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:50.542235,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:51.482597,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:52.455732,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:53.428642,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:54.410867,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:55.330570,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:56.273405,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:57.143024,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:58.062566,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:58.973785,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:59.932476,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:00.889620,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:01.836405,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:02.770087,"(10.0, 17.0, 10.18421052631579)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:03.684167,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:04.625792,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:05.537083,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:06.507510,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:07.418086,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:08.390800,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:09.344336,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:10.323656,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:11.239984,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:12.268721,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:13.232439,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:14.240760,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:15.221464,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:16.207029,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:17.205004,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:18.210881,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:19.284284,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:20.326760,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:21.331769,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:22.407175,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:23.378064,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:24.355699,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:25.331636,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:26.273593,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:27.242423,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:28.186453,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:29.133610,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:30.061151,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:31.010542,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:31.940240,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:01:32.911591,"(10.0, 17.0, 10.538461538461538)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 14.8)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
