,Haveyoucheckedin,Rakasharp Nz,Timely Sovereign,Swedish Meatballs,The Poobah,Outside Fighter,El Jacob,Some Chevron Nz,Classicmajor,Daggy Lamb Nz
10-01-2023 16:20:07.976665,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:09.499433,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:11.252885,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:12.760899,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:14.486279,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:16.168153,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:17.787687,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:19.351429,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:20.949764,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:22.572024,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
