,Joeys On A Roll,Isla And Addie,Bronski Zulu,Sheleftalotofbling,Big Bozz
10-01-2023 12:17:23.796636,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:24.652727,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:25.538000,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:26.498553,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:27.446877,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:28.264045,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:29.094266,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:30.042528,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:31.020039,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:31.890026,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:32.732535,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:33.605862,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:34.548646,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:35.508799,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:36.371634,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:37.353745,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:38.254884,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:39.146266,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:40.076812,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:41.024620,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:41.872685,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:42.690652,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:43.640782,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:44.656535,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:45.549636,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:46.395005,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:47.300327,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:48.260278,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:49.124927,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:49.948437,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:50.862957,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:51.786608,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:52.670229,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:53.482445,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:54.363892,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:55.288946,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:56.238304,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:57.169161,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:57.999610,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:58.852768,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:17:59.784843,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:00.667643,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:01.567472,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:02.487363,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:03.408785,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:04.217410,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:05.117309,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:06.055946,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:06.939109,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:07.778250,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:08.717705,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:09.705961,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:10.594689,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:11.454957,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:12.336448,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:13.209667,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:14.129047,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:15.017768,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:15.898372,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:16.768039,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:17.642779,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:18.626735,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:19.580882,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:20.530056,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:21.395744,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:22.318900,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:23.344502,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:24.314027,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:25.175137,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:26.138993,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:27.103106,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:28.048487,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:28.955383,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.799999999999999)","(7.0, 10.0, 9.4)"
10-01-2023 12:18:29.913817,"(4.2, 5.8, 5.5)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.0933333333333333)","(7.0, 9.2, 8.7)","(7.0, 10.0, 9.2)"
10-01-2023 12:18:30.863546,"(4.2, 5.8, 5.35)","(5.5, 7.2, 6.550000000000001)","(1.8, 2.22, 2.087)","(7.0, 9.2, 8.7)","(7.0, 10.0, 9.2)"
10-01-2023 12:18:31.890205,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:32.831315,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:33.700008,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:34.628258,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:35.556293,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:36.502121,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:37.581123,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:38.667677,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:39.589135,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:40.563852,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:41.607706,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:42.541238,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:43.416225,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:44.423183,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:45.478911,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:46.372067,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:47.325309,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:48.362503,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:49.331884,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:50.213271,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:51.138652,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:52.191825,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:53.145977,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:54.040030,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:54.985308,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:55.898588,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:56.811027,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:57.771971,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:58.735350,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:18:59.662199,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:19:00.543207,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:19:01.455995,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:19:02.469039,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:19:03.465647,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
10-01-2023 12:19:04.384527,"(4.2, 5.8, 5.4)","(5.5, 7.2, 6.6)","(1.8, 2.2, 2.12)","(7.0, 9.2, 8.899999999999999)","(7.0, 10.0, 9.7)"
