,Beauty You,Silver Lad,Silver Scars,Bettys Star,Runs Like Bluey,Speed Craze,Sapphire Pixie,Bag The Cash
04-01-2023 11:23:39.873792,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:41.050588,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:42.232839,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:43.412028,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:44.643845,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:45.871405,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:47.082562,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:48.332480,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:49.610573,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:50.779986,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:51.912472,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:53.037482,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:54.151160,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:55.260600,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:56.471750,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:57.648609,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:58.834537,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:00.037095,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:01.262579,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:02.409268,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:03.532526,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:04.621567,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:05.725331,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:07.067178,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:08.422271,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:09.731710,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:11.007126,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:12.199248,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:13.426237,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:14.582293,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:15.756760,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:16.912260,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:18.014546,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:19.207352,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:20.360424,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:21.510278,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:22.810568,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:24.068951,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:25.281506,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:26.592219,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:27.915028,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:29.144384,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:30.257874,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:31.383838,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:32.472828,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:33.580250,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:34.716363,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:35.832557,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:36.958679,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:38.116468,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:39.266501,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:40.402053,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:41.534404,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:42.574287,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:43.626211,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:44.660118,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:45.699684,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:46.783890,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:47.851099,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:48.911170,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:49.941390,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:51.041128,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:52.117917,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:53.231539,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:54.298894,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:55.334754,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:56.392028,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:24:57.434549,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
