,War Hammer,Sketchy In By,Hooked On Jack,Lend The Moose,Olsen Gang,Willina Charm,Pure Devil,Cosmic Franky
07-12-2022 13:20:51.614139,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:52.737601,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:53.842678,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:55.003415,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:56.094738,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:57.202688,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:58.403122,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:20:59.516463,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:00.589326,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:01.711314,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:02.722734,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:03.783742,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:04.815529,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:05.943906,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:07.072319,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:08.141501,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:09.263298,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:10.301587,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:11.345295,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:12.399071,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.533333333333333)"
07-12-2022 13:21:13.417905,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.575)"
07-12-2022 13:21:14.450857,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.575)"
07-12-2022 13:21:15.464529,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.6425)"
07-12-2022 13:21:16.592768,"(4.4, 6.8, 6.2)","(2.5, 3.15, 3.092)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.770833333333333)"
07-12-2022 13:21:17.696092,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.770833333333333)"
07-12-2022 13:21:18.770008,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.6260000000000003)"
07-12-2022 13:21:19.836238,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.6260000000000003)"
07-12-2022 13:21:20.906101,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.5966666666666667)"
07-12-2022 13:21:21.955388,"(4.4, 6.8, 6.2)","(2.5, 3.2, 3.132)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.5966666666666667)"
07-12-2022 13:21:23.034461,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.988888888888889)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.5966666666666667)"
07-12-2022 13:21:24.033529,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.9472727272727273)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.5966666666666667)"
07-12-2022 13:21:25.105931,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.5966666666666667)"
07-12-2022 13:21:26.265058,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.5966666666666667)"
07-12-2022 13:21:27.293645,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.607142857142857)"
07-12-2022 13:21:28.421001,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.988888888888889)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.607142857142857)"
07-12-2022 13:21:29.425994,"(4.4, 6.8, 6.2)","(2.5, 3.15, 2.988888888888889)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.607142857142857)"
07-12-2022 13:21:30.482530,"(4.4, 6.8, 6.2)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.607142857142857)"
07-12-2022 13:21:31.550178,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.1, 2.9285714285714284)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.607142857142857)"
07-12-2022 13:21:32.742011,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.1, 2.9285714285714284)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:33.907137,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:34.924599,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.988888888888889)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:36.010474,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.988888888888889)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:37.417516,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:38.530009,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:39.658828,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.1, 2.966666666666667)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.67)"
07-12-2022 13:21:40.740412,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.988888888888889)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.653125)"
07-12-2022 13:21:41.858736,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.2, 3.132)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7)"
07-12-2022 13:21:42.956674,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7214285714285715)"
07-12-2022 13:21:44.017007,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7315789473684213)"
07-12-2022 13:21:45.115869,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7315789473684213)"
07-12-2022 13:21:46.351214,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7315789473684213)"
07-12-2022 13:21:47.455717,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7315789473684213)"
07-12-2022 13:21:48.591987,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7315789473684213)"
07-12-2022 13:21:49.667334,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.7315789473684213)"
07-12-2022 13:21:50.958630,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:52.264200,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:53.424976,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:54.596192,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:55.673479,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:56.835453,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 11.323076923076924)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:58.042012,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 10.823529411764707)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.5, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:21:59.152051,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 10.823529411764707)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:00.226348,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.976)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 10.823529411764707)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:01.348875,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 10.823529411764707)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:02.376650,"(4.4, 6.8, 6.0636363636363635)","(2.5, 3.15, 2.937333333333333)","(31.0, 75.0, 46.714285714285715)","(7.5, 11.5, 10.823529411764707)","(81.0, 440.0, 342.85714285714283)","(8.5, 18.0, 17.733333333333334)","(13.0, 20.0, 18.125)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:03.509590,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 2.937333333333333)","(31.0, 50.0, 47.333333333333336)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 18.0, 17.875)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.761111111111111)"
07-12-2022 13:22:04.585656,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 3.034)","(31.0, 65.0, 53.5)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 18.0, 17.875)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:05.597883,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 2.976)","(31.0, 50.0, 44.0)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 18.0, 17.875)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.761111111111111)"
07-12-2022 13:22:06.720910,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 2.9905)","(31.0, 50.0, 43.77777777777778)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 18.0, 17.875)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:07.791670,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 2.937333333333333)","(31.0, 50.0, 43.77777777777778)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 18.0, 17.875)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:08.804432,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 2.937333333333333)","(31.0, 50.0, 43.77777777777778)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 18.0, 17.875)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:09.809509,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 3.034)","(31.0, 50.0, 43.77777777777778)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 19.0, 18.36842105263158)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.8038461538461537)"
07-12-2022 13:22:10.838557,"(4.4, 6.8, 6.0125)","(2.5, 3.15, 2.976)","(31.0, 50.0, 43.77777777777778)","(7.5, 11.5, 10.977272727272727)","(81.0, 440.0, 355.0)","(8.5, 19.0, 18.36842105263158)","(13.0, 20.0, 18.59375)","(3.3, 3.85, 3.761111111111111)"
