,Identity Thief,Rolling Start,My Gal Cookie,Alpha Humbug,Booming Boo Boo,Spring Acer,Farmor Pizazz,My Melanie
07-01-2023 20:52:21.193640,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:22.268335,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:23.321432,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:24.401519,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:25.455364,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:26.568100,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:27.743195,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:28.920536,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:30.040265,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:31.159137,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:32.285544,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:33.345613,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:34.419410,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:35.507073,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:36.535878,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:37.566823,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:38.534360,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:39.522919,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:40.509850,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:41.504555,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:42.656914,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:43.742278,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:44.802484,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:45.933240,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:46.988571,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:48.055164,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:49.254711,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:50.417746,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:51.585164,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:52.729506,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:53.855208,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:55.007943,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:56.100240,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:57.221278,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:58.342411,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:59.487972,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:00.684644,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:01.839375,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:02.915112,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:04.057128,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:05.168702,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:06.219220,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:07.313895,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:08.411285,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:09.597601,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:10.762810,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:11.943262,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:13.110010,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:14.346958,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:15.555637,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:16.763971,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:17.953875,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:19.165726,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:20.412873,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:21.628886,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:22.782538,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:23.892581,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:25.006452,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:26.129872,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:27.255469,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:28.336133,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:29.432995,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:30.449940,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:31.480122,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:32.475645,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:33.558282,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:34.656732,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:35.775969,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:36.984097,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:38.167015,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:39.363419,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:40.528202,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:41.693920,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:42.847355,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:43.997047,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:53:45.203943,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
