,Crystals Dream,Megami,Wozzeck,West Coast Warrior,Yarralea,Tropical Sun
11-01-2023 15:23:18.304571,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.218181818181819)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:19.546209,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.218181818181819)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.542857142857143)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:20.722821,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 5.005)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.542857142857143)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:21.927102,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.5625)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:23.236364,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.5625)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:24.321468,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.5625)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:25.447281,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.5625)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:26.605088,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.569230769230769)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:27.688211,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:28.821614,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:29.793821,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:30.851282,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.5, 4.997674418604651)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:31.917852,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.264285714285714)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:33.050704,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.264285714285714)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:34.231225,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.264285714285714)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:35.367438,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.264285714285714)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:36.439487,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.264285714285714)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:37.626299,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:38.694115,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:39.692106,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:40.681497,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:41.807077,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:43.016881,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.148936170212766)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:44.056859,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.148936170212766)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:45.089738,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:46.118213,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:47.099027,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:48.226143,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.116279069767442)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:49.305406,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:50.416295,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:51.533309,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:52.573469,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:53.650630,"(1.8, 2.02, 1.9958695652173912)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:54.719205,"(1.8, 2.02, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:55.772504,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:56.858734,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 86.5)"
11-01-2023 15:23:57.867416,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 86.5)"
11-01-2023 15:23:59.017339,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 86.5)"
11-01-2023 15:24:00.150963,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.58)","(41.0, 95.0, 86.5)"
11-01-2023 15:24:01.286522,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.108695652173913)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 15.857142857142858)","(4.6, 6.0, 5.72)","(41.0, 95.0, 86.5)"
11-01-2023 15:24:02.386678,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.72)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:03.323212,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.72)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:04.398461,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 19.0, 14.119047619047619)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.72)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:05.495235,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 19.0, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.72)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:06.584645,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.72)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:07.835364,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.72)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:09.026469,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:10.128466,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:11.246826,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:12.221539,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:13.351267,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:14.427816,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:15.551116,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:16.647616,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.742857142857143)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:17.696901,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:18.805891,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:19.915665,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:21.073357,"(1.8, 2.08, 2.024864864864865)","(4.2, 5.5, 5.117021276595745)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:22.157236,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.5, 14.5)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:23.310412,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.5, 14.75)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:24.388521,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.5, 14.75)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:25.318370,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.5, 14.75)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:26.467584,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.5, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:27.602046,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:28.845152,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:30.022570,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:31.014986,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:32.075604,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:33.142289,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 82.25)"
11-01-2023 15:24:34.238587,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:35.336033,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:36.419458,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:37.460528,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:38.519803,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:39.547376,"(1.8, 2.02, 1.99675)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:40.825188,"(1.8, 1.99, 1.9623809523809523)","(4.2, 5.5, 5.013513513513513)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:41.926357,"(1.8, 1.99, 1.9623809523809523)","(4.2, 5.5, 5.014705882352941)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:42.953805,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.017073170731708)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:44.054372,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.017073170731708)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:45.096809,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.017073170731708)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:46.243462,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.017073170731708)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:47.269522,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.017073170731708)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 16.5)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:48.379361,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:49.455685,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:50.628225,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:51.779920,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:52.772407,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:53.823022,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:54.907225,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:55.947027,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
11-01-2023 15:24:57.128156,"(1.8, 1.99, 1.9647826086956521)","(4.2, 5.5, 5.267058823529412)","(11.0, 18.0, 15.333333333333334)","(11.0, 21.0, 19.363636363636363)","(4.6, 6.0, 5.618181818181818)","(41.0, 95.0, 89.33333333333334)"
