,Sweet Silver,Churn It Up,Blue Cod,Miss Fischer,Boudicca
04-01-2023 10:09:20.778575,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:21.579946,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:22.391452,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:23.193303,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:24.013389,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:24.815141,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:25.645972,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:26.467099,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:27.277457,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:28.083015,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:28.978999,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:29.807880,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:30.606546,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:31.396557,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:32.220875,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:33.033766,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:33.840197,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:34.675569,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:35.479329,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:36.269639,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:37.111788,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:37.923170,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:38.717410,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:39.518086,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:40.352107,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:41.178093,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:42.008406,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:42.849383,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:43.750889,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:44.539151,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:45.344230,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:46.161755,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:46.981955,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:47.768357,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:48.586907,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:49.471630,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:50.288069,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:51.088003,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:51.884519,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:52.666571,"(3.3, 8.2, 6.091304347826087)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:53.480463,"(3.3, 9.8, 5.8909090909090915)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:54.301134,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:55.148339,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:55.955278,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:56.786138,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:57.613875,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:58.392832,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:59.171551,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:59.968524,"(3.3, 9.4, 6.769565217391305)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:00.798887,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:01.598406,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:02.385807,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:03.185438,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:03.997285,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:04.778649,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:05.570067,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:06.435152,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:07.298997,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:08.123426,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:08.948679,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:09.739586,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:10.520077,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:11.297630,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:12.101535,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:12.955810,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:13.778662,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:14.617922,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:15.402290,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:10:16.202496,"(3.3, 9.2, 5.654545454545454)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
